Date,Title,Link,Status,Source
"""2 hours ago""","""Boston Private Wealth LLC Sells 2526 Shares of NXP Semiconductors NV\u00a0(NXPI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/boston-private-wealth-llc-sells-2526-shares-of-nxp-semiconductors-n-v-nxpi.html&cid=52779695830922&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFBjUgZuxTXy8JbydQhb4uhPOfrDQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 1, 2017""","""Norris Perne & French Llp Buys NXP Semiconductors NV, HubSpot Inc, Danaher\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/norris-perne-french-llp-buys-nxp-semiconductors-nv-hubspot-inc-danaher-corp-sells-cm870212&cid=0&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGHtTRAWCkWOACVD_z43cSPaB7sdw""",1,"""Nasdaq"""
"""Nov 9, 2017""","""BBT Capital Management, LLC Buys NXP Semiconductors NV, Rockwell Collins Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/bbt-capital-management-llc-buys-nxp-semiconductors-nv-rockwell-collins-inc-cbs-corp-sells-cm875398&cid=52779670298804&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHjZho9OZp6SzI512CCrZ7BOr-OoA""",2,"""Nasdaq"""
"""Nov 28, 2017""","""NXP Announces Community-Based Industrial Linux Distribution for Industry\u00a04.0""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/28/1206660/0/en/NXP-Announces-Community-Based-Industrial-Linux-Distribution-for-Industry-4-0.html&cid=52779694368607&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFeYX0lKu8jZ8Djca1wswm3fOWm_A""",3,"""GlobeNewswire (press release)"""
"""Nov 16, 2017""","""Qualcomm-NXP Semiconductors Merger May Get EC Nod in\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/283161/qualcommnxp-semiconductors-merger-may-get-ec-nod-in-2018&cid=52779678610603&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNH56UYDRPwf5jgN-6_7l8phb2rO4g""",4,"""Zacks.com"""
"""Nov 28, 2017""","""NXP Semiconductors NV (NXPI) Position Reduced by Gamco Investors INC. ET\u00a0AL""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/28/gamco-investors-inc-et-al-sells-13200-shares-of-nxp-semiconductors-n-v-nxpi.html&cid=52779691637136&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGlj_bSNYOs7bRbuqnGv27QcBZC1w""",Not Reachable,"""The Ledger Gazette"""
"""2 hours ago""","""Intraday Trade Secrets \u2013 NXP Semiconductors NV, (NASDAQ:\u00a0NXPI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/30/intraday-trade-secrets-nxp-semiconductors-n-v-nasdaq-nxpi/&cid=52779698147048&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNF_JBaEuQjR6VEQOIURb83-nLA6SQ""",5,"""Stock Watch"""
"""Nov 29, 2017""","""Don't Let Stock Prices Fool You: NXP Semiconductors NV (NXPI), Las Vegas Sands\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/dont-let-stock-prices-fool-you-nxp-semiconductors-n-v-nxpi-las-vegas-sands-corp-lvs/&cid=52779695901415&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNE5618zth8AFR_ygIgjXxyNVZOBCg""",6,"""Post Analyst"""
"""2 hours ago""","""Vamping Stocks- NXP Semiconductors NV (NASDAQ:NXPI) a Semiconductor \u2013 Broad\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/30/vamping-stocks-nxp-semiconductors-n-v-nasdaqnxpi-a-semiconductor-broad-line-company/&cid=52779693676403&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHuom7xGm4upjGreUg5s-VPrN5uXw""",7,"""The Stock Street (press release)"""
"""23 hours ago""","""NXP Semiconductors NV (NXPI) Performance Assessment in\u00a0Focus""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nasdaqtimes.com/nxp-semiconductors-n-v-nxpi-performance-assessment-in-focus/&cid=52779696346996&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGzDU0OXjpTTXHeCsAAzHwDOyg3rg""",8,"""NASDAQ Times"""
"""Nov 24, 2017""","""NXP: Imagine a Future Without\u00a0Qualcomm""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://epsnews.com/2017/11/24/nxp-imagine-future-without-qualcomm/&cid=52779688902950&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFvEPC9AUnFje913IyzAYuMbKHxZA""",Not Reachable,"""EPS News"""
"""Nov 24, 2017""","""NXP Semiconductors NV (NXPI) closed the last trading session at\u00a0$115.15""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://standardoracle.com/2017/11/24/nxp-semiconductors-nv-nxpi-closed-the-last-trading-session-at-115-15/&cid=52779686762863&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHcznyfBV1Ng4Ma80woAt18ce1Wmw""",9,"""StandardOracle"""
"""Nov 6, 2017""","""Broadcom's $130 Billion Qualcomm Bid Threatens Elliott's NXP\u00a0Play""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/broadcoms-130-billion-qualcomm-bid-threatens-133641281.html&cid=52779663305400&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHq9qgvsytIQ186vEMUhv18GjO_Lg""",Not Reachable,"""Yahoo Finance"""
"""Nov 27, 2017""","""NXP Semiconductors NV, (NASDAQ: NXPI), Sealed Air Corporation, (NYSE: SEE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/27/nxp-semiconductors-n-v-nasdaq-nxpi-sealed-air-corporation-nyse-see-antero-resources-corporation-nyse-ar-principal-financial-group-inc-nyse-pfg-it-may-surprise-you/&cid=52779689033768&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHETIb7zHGM1C0tZVjGQsGGsPH90g""",Not Reachable,"""Stocks In The News (press release)"""
"""Nov 14, 2017""","""Paul Singer Buys NXP Semiconductors NV, Ocean Rig UDW Inc, Peabody Energy Corp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/595899/paul-singer-buys-nxp-semiconductors-nv-ocean-rig-udw-inc-peabody-energy-corp-sells-nord-anglia-education-inc-pultegroup-inc-alcoa-corp&cid=52779676174550&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFimrrHroGeywJ2iJShEevNZOXqzA""",10,"""GuruFocus.com"""
"""Nov 6, 2017""","""NXP Semiconductors NV (NASDAQ:NXPI) Heffx Daily\u00a0Review""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livetradingnews.com/nxp-semiconductors-nv-nasdaqnxpi-heffx-daily-review-60325.html&cid=52779664774632&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGVcBROk0Sj03y2DH48xuPskAXYPQ""",Not Reachable,"""Live Trading News"""
"""Nov 2, 2017""","""Elliott Management Enlists UBS in NXP\u00a0Campaign""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/elliott-management-enlists-ubs-in-nxp-campaign-1509654073&cid=52779658354360&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHX8s7EwxQOKCaiv0IOXbfkcPOm0w""",11,"""Wall Street Journal"""
"""21 hours ago""","""Amazon Web Services (AWS) and NXP Unleash Limitless IoT Opportunity with Node\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/press-release/amazon-web-services-aws-and-nxp-unleash-limitless-iot-opportunity-with-nodetocloud-connectivity-20171129-00995&cid=52779698007620&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNEPV4emYOt2sraEd_A2pw5bs2LclQ""",12,"""Nasdaq"""
"""Nov 27, 2017""","""NXP Demonstrates the Power of Secure Edge Processing and Machine Learning with\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/27/1206454/0/en/NXP-Demonstrates-the-Power-of-Secure-Edge-Processing-and-Machine-Learning-with-AWS-Greengrass-at-AWS-re-Invent-2017.html&cid=52779693390215&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHavZ4rBtZJxpKRXMUTtU8D6cMvBQ""",13,"""GlobeNewswire (press release)"""
"""Nov 2, 2017""","""Stock Performance Review on Semiconductor Industry -- Maxim Integrated\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/stock-performance-review-on-semiconductor-industry----maxim-integrated-products-nxp-semiconductors-qorvo-and-neophotonics-654671983.html&cid=52779660232248&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFnfYMjbIzalrHJUqh0GrLjUK4nOg""",14,"""PR Newswire (press release)"""
"""Nov 16, 2017""","""Analyzing NXP Semiconductors NV (NXPI) and The\u00a0Competition""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/16/nxp-semiconductors-n-v-nxpi-and-its-competitors-head-to-head-review.html&cid=52779675522176&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFCV97eoCiIL7ba7hkHZgsOmJlBww""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Beguiling Stocks- NXP Semiconductors NV (NASDAQ:NXPI) a Semiconductor \u2013 Broad\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/29/beguiling-stocks-nxp-semiconductors-n-v-nasdaqnxpi-a-semiconductor-broad-line-company/&cid=52779697467745&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNE0xva1MmAkb9ecBby-goKxK8xmgA""",15,"""The Stock Street (press release)"""
"""Nov 26, 2017""","""Stock Alert: NXP Semiconductors NV Stock Volatility Hits An Extreme\u00a0Low""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.cmlviz.com/2017/11/26/stock-alert-nxp-semiconductors-n-v-stock-volatility-hits-an-extreme-low.html&cid=52779692680046&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFKpAmPsR9feRXRcjo8Vlps6LffnQ""",16,"""CML News"""
"""Nov 2, 2017""","""NXP and Chongqing Establish Center for Automotive Electronics Applications\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/02/1173224/0/en/NXP-and-Chongqing-Establish-Center-for-Automotive-Electronics-Applications-Development-in-China.html&cid=52779660100772&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFARZJ-HTOXUUoxJqmUYQKCGj7Xsg""",17,"""GlobeNewswire (press release)"""
"""Nov 21, 2017""","""The stocks that governs the market: NXP Semiconductors NV\u00a0(NASDAQ:NXPI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/21/the-stocks-that-governs-the-market-nxp-semiconductors-n-v-nasdaqnxpi/&cid=52779682288537&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHgbwk63fgn3HOxtNNK2OKxqgIgfw""",18,"""The News Journal"""
"""Nov 29, 2017""","""NXP Semiconductors NV (NASDAQ: NXPI) \u2013 Comprehensive Stock\u00a0Analysis""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://alphabetastock.com/nxp-semiconductors-n-v-nasdaq-nxpi-comprehensive-stock-analysis/&cid=52779691579183&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGE61iJ0a2zvILrYl-RK3XdHA78Vg""",19,"""Alpha Beta Stock"""
"""16 hours ago""","""Traders Keen on NXP Semiconductors NV (NASDAQ:NXPI) as it Makes Headlines With\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nlrnews.com/traders-keen-on-nxp-semiconductors-n-v-nasdaqnxpi-as-it-makes-headlines-with-moves/372232/&cid=52779695436126&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGWqjPpUtizCSRQCspJlgjJJiWyOA""",20,"""Nelson Research"""
"""Nov 28, 2017""","""Twin Securities Maintains Position in Nxp Semiconductors NV (Call) (NXPI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/twin-securities-maintains-position-in-nxp-semiconductors-n-v-call-nxpi-archon-partners-lowered-its-federated-invs-pa-fii-holding-by-1-81-million-as-valuation-declined/&cid=52779693734039&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHehaewd_Ip-ybIaVBa0jzu4rYvyw""",21,"""BZ Weekly"""
"""Nov 23, 2017""","""NXP Semiconductors NV, (NASDAQ: NXPI), Synopsys, Inc., (NASDAQ: SNPS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/23/477hg-nxp-semiconductors-n-v-nasdaq-nxpi-synopsys-inc-nasdaq-snps-franklin-resources-inc-nyse-ben-silver-spring-networks-inc-nyse-ssni/&cid=52779683687709&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNFgWWB4TDOHXYN_FaD0-uJ3MO96Ug""",Not Reachable,"""Stocks In The News (press release)"""
"""Nov 29, 2017""","""Yesterday Trading Recap NXP Semiconductors NV (NXPI) Stock Price trades\u00a03.90%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.analystsbuzz.com/2017/11/29/yesterday-trading-recap-nxp-semiconductors-n-v-nxpi-stock-price-trades-3-90/&cid=52779695557472&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHeeyfg3rRWnC_k11vRKTsY9C7fQQ""",22,"""Voice Of Analysts"""
"""Nov 6, 2017""","""Right Time To Pull Money Out Of NXP Semiconductors NV (NXPI), The Home Depot\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/06/right-time-to-pull-money-out-of-nxp-semiconductors-n-v-nxpi-the-home-depot-inc-hd/&cid=52779662019080&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNEDlcBQILq5_EemxW9TcHGmnTpBGQ""",23,"""Post Analyst"""
"""Nov 12, 2017""","""Robert W. Baird Reiterates \u201cHold\u201d Rating for NXP Semiconductors NV\u00a0(NASDAQ:NXPI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/12/nxp-semiconductors-n-v-s-nxpi-hold-rating-reaffirmed-at-robert-w-baird.html&cid=52779670966889&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGt2W0T9KNY7x0Zxt_wL3IA7W9DeA""",Not Reachable,"""The Ledger Gazette"""
"""Nov 28, 2017""","""Global Magnetic Field Sensors Market 2017- Infineon Technologies AG , NXP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://chiefobserver.com/2017/11/global-magnetic-field-sensors-market/&cid=52779695999466&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNHEXN3mk5juXTuPrklmNjj-4YYwZg""",24,"""The Chief Observer"""
"""Nov 14, 2017""","""Wondrous Stocks: Rite Aid Corporation (NYSE:RAD), NXP Semiconductors NV\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/14/wondrous-stocks-rite-aid-corporation-nyserad-nxp-semiconductors-n-v-nasdaqnxpi-orient-paper-inc-nyseonp-atlassian-corporation-plc-nasdaqteam/&cid=52779670236146&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNESRMcqZf4nN9hbu0uNYynpMWtn5w""",25,"""The Stock Street (press release)"""
"""Nov 29, 2017""","""NXP Semiconductors NV (NXPI) Swings on Assorted Margin Ratio Analysis\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investingbizz.com/2017/11/nxp-semiconductors-n-v-nxpi-swings-on-assorted-margin-ratio-analysis-regeneron-pharmaceuticals-inc-regn/&cid=52779694786311&ei=IzUgWpGjONTa2AaJ143ABw&usg=AFQjCNGDsw2GEb86j-okD3Ngr2lBAqr9oQ""",26,"""Investing News Update"""
