Date,Title,Link,Status,Source
"""4 hours ago""","""Revenue Approximations Analysis: Columbia Property Trust, Inc. (CXP), Paychex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/revenue-approximations-analysis-columbia-property-trust-inc-cxp-paychex-inc-payx/&cid=52779693998517&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNGUkRQ4HBLmfmLxB1Bd2sGaFucISw""",1,"""StockNewsJournal"""
"""Nov 14, 2017""","""40 Under 40: Juan Barbaran, Paychex Inc.; Juan of a Kind\u00a0Foods""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/baltimore/feature/40-under-40-2017/40-under-40-juan-barbaran-paychex-inc-juan-of-a.html&cid=0&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNEDrsUGB8XkJJfeSFI71Hp68_MiRw""",2,"""Baltimore Business Journal"""
"""Nov 29, 2017""","""The Current Analyst Recommendations for Denbury Resources Inc. (DNR), Paychex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/the-current-analyst-recommendations-for-denbury-resources-inc-dnr-paychex-inc-payx/&cid=52779696279847&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNFdRiNVdNkN0bpKJMMf9ESY3kl24g""",3,"""AllStockNews"""
"""Nov 27, 2017""","""Paychex, Inc. (NASDAQ:PAYX) Shares Sold by Candriam Luxembourg\u00a0SCA""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/27/candriam-luxembourg-s-c-a-sells-9460-shares-of-paychex-inc-payx.html&cid=52779692628350&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNHBNTgRo6wsxB8I1T5aNe5zK7sT1g""",Not Reachable,"""The Ledger Gazette"""
"""Nov 23, 2017""","""Lookout for Price Target? Gaming and Leisure Properties, Inc. (GLPI), Paychex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/23/lookout-for-price-target-gaming-and-leisure-properties-inc-glpi-paychex-inc-payx/&cid=52779683942284&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNFMd2MPo59ENUzQTJCCgIQSPW7HCA""",4,"""StockNewsJournal"""
"""Nov 13, 2017""","""Paychex Recognized as Provider of Best HR Outsourcing for Small Businesses by\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/paychex-recognized-as-provider-of-best-hr-outsourcing-for-small-businesses-by-inccom-300554773.html&cid=52779674687657&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNHI_T4Yr19-D-sCVvPdoUeHzYfNEw""",5,"""PR Newswire (press release)"""
"""Nov 29, 2017""","""Cadence Capital Management LLC Cuts Stake in Paychex, Inc.\u00a0(PAYX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/cadence-capital-management-llc-cuts-stake-in-paychex-inc-payx.html&cid=52779695982168&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNGdikERkxm1-x9INsLaYFWfcAlAtQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 26, 2017""","""Paychex, Inc. (PAYX) Given Sell Rating at Royal Bank Of\u00a0Canada""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/paychex-inc-payx-stock-rating-reaffirmed-by-royal-bank-of-canada.html&cid=52779687561142&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNGBc7fR-w5qyYvPRkSiND8P4kJ2yw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 14, 2017""","""Why Investors remained buoyant on: Paychex, Inc. (PAYX), American Airlines\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/14/why-investors-remained-buoyant-on-paychex-inc-payx-american-airlines-group-inc-aal/&cid=52779674601472&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNEyHHO4401kMnUR214XFbkp1B9MIQ""",6,"""StockNewsJournal"""
"""1 hour ago""","""Paychex, Inc. (NasdaqGS:PAYX) Trading Scope & Share\u00a0Update""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestockrover.com/paychex-inc-nasdaqgspayx-trading-scope-share-update/&cid=52779692710006&ei=czcgWpGaO8KU2AbU2LbQCw&usg=AFQjCNFawedxU2g5ncJp6ZnRe01tX8XxpQ""",7,"""Stock Rover"""
