Date,Title,Link,Status,Source
"""Nov 7, 2017""","""Priceline Group Inc (PCLN), Travel Companies Are in\u00a0Trouble""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-07/priceline-group-inc-pcln-stock-earnings&cid=52779664476468&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNGwKpemUnr_gVZftCC8a_I9tZxZ7Q""",Not Reachable,"""U.S. News & World Report"""
"""Nov 6, 2017""","""The Priceline Group Inc. Q3 Earnings Advance\u00a019%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/the-priceline-group-inc-q3-earnings-advance-19-20171106-01423&cid=52779665008658&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNGFPASNTpCij5v8adF5XSGsxgjg2w""",1,"""Nasdaq"""
"""Nov 21, 2017""","""Gsa Capital Partners Llp Buys Yandex NV, Tesla Inc, The Priceline Group Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/gsa-capital-partners-llp-buys-yandex-nv-tesla-inc-the-priceline-group-inc-sells-chipotle-cm880801&cid=52779685227397&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNEgv0NAeFzrVpSdE8XlLnyEJG8s8Q""",2,"""Nasdaq"""
"""Nov 27, 2017""","""Priceline Group's (PCLN) Raised to\u00a0Hold""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/priceline-groups-pcln-raised-to-hold/&cid=52779694015020&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNGR2TfetkOgk5x7JAHBr-FXg1GrWw""",3,"""Investorplace.com"""
"""Nov 8, 2017""","""The Priceline Group Inc. (PCLN) Moves Higher on Volume Spike for November\u00a008""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-priceline-group-inc-pcln-moves-higher-on-volume-spike-for-november-08&cid=52779667276194&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNG2I3SRmbfyP6XwtAuiZHcr1av4FQ""",Not Reachable,"""Equities.com"""
"""Nov 20, 2017""","""Inside Priceline Group's Diss of Trivago \u2014 The\u00a0Backstory""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://skift.com/2017/11/20/inside-priceline-groups-diss-of-trivago-the-back-story/&cid=0&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNHxT3yaFSugIccAMqOCfP0FOkwokg""",Not Reachable,"""Skift"""
"""Nov 7, 2017""","""Relative Strength Alert For Priceline\u00a0Group""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/relative-strength-alert-for-priceline-group-cm873182&cid=52779666277582&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNEwBskxut-4yxgJ8w0KitkurZNx0A""",4,"""Nasdaq"""
"""Nov 20, 2017""","""Priceline Group (PCLN) Stock Upgraded to Hold from a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/priceline-group-pcln-stock-upgraded-to-hold-from-a-sell/&cid=52779685283414&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNEXfnW_MbgZ_g0ukxXEC4cWTvJ2EA""",5,"""Investorplace.com"""
"""Nov 6, 2017""","""Priceline lower after guidance\u00a0disappoints""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3308690-priceline-lower-guidance-disappoints&cid=0&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNEVhtTdr6ywBhYTFc3uyuFSFoEFUg""",Not Reachable,"""Seeking Alpha"""
"""Nov 13, 2017""","""Anemic Quant Score Drop Priceline Group (PCLN) to\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/anemic-quant-score-drop-priceline-group-pcln-to-sell/&cid=52779675642479&ei=yTkgWtnZHonFjAHouZ3ACQ&usg=AFQjCNECaCC3SlLZ-yTs-SDUhmHjRK5qGA""",6,"""Investorplace.com"""
