Date,Title,Link,Status,Source
"""Nov 29, 2017""","""iShares S&P US Pref Stock Idx Fnd (PFF) Shares Sold by First National Trust\u00a0Co.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/ishares-sp-us-pref-stock-idx-fnd-pff-shares-sold-by-first-national-trust-co-4.html&cid=52779695856895&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNEZN38b5KTtQBbt32KyGRs6375sTA""",Not Reachable,"""The Ledger Gazette"""
"""5 hours ago""","""Welch & Forbes LLC Boosts Position in iShares S&P US Pref Stock Idx Fnd\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/welch-forbes-llc-boosts-position-in-ishares-sp-us-pref-stock-idx-fnd-pff.html&cid=52779697959700&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNGyGtVisABtMY1yE8J4abocVlqK-Q""",Not Reachable,"""StockNewsTimes"""
"""Sep 28, 2017""","""iShares S&P US Pref Stock Idx (ETF) (PFF): The Quick Guide to\u00a0PFF""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/09/ishares-sp-u-s-pref-stock-idx-etf-pff-the-quick-guide/&cid=52779620266149&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNGmDxJGhOgQKo2PgznXwSXSqtkkdg""",1,"""Investorplace.com"""
"""17 hours ago""","""iShares S&P US Pref Stock Idx Fnd (PFF) Receives Coverage Optimism Rating of\u00a00.28""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/29/ishares-sp-us-pref-stock-idx-fnd-pff-receives-coverage-optimism-rating-of-0-28.html&cid=52779696715664&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNFpLFi2j90-iGBwYvpsf3flC-KYGQ""",Not Reachable,"""StockNewsTimes"""
"""Nov 26, 2017""","""Sowell Financial Services LLC Reduces Holdings in iShares S&P US Pref Stock\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/sowell-financial-services-llc-sells-27476-shares-of-ishares-sp-us-pref-stock-idx-fnd-pff.html&cid=52779688694720&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNHeVtvw2lEM9U_-nHMSmyDJHhzRpQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 28, 2017""","""Regal Investment Advisors LLC Has $7.04 Million Position in iShares S&P US\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/28/regal-investment-advisors-llc-has-7-04-million-position-in-ishares-sp-us-pref-stock-idx-fnd-pff.html&cid=52779694154178&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNGlUzlzCq5xUrIIjHxq0N_tiW2EWg""",Not Reachable,"""The Ledger Gazette"""
"""May 2, 2016""","""Why It's A Good Idea To Prefer Preferred\u00a0ETFs""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/trading-ideas/long-ideas/16/05/7911570/why-its-a-good-idea-to-prefer-preferred-etfs&cid=52779099154098&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNEbLwp-16xzLdlNv2RJ6LxGLqyMYg""",2,"""Benzinga"""
"""Nov 16, 2017""","""Mechanics Bank Trust Department Boosts Holdings in iShares S&P US Pref Stock\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/16/ishares-sp-us-pref-stock-idx-fnd-pff-stake-lifted-by-mechanics-bank-trust-department.html&cid=52779678107520&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNEEMxIe8ov0GPcYNISlaCmL_Z-Yjw""",Not Reachable,"""The Ledger Gazette"""
"""Aug 2, 2017""","""Are Preferred Stock ETFs Worth The Credit Risk?\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/08/02/are-preferred-stock-etfs-worth-the-credit-risk-pff/&cid=52779567469172&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNHapCQj0VGWDmYeaw_bEGpc_INh9w""",3,"""ETF Daily News (blog)"""
"""Nov 17, 2017""","""JFS Wealth Advisors LLC Boosts Holdings in iShares S&P US Pref Stock Idx Fnd\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/17/ishares-sp-us-pref-stock-idx-fnd-pff-shares-bought-by-jfs-wealth-advisors-llc.html&cid=52779678736389&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNHhb3CYaSDuPa2-xhw-YNTXRCXlHw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 15, 2017""","""SR Schill & Associates Invests $2.01 Million in iShares S&P US Pref Stock Idx\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/23/51652-shares-in-ishares-sp-us-pref-stock-idx-fnd-pff-acquired-by-s-r-schill-associates.html&cid=0&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNHTseyhQnC3-zdQNedaoIS3XBA9qQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 10, 2017""","""JFS Wealth Advisors LLC Boosts Position in iShares S&P US Pref Stock Idx Fnd\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/10/ishares-sp-us-pref-stock-idx-fnd-pff-shares-bought-by-jfs-wealth-advisors-llc.html&cid=52779669958934&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNFg-k9aFFUbk7zJl8IqY0KYT3j0rA""",Not Reachable,"""The Ledger Gazette"""
"""Aug 21, 2017""","""Preferred Shares Aren't The Only Way To Get High Yield Exposure\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/08/21/preferred-shares-arent-the-only-way-to-get-high-yield-exposure-pff/&cid=52779585043783&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNG4sytHSDSY_zQZoNYd6yU9iMD3CA""",4,"""ETF Daily News (blog)"""
"""Nov 2, 2017""","""How To Diversify Your Investment Income Stream\u00a0(PFF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/02/how-to-diversify-your-investment-income-stream-pff/&cid=52779660152618&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNF3ZBWpdOtcMybb2NaKz73hOzdIeA""",5,"""ETF Daily News (blog)"""
"""Nov 9, 2017""","""iShares S&P US Pref Stock Idx Fnd (PFF) is Edge Wealth Management LLC's 6th\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/09/ishares-sp-us-pref-stock-idx-fnd-pff-shares-bought-by-edge-wealth-management-llc.html&cid=52779668403948&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNH6rrRPt5kZA8sZnBEea1KZRs8LBg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 23, 2017""","""iShares S&P US Pref Stock Idx Fnd (NYSE:PFF) Shares Bought by CNO Financial\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/23/ishares-sp-us-pref-stock-idx-fnd-pff-shares-bought-by-cno-financial-group-inc.html&cid=52779687299037&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNFaOQGYInHoA-JWcowbkADkYzLyYg""",Not Reachable,"""StockNewsTimes"""
"""Oct 19, 2016""","""PFF: Are You Really Gonna Buy The Worst Preferred\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4013141-pff-really-gonna-buy-worst-preferred-stock&cid=0&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNGOv_HNXdGeSnez5NvJUcVnJh7m5w""",Not Reachable,"""Seeking Alpha"""
"""Nov 14, 2017""","""iShares S&P US Pref Stock Idx Fnd (PFF) Sees Significant Drop in Short\u00a0Interest""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/14/ishares-sp-us-pref-stock-idx-fnd-pff-sees-significant-drop-in-short-interest.html&cid=52779675725353&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNFvitvmapv5yc5hJpWpjjF9YWUzDw""",Not Reachable,"""StockNewsTimes"""
"""Apr 8, 2016""","""PFF And The EU Financials\u00a0Sell-Off""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/3964005-pff-eu-financials-sell&cid=0&ei=JTwgWsnJM9Ta2AaJ143ABw&usg=AFQjCNEH6yVOhtz7zOgqThVRk8ThOsNvgQ""",Not Reachable,"""Seeking Alpha"""
