Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Why The German Court Order Won't Hurt\u00a0PayPal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127813-german-court-order-hurt-paypal&cid=52779693129882&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNE5rxZQywUjU2-vVAZO-blJZXIBwg""",1,"""Seeking Alpha"""
"""Nov 17, 2017""","""PayPal: The Growth Is Not\u00a0Finished""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126030-paypal-growth-finished&cid=0&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNE2JabVwqTAa4qjMIy6q9ILp6tZQQ""",Not Reachable,"""Seeking Alpha"""
"""3 hours ago""","""Paypal Holdings Inc (NASDAQ:PYPL) Heffx Trading\u00a0Outlook""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livetradingnews.com/paypal-holdings-inc-nasdaqpypl-heffx-trading-outlook-64104.html&cid=52779696932719&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNHWHdiHSh_XwWne4DWN60oaNnXTWg""",Not Reachable,"""Live Trading News"""
"""Nov 22, 2017""","""Better Buy: Square Inc. vs.\u00a0PayPal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-square-inc-vs-paypal.aspx&cid=52779683676581&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNG3BfW5F2SLuj5YrtLGqUTGYjv0KA""",2,"""Motley Fool"""
"""Nov 8, 2017""","""A New Assault On\u00a0PayPal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122555-new-assault-paypal&cid=0&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNF2Kxc5VeAgPdDhS6_4yYWZSmjo8A""",Not Reachable,"""Seeking Alpha"""
"""4 hours ago""","""Financially Devastating or Fantastic? \u2013 PayPal Holdings, Inc. (PYPL), Wesco\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/30/financially-devastating-or-fantastic-paypal-holdings-inc-pypl-wesco-aircraft-holdings-inc-wair/&cid=52779693738317&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNGLFhFJnCY2fms_VJKKqetJy3Pt2A""",3,"""StockNewsGazette"""
"""Nov 10, 2017""","""Marvin & Palmer Associates Inc Buys Celgene Corp, PayPal Holdings Inc, Adobe\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/marvin-palmer-associates-inc-buys-celgene-corp-paypal-holdings-inc-adobe-systems-inc-cm875683&cid=0&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNGUWo71781FdsKpiKb7AtycrRWU1g""",4,"""Nasdaq"""
"""Nov 11, 2017""","""With security hole, PayPal suspends TIO Networks\u00a0business""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3311276-security-hole-paypal-suspends-tio-networks-business&cid=52779671025057&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNGwVle8XEPhK51ust_csjb5gcDRSw""",Not Reachable,"""Seeking Alpha"""
"""Nov 8, 2017""","""PayPal starts payment services in\u00a0India""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-paypalholdingsinc-india/paypal-starts-payment-services-in-india-idUSKBN1D82KM&cid=52779667083078&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNGke9XE7Z1q_jnfmj4Bq6cX-Mk8ZA""",5,"""Reuters"""
"""3 hours ago""","""Buy/Sell Signals for Applied Materials, Inc. (AMAT) and PayPal Holdings, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/buysell-signals-for-applied-materials-inc-amat-and-paypal-holdings-inc-pypl/&cid=52779697725794&ei=Oj0gWpDiI4G02AaFhL-oCw&usg=AFQjCNHmEcuoRZqeGBMxpPD1JobAvB2LBQ""",6,"""USA Commerce Daily"""
