Date,Title,Link,Status,Source
"""2 hours ago""","""Take a Chance, Go Long PayPal Holdings\u00a0Inc""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/second-chance-long-paypal-holdings-inc-pypl-stock/&cid=52779695789444&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNE7msU2Hw1i1C_0y6EiNUFmWGh_Wg""",1,"""Investorplace.com"""
"""2 hours ago""","""How to Catch Falling Apple Inc. Stock for Free \u2026\u00a0AGAIN!""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/how-to-catch-falling-apple-inc-stock-for-free-again/&cid=52779697973423&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNGs_BF1w59g4cVQeb5h3seASDFmYQ""",2,"""Investorplace.com"""
"""Nov 21, 2017""","""Three Macroeconomic Trends To Be Thankful For This Thanksgiving\u00a0(QQQ)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/21/three-macroeconomic-trends-to-be-thankful-for-this-thanksgiving-qqq/&cid=0&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNHkzVhO78WRsSlakZIxVgVdsEUM4g""",3,"""ETF Daily News (blog)"""
"""Nov 13, 2017""","""Technology Bulls Are Flooding Back Into The\u00a0QQQ""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/13/technology-bulls-are-flooding-back-into-the-qqq/&cid=52779674609207&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNEJtmvhbnc2n8NGshM_llQk76_SIg""",4,"""ETF Daily News (blog)"""
"""Nov 15, 2017""","""What Might Tax Reform Mean For Your Retirement\u00a0Account?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/16/what-might-tax-reform-mean-for-your-retirement-account/&cid=52779674541984&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNEJ6_aF5Db7cmiQxMxB6T90DeV8BQ""",5,"""ETF Daily News (blog)"""
"""Nov 15, 2017""","""What's in PowerShares QQQ Trust, Series 1 (ETF) (QQQ) After Forming Wedge\u00a0Up?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/whats-in-powershares-qqq-trust-series-1-etf-qqq-after-forming-wedge-up/&cid=52779675813468&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNHPdXwruSjww6yyceFAN_wpWwUNzw""",6,"""WeeklyHub"""
"""Nov 18, 2017""","""iShares S&P NA Tec. Semi. Idx. Fd.(ETF) (SOXX) & PowerShares QQQ Trust, Series\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/18/ishares-s-powershares-qqq-trust-series-1-qqq-head-to-head-comparison.html&cid=52779679986111&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNG46ejsKdWZPwOO2dyaYGvvO9jhZw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 14, 2017""","""Tech Stocks: 2017 Looks Nothing Like 2000\u00a0(QQQ)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/14/tech-stocks-2017-looks-nothing-like-2000-qqq/&cid=52779675671075&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNEMbadCVlxtsBNaau774E-U4EVdXQ""",7,"""ETF Daily News (blog)"""
"""Nov 21, 2017""","""PowerShares QQQ Trust, Series 1 (ETF) Registered $-54.09M Redemptions Due To\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/powershares-qqq-trust-series-1-etf-registered-54-09m-redemptions-due-to-0-09-aum-decrease/&cid=52779683442283&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNHnkfOouSyTeX8W9jHtdLv0YYrGhg""",8,"""BZ Weekly"""
"""Nov 1, 2017""","""Investors Pile Into QQQ Ahead Of Apple Earnings\u00a0(AAPL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://etfdailynews.com/2017/11/01/investors-pile-into-qqq-ahead-of-apple-earnings-aapl/&cid=52779658667303&ei=X0AgWvm5M5OJjAHVqqioAQ&usg=AFQjCNG_1LHLy2TAXfSSG2RKN5chEBps7w""",9,"""ETF Daily News (blog)"""
