Date,Title,Link,Status,Source
"""Nov 29, 2017""","""Regeneron Pharma, Decibel Announce Collaboration - Quick\u00a0Facts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/regeneron-pharma-decibel-announce-collaboration--quick-facts-20171129-00307&cid=52779693077347&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNHqjO4Ku2JVWm_cbH4K5Ej5wU55tQ""",1,"""Nasdaq"""
"""Nov 8, 2017""","""Regeneron Pharmaceuticals (REGN) Q3 2017 Results - Earnings Call\u00a0Transcript""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122390-regeneron-pharmaceuticals-regn-q3-2017-results-earnings-call-transcript&cid=52779666634643&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNHWDWkSInp3T6vmI1mf_0QOsszGCQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""Regeneron Pharmaceuticals (REGN) a Hold on Uninspiring Industry Group\u00a0Rank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/regeneron-pharmaceuticals-regn-a-hold-on-uninspiring-industry-group-rank/&cid=52779694015020&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNElLAaCiCCvJwoj6ZHaBx21fgLL7w""",2,"""Investorplace.com"""
"""Nov 3, 2017""","""Regeneron Pharmaceuticals Inc. (REGN) Rises 2.76% for November\u00a003""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/regeneron-pharmaceuticals-inc-regn-rises-2-76-for-november-03&cid=52779659377127&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNEWrcO_nR8Ce4oxWiAW60zVko0kLg""",Not Reachable,"""Equities.com"""
"""Nov 8, 2017""","""Regeneron Pharmaceuticals Inc. (REGN) Rises 2.67% for November\u00a008""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/regeneron-pharmaceuticals-inc-regn-rises-2-67-for-november-08&cid=52779667502222&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNEG-ka7u5sX-zeH3e3n05lrOuUDew""",Not Reachable,"""Equities.com"""
"""Nov 20, 2017""","""Regeneron Pharmaceuticals is Now Oversold\u00a0(REGN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/regeneron-pharmaceuticals-is-now-oversold-regn-cm880142&cid=52779683939223&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNEGbHXSHPutVahmN4N64Tcyv96cvg""",3,"""Nasdaq"""
"""Nov 20, 2017""","""Regeneron Pharmaceuticals (REGN) a Hold on Poor Industry Group\u00a0Rank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/regeneron-pharmaceuticals-regn-a-hold-on-poor-industry-group-rank/&cid=52779685283414&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNFJBGyuG0TmMnmttfnSGzOa9-mrlA""",4,"""Investorplace.com"""
"""Nov 15, 2017""","""Regeneron Pharmaceuticals, Inc. (REGN): From Top to\u00a0Bottom""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/15/regeneron-pharmaceuticals-inc-regn-from-top-to-bottom/&cid=52779674410497&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNG6dHUViR4vU5LgKhuSlqVxxBY5jA""",5,"""StockNewsJournal"""
"""Nov 3, 2017""","""Will Regeneron Pharma (REGN) Disappoint in Q3\u00a0Earnings?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/will-regeneron-pharma-regn-disappoint-in-q3-earnings-cm871355&cid=52779660078923&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNGDXmQqkNNWPPy8m1ADoS6M6bhkNg""",6,"""Nasdaq"""
"""Nov 26, 2017""","""Regeneron Pharmaceuticals, Inc. (REGN) Holdings Reduced by Manning & Napier\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/regeneron-pharmaceuticals-inc-regn-shares-sold-by-manning-napier-advisors-llc.html&cid=52779687268735&ei=_0IgWoiMCYPwjAHk-6vQCQ&usg=AFQjCNEcgcvBz-ZC9jJaT5AwfAvITX8wJQ""",Not Reachable,"""The Ledger Gazette"""
