Date,Title,Link,Status,Source
"""Nov 19, 2017""","""Ross Stores, Inc. Surges to New Highs With Another Earnings\u00a0Beat""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/19/ross-stores-inc-surges-to-new-highs-with-another-e.aspx&cid=52779681068334&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNGWbfCJ2N6SEQL5f3qf9YhOIFxAHQ""",1,"""Motley Fool"""
"""Nov 29, 2017""","""Ross Stores, Inc. (ROST) Ex-Dividend Date Scheduled for November 30,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ross-stores-inc-rost-ex-dividend-date-scheduled-for-november-30-2017-cm883807&cid=52779693094648&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFHI_LwBNeDY9kMsKOa_Q2vdcN30g""",2,"""Nasdaq"""
"""Nov 26, 2017""","""Ross' Black Friday Sale\u00a0Price""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127658-ross-black-friday-sale-price&cid=52779689017699&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNEUzMrI1b8ULBPVbUav3wfzF6Jfnw""",Not Reachable,"""Seeking Alpha"""
"""19 hours ago""","""Ross Stores Inc. (ROST) Rises 4.31% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/ross-stores-inc-rost-rises-4-31-for-november-29&cid=52779696935884&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNF9kWMej0z2CuON0tP4B-MVom09YQ""",Not Reachable,"""Equities.com"""
"""Nov 17, 2017""","""Why Ross Stores, Inc. Stock Popped\u00a0Today""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/17/why-ross-stores-inc-stock-popped-today.aspx&cid=52779678112446&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFwLn3-7BeMgbc-MCo6Fsz70VZcTw""",3,"""Motley Fool"""
"""3 hours ago""","""Reliable Long-term Trend to Profit From: Ross Stores, Inc. (ROST), Quest\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/30/reliable-long-term-trend-to-profit-from-ross-stores-inc-rost-quest-diagnostics-incorporated-dgx/&cid=52779697965826&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFs50sr-KG-Q0swFAltK_jmmw-aMA""",4,"""StockNewsGazette"""
"""Nov 29, 2017""","""Which Way Traders Signposts MGIC Investment Corporation (MTG), Ross Stores\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/which-way-traders-signposts-mgic-investment-corporation-mtg-ross-stores-inc-rost-stocks/&cid=52779687748600&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNGXrZyo7hOTh0oqR-7sOlbi3MzB2w""",5,"""StockNewsJournal"""
"""Nov 16, 2017""","""Earnings Reaction History: Ross Stores, Inc., 62.5% Follow-Through Indicator\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/earnings-reaction-history-ross-stores-inc-625-follow-through-indicator-51-sensitive-cm878807&cid=52779679010102&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFV0P9kENLtoxcdOqnmQ5Bdma1kOA""",6,"""Nasdaq"""
"""Nov 16, 2017""","""Gap, Ross Surge as Discount Format Still Luring in\u00a0Shoppers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-16/gap-s-old-navy-chain-boosts-hopes-for-retailer-s-turnaround&cid=52779680640478&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFPvERjSOYgK5dXNpBXPIcoAyVcEQ""",7,"""Bloomberg"""
"""Nov 15, 2017""","""Ross Stores Announces Quarterly\u00a0Dividend""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171115006488/en/Ross-Stores-Announces-Quarterly-Dividend&cid=52779671120593&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNHyHs0odXkICFSnKxHJisSNWZDh0A""",8,"""Business Wire (press release)"""
"""3 hours ago""","""Teetering Stocks- Ross Stores, Inc. (NASDAQ:ROST) a Apparel Stores\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/30/teetering-stocks-ross-stores-inc-nasdaqrost-a-apparel-stores-company/&cid=52779697835895&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNGauYm5anvqtjiJ7TFVzQ5Sid5lHA""",9,"""The Stock Street (press release)"""
"""Nov 29, 2017""","""Check Out the Odds on Cummins Inc. (CMI), Ross Stores, Inc.\u00a0(ROST)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/check-out-the-odds-on-cummins-inc-cmi-ross-stores-inc-rost/&cid=52779696100411&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNHVl_hWHeoBNh85Qc_E8eCpddu8Ig""",10,"""AllStockNews"""
"""3 hours ago""","""Critical Performance Analysis under Limelight: Ross Stores, Inc.\u00a0(NASDAQ:ROST)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nasdaqtimes.com/critical-performance-analysis-under-limelight-ross-stores-inc-nasdaqrost/&cid=52779696346996&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNEHZPD11ia2cqvr3_MMRCX55xbJ7Q""",11,"""NASDAQ Times"""
"""Nov 17, 2017""","""Ross Stores (ROST) Rallies on Solid Q3 Earnings, Raised\u00a0View""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ross-stores-rost-rallies-on-solid-q3-earnings-raised-view-cm878995&cid=52779679065021&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNHTooGP2wYaZWw60CUqCa-7RawIcg""",12,"""Nasdaq"""
"""5 hours ago""","""Time To Get Cautious? \u2013 Annaly Capital Management, Inc. (NLY), Ross Stores\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/time-to-get-cautious-annaly-capital-management-inc-nly-ross-stores-inc-rost/&cid=52779697931716&ei=PEMgWuHBM5OJjAHVqqioAQ&usg=AFQjCNFMj6XCh7W6tT03MCyr20gj2G1wUQ""",13,"""USA Commerce Daily"""
