Date,Title,Link,Status,Source
"""Jul 18, 2017""","""3 Reasons Why Ryanair Holdings plc (ADR) (RYAAY) Stock Is a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://investorplace.com/2017/07/3-reasons-why-ryanair-holdings-plc-adr-ryaay-stock-is-a-buy/&cid=52779554376066&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNHDQOMhXyoZ5ywy5nSNXdjwV99nZA""",1,"""Investorplace.com"""
"""Nov 5, 2017""","""$4.40 EPS Expected for Ryanair Holdings plc (ADR)\u00a0(RYAAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/4-40-eps-expected-for-ryanair-holdings-plc-adr-ryaay/&cid=52779667593886&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNG_U6GJAOzBfiTtXdfHWIF6fJ1XiQ""",2,"""WeeklyHub"""
"""Nov 7, 2017""","""Could Ryanair Holdings Plc Ads (NASDAQ:RYAAY) Change Direction After Less\u00a0Shorts?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/could-ryanair-holdings-plc-ads-nasdaqryaay-change-direction-after-less-shorts/&cid=52779662059992&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNEc33Ziubw0Ln0Awszrp1Wg5x9USQ""",3,"""WeeklyHub"""
"""Nov 26, 2017""","""Night Owl Capital Management Cut Its Mastercard (MA) Stake; Ryanair Holdings\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/night-owl-capital-management-cut-its-mastercard-ma-stake-ryanair-holdings-plc-adr-ryaay-had-5-analysts-last-week/&cid=52779685098469&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNHBBIXijCbJGYVYk8qDVi5YzUzB-A""",4,"""Wolcott Daily"""
"""Oct 31, 2017""","""Investor News: Investigation of Ryanair Holdings plc (ADR) (NASDAQ:RYAAY\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.military-technologies.net/2017/10/31/investor-news-investigation-of-ryanair-holdings-plc-adr-nasdaqryaay-announced/&cid=52779654629208&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNEF44I9o1Fnxt19DgHeyeG8rFYn1Q""",Not Reachable,"""MilTech"""
"""Jan 20, 2016""","""Ryanair Should Buy\u00a0EasyJet""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/3820436-ryanair-buy-easyjet&cid=52779034268088&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNE4Gnarc_uL4RL9e0ZY0wWGSnIbBg""",Not Reachable,"""Seeking Alpha"""
"""Oct 18, 2017""","""SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://markets.businessinsider.com/news/stocks/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Ryanair-Holdings-plc-RYAAY-1004812489&cid=52779642522355&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNFYJC-3YPc8HDiQo4SOR5IseNaCHg""",Not Reachable,"""Markets Insider"""
"""Nov 1, 2017""","""bluebird bio (BLUE) Reaches $154.40 52-Week High; Ryanair Holdings plc (ADR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/bluebird-bio-blue-reaches-154-40-52-week-high-ryanair-holdings-plc-adr-ryaay-covered-by-5-bulls/&cid=52779657184859&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNEMqzXYlzxTguTfB5t_Cg60gc2Qvw""",Not Reachable,"""Key Gazette"""
"""Nov 22, 2017""","""Glazer Capital Increased Reynolds American (RAI) Stake; Ryanair Holdings plc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://santimes.com/glazer-capital-increased-reynolds-american-rai-stake-ryanair-holdings-plc-adr-ryaay-covered-by-5-bulls/&cid=52779686378455&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNFYwrlaSNAvnwVO3I3p5Va9zbOTHg""",Not Reachable,"""San Times"""
"""Nov 9, 2017""","""Fibria Celulose SA (ADR) (FBR) Reaches $15.77 After 4.00% Up Move; Ryanair\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://normanobserver.com/fibria-celulose-sa-adr-fbr-reaches-15-77-after-4-00-up-move-ryanair-holdings-plc-adr-ryaay-had-5-bullish-analysts/&cid=52779667484897&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNGEmQUgrgFCa8m7AJODNU6Z3JIUnQ""",Not Reachable,"""NormanObserver.com"""
"""Sep 28, 2017""","""Ryanair threatened with court action after cancellation\u00a0scandal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.marketwatch.com/story/ryanair-threatened-with-court-action-after-cancellation-scandal-2017-09-28&cid=52779619365756&ei=SkQgWsGTOMzRjAHNnI-wDw&usg=AFQjCNHe-vdQuBzCRU3M4so3zInb21KCXw""",5,"""MarketWatch"""
