Date,Title,Link,Status,Source
"""Nov 21, 2017""","""Here's How Starbucks Corporation Performed in Fiscal\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/21/heres-how-starbucks-corporation-performed-in-fisca.aspx&cid=52779683084485&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNEqUosn1RNdGEGMRxyiNpvZcLn_zg""",1,"""Motley Fool"""
"""Nov 27, 2017""","""Starbucks: Focusing On Overseas\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127805-starbucks-focusing-overseas-growth&cid=52779690372038&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNH_mnAutvnnTULy2ZG9GWdlESR_Xg""",Not Reachable,"""Seeking Alpha"""
"""Nov 3, 2017""","""Starbucks Corporation Is Making Some Big Changes Investors Need to Know\u00a0About""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/03/starbucks-corporation-is-making-some-big-changes-i.aspx&cid=52779660702598&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNHK6HXF04JviCLAW6HWVwzc3oZcLw""",2,"""Motley Fool"""
"""Nov 22, 2017""","""Starbucks Announces Closing of an Offering of $1 Billion of Senior\u00a0Notes""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171122005585/en/Starbucks-Announces-Closing-Offering-1-Billion-Senior&cid=52779686282057&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNEJrS0aE92KK5OOQoku-xwTtNwdSg""",3,"""Business Wire (press release)"""
"""Nov 14, 2017""","""Starbucks Corporation (SBUX) Ex-Dividend Date Scheduled for November 15,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/starbucks-corporation-sbux-ex-dividend-date-scheduled-for-november-15-2017-cm876909&cid=52779674746274&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNGCwaUpgZgrSYIyJxaUoAnKPkgGvw""",4,"""Nasdaq"""
"""Nov 6, 2017""","""Starbucks: What I Like About Its Q4 Earnings\u00a0Report""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121080-starbucks-like-q4-earnings-report&cid=0&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNHmVVbZeSVheiEKDlf4E5jmRcLNAw""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""Moody's assigns A3 to Starbuck's proposed $1.0 billion note\u00a0offering""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.moodys.com/research/Moodys-assigns-A3-to-Starbucks-proposed-10-billion-note-offering--PR_375689&cid=52779685278688&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNEMBS_8pKPlttGSzKi6M2HkL0Ovag""",Not Reachable,"""Moodys.com (press release)"""
"""Nov 7, 2017""","""Starbucks: India A Top 5\u00a0Market?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121647-starbucks-india-top-5-market&cid=0&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNGdMCFqOuwsT4RoYBz_9OZR13OlIg""",Not Reachable,"""Seeking Alpha"""
"""Nov 8, 2017""","""Starbucks: Does It Still Have A Bright\u00a0Future?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122383-starbucks-still-bright-future&cid=0&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNEO7bXUyKCiRC2lN5fmBNhy1iSRkg""",Not Reachable,"""Seeking Alpha"""
"""Nov 15, 2017""","""Moody's downgrades Starbuck's unsecured ratings to A3 and commercial paper to\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.moodys.com/research/Moodys-downgrades-Starbucks-unsecured-ratings-to-A3-and-commercial-paper--PR_375407%3FWT.mc_id%3DAM%257ERmluYW56ZW4ubmV0X1JTQl9SYXRpbmdzX05ld3NfTm9fVHJhbnNsYXRpb25z%257E20171115_PR_375407&cid=52779677459611&ei=LkcgWsqxO8S6jAHwso7gBA&usg=AFQjCNF_bx-66Lmf0-j-_sehP5PlbtiQMQ""",5,"""Moodys.com (press release)"""
