Date,Title,Link,Status,Source
"""1 hour ago""","""Vertex Pharmaceuticals Incorporated (VRTX) Shares Sold by Welch & Forbes\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/vertex-pharmaceuticals-incorporated-vrtx-shares-sold-by-welch-forbes-llc-3.html&cid=52779697225956&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNE1t-smOlK5xP8t0CU327Mv_HSVCg""",Not Reachable,"""The Ledger Gazette"""
"""Oct 31, 2017""","""Vertex Pharmaceuticals Incorporated (VRTX) Moves Lower on Volume Spike for\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/vertex-pharmaceuticals-incorporated-vrtx-moves-lower-on-volume-spike-for-october-31&cid=52779655490722&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNG3PM0iSZYYy6-_yaHtTgOMxWjWDg""",Not Reachable,"""Equities.com"""
"""Nov 8, 2017""","""Vertex Pharmaceuticals Incorporated (VRTX) Dips 2.58% for November\u00a008""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/vertex-pharmaceuticals-incorporated-vrtx-dips-2-58-for-november-08&cid=52779668061745&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGDbzEfqcIsE_9fUpCCZPwXWrxW5A""",Not Reachable,"""Equities.com"""
"""Nov 10, 2017""","""European advisory group backs expanded use for Vertex's\u00a0Orkambi""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3311077-european-advisory-group-backs-expanded-use-vertexs-orkambi&cid=0&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGdgW5QEtoH7ttefQwKmSsZsdARqQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""Brokerages Anticipate Vertex Pharmaceuticals Incorporated (VRTX) Will Announce\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/27/brokerages-anticipate-vertex-pharmaceuticals-incorporated-vrtx-will-announce-quarterly-sales-of-592-47-million.html&cid=52779690547485&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNHtE_hNrDKzKmp_JDKO_7W1WoivBA""",Not Reachable,"""The Ledger Gazette"""
"""12 hours ago""","""Vertex Pharmaceuticals Incorporated (NasdaqGS:VRTX) By The Numbers: Valuation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/vertex-pharmaceuticals-incorporated-nasdaqgsvrtx-by-the-numbers-valuation-in-focus/&cid=52779693723175&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNHmxpM5gRGjPUCoOkxjnulHwVw65w""",1,"""Concord Register"""
"""Nov 23, 2017""","""Is It Time to go for Vertex Pharmaceuticals Incorporated (VRTX), Time Inc.\u00a0(TIME)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/23/is-it-time-to-go-for-vertex-pharmaceuticals-incorporated-vrtx-time-inc-time/&cid=52779685731861&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNEPrDbfaAJarDU9ekmVXiWKtb4m0A""",2,"""StockNewsJournal"""
"""Nov 29, 2017""","""WINTON GROUP Ltd Has $8.61 Million Holdings in Vertex Pharmaceuticals\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/29/winton-group-ltd-has-8-61-million-holdings-in-vertex-pharmaceuticals-incorporated-vrtx.html&cid=52779696287198&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNF-hmkwIEYQQePOmMExvR_PU5MH0w""",Not Reachable,"""StockNewsTimes"""
"""Nov 21, 2017""","""Vertex Pharmaceuticals Incorporated (VRTX) And Insider Trading\u00a0Activity""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/21/vertex-pharmaceuticals-incorporated-vrtx-and-insider-trading-activity/&cid=52779683302942&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNHq4BSBvEX6lSuuAy5VLrURZTOTuA""",3,"""Economic News"""
"""2 hours ago""","""Following the Estimates for Vertex Pharmaceuticals Incorporated\u00a0(NASDAQ:VRTX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://aikenadvocate.com/following-the-estimates-for-vertex-pharmaceuticals-incorporated-nasdaqvrtx/654596/&cid=52779695676613&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNHKsKx4oBMjVGRoxnZg5zb74hOAqg""",4,"""Aiken Advocate"""
"""Nov 17, 2017""","""Few Things investors Didn't Know About: Vertex Pharmaceuticals Incorporated\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/17/few-things-investors-didnt-know-about-vertex-pharmaceuticals-incorporated-vrtx-macerich-company-mac/&cid=52779679042086&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGlkl0ZccJE9ym-6dbAUsS4Z4omEw""",5,"""StockNewsJournal"""
"""Nov 29, 2017""","""Zooming in on the Numbers for Vertex Pharmaceuticals Incorporated\u00a0(NASDAQ:VRTX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/zooming-in-on-the-numbers-for-vertex-pharmaceuticals-incorporated-nasdaqvrtx/&cid=52779695468544&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNEtKZHimmKFQ_lq0jeh3rOVIwPoZw""",6,"""Stock Talker"""
"""Nov 15, 2017""","""Robert W. Baird Reaffirms \u201cBuy\u201d Rating for Vertex Pharmaceuticals Incorporated\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/15/vertex-pharmaceuticals-incorporated-vrtx-earns-buy-rating-from-robert-w-baird.html&cid=52779673624440&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGJKi6SM72AhW8-xZjZEiGO1ZCN9A""",Not Reachable,"""The Ledger Gazette"""
"""Nov 9, 2017""","""Analytical Guide for two rising stock's: CSRA Inc. (CSRA), Vertex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/09/analytical-guide-for-two-rising-stocks-csra-inc-csra-vertex-pharmaceuticals-incorporated-vrtx/&cid=52779669001028&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGgSQ1Nr75GXu-IUzURgeIbEpDFXg""",7,"""StockNewsJournal"""
"""Nov 14, 2017""","""Traders Take Note: Vertex Pharmaceuticals Incorporated (NASDAQ:VRTX) Stock\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.cmlviz.com/2017/11/14/traders-take-note-vertex-pharmaceuticals-incorporated-nasdaq-vrtx--stock-drops-weakness-in-technical-momentum.html&cid=52779676304627&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNFGRXOglXuwgitpzsDqBlCNn7zn5g""",8,"""CML News"""
"""Nov 8, 2017""","""3962 Shares in Vertex Pharmaceuticals Incorporated (VRTX) Purchased by WINTON\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/08/winton-group-ltd-invests-511000-in-vertex-pharmaceuticals-incorporated-vrtx-stock.html&cid=52779664388998&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNH45t0_wm16M_PuAcGR67wzE_IJ_g""",Not Reachable,"""The Ledger Gazette"""
"""Nov 10, 2017""","""Vertex Pharma (VRTX) Receives CHMP Positive Opinion for ORKAMBI for Treatment\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetinsider.com/Corporate%2BNews/Vertex%2BPharma%2B%2528VRTX%2529%2BReceives%2BCHMP%2BPositive%2BOpinion%2Bfor%2BORKAMBI%2Bfor%2BTreatment%2Bof%2BChildren%2Bwith%2BCF%2BAges%2B6-11%2Bwith%2BTwo%2BCopies%2Bof%2BF508del%2BMutation%2Bin%2BEU/13491645.html&cid=52779670253282&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNG9-3brlj3WMVN62EsiYWpu5UdioQ""",Not Reachable,"""StreetInsider.com"""
"""2 hours ago""","""Cullinan Associates Has Lifted Vertex Pharmaceutical (VRTX) Stake By $2.78\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.hillcountrytimes.com/2017/11/30/cullinan-associates-has-lifted-vertex-pharmaceutical-vrtx-stake-by-2-78-million-first-merchants-increased-its-vf-com-vfc-position/&cid=52779698056097&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNFDuE5bwUa1FgcIa2v1zpnX2cTrIA""",Not Reachable,"""Hill Country Times"""
"""Nov 3, 2017""","""Vertex Pharma (VRTX) Says Phase 3 Studies of Tezacaftor/Ivacaftor Combination\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetinsider.com/Corporate%2BNews/Vertex%2BPharma%2B%2528VRTX%2529%2BSays%2BPhase%2B3%2BStudies%2Bof%2BTezacaftorIvacaftor%2BCombination%2Bin%2BPeople%2Bwith%2BCF%2BAges%2B12%2Band%2BOlder%2BPublished%2Bin%2BNEJM/13462463.html&cid=52779661770813&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNHtEmD8AnvkZqs52a2dfEr5EjcNow""",Not Reachable,"""StreetInsider.com"""
"""22 hours ago""","""Investors Keen on Vertex Pharmaceuticals Incorporated (NASDAQ:VRTX) as it\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nlrnews.com/investors-keen-on-vertex-pharmaceuticals-incorporated-nasdaqvrtx-as-it-makes-headlines-with-moves/370476/&cid=52779693117241&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGKwqVwMi9cuWH9ObK_0SdHOu3dBg""",9,"""Nelson Research"""
"""Nov 20, 2017""","""Going Through the Figures for Bioverativ Inc. (BIVV) and Vertex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.economicsandmoney.com/2017/11/20/going-through-the-figures-for-bioverativ-inc-bivv-and-vertex-pharmaceuticals-incorporated-vrtx/&cid=0&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNGimClj0R1FHAxVQQPsCKR493iaqw""",10,"""Economic News"""
"""Nov 20, 2017""","""Vertex Pharmaceuticals Incorporated, (NASDAQ: VRTX), Sinovac Biotech Ltd\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/20/713628vertex-pharmaceuticals-incorporated-nasdaq-vrtx-sinovac-biotech-ltd-nasdaq-sva-surgery-partners-inc-nasdaq-sgry-parker-hannifin-corporation-nys/&cid=52779683837749&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNF9NAc8IuR_mEms53UZMgSxQcOBQg""",Not Reachable,"""Stocks In The News (press release)"""
"""Nov 13, 2017""","""These Stocks Are Turning The Corner: Vista Outdoor Inc. (VSTO), Vertex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/13/these-stocks-are-turning-the-corner-vista-outdoor-inc-vsto-vertex-pharmaceuticals-incorporated-vrtx/&cid=52779668770496&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNFkaVHaQ1HxFpxtQfZHb5xMngtmEw""",11,"""Post Analyst"""
"""Nov 27, 2017""","""Advice by Analysts to Buy Healthcare Stock: Vertex Pharmaceuticals\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/27/advice-by-analysts-to-buy-healthcare-stock-vertex-pharmaceuticals-incorporated-vrtx/&cid=52779694941433&ei=p08gWpmJJMSPjAG5hbEY&usg=AFQjCNFHNuPfNRdLO1kQBpCk17-oXAOMWA""",12,"""Street Observer (press release)"""
