Date,Title,Link,Status,Source
"""22 hours ago""","""Earnings Reaction History: Workday, Inc., 36.4% Follow-Through Indicator, 6.4\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/earnings-reaction-history-workday-inc-364-follow-through-indicator-64-sensitive-cm884291&cid=52779696805456&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNFS30Qb-e6jDdCqP5-D0O5HQUgbUQ""",1,"""Nasdaq"""
"""21 hours ago""","""Workday quarterly revenue rises 34.3\u00a0percent""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/workday-quarterly-revenue-rises-34-210935419.html&cid=52779696936981&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNHPX15MoVCJ_d21DKwC_Qm5Gy3kAg""",2,"""Yahoo Finance"""
"""6 hours ago""","""Uncovering the next great stocks: Workday, Inc. (WDAY), Entegris, Inc.\u00a0(ENTG)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/30/uncovering-the-next-great-stocks-workday-inc-wday-entegris-inc-entg/&cid=52779697868193&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNE5Kwj3XRFi20mhgk6GfkQgf4jKjA""",3,"""StockNewsGazette"""
"""Nov 2, 2017""","""Israeli Startup Taking Share From Workday In $15B\u00a0Market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/petercohan/2017/11/02/israeli-startup-taking-share-from-workday-in-15b-market/&cid=0&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNHQHeJGJxGXe1tIPGS8iJl1a4nhhQ""",4,"""Forbes"""
"""3 hours ago""","""Workday Scores A Q3 Beat, But The Going Could Get Tougher From\u00a0Here""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10852655/workday-scores-a-q3-beat-but-the-going-could-get-toughe&cid=52779697808079&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNGTl6IO53eYpO59yAmdz58TZfQ3mw""",5,"""Benzinga"""
"""Nov 29, 2017""","""Workday Inc (NASDAQ:WDAY) Stock\u00a0Overbought""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livetradingnews.com/workday-inc-nasdaqwday-stock-overbought-63900.html&cid=52779696387613&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNGlBWAS-Oc1M9C7aPDix_LQzCQojQ""",Not Reachable,"""Live Trading News"""
"""4 hours ago""","""Workday's (WDAY) Q3 Earnings Beat Estimates,'18 Guidance\u00a0Up""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/workdays-wday-q3-earnings-beat-estimates18-guidance-up-cm884615&cid=52779696100878&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNFixri2UNscDUlTMyZrKftIDWHU8Q""",6,"""Nasdaq"""
"""Nov 24, 2017""","""Should Microsoft Buy\u00a0Workday?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127394-microsoft-buy-workday&cid=0&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNHimQBbtMD0eo1HLxoA7-Cpvg5l2Q""",Not Reachable,"""Seeking Alpha"""
"""3 hours ago""","""The Technical Condition Changes For Inpixon (INPX), Workday, Inc.\u00a0(WDAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/the-technical-condition-changes-for-inpixon-inpx-workday-inc-wday/&cid=52779697868173&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNEmCPh6GeQhoeHt25fJGfsBzXcZ0Q""",7,"""AllStockNews"""
"""5 hours ago""","""Shares in the Spotlight: Workday Inc\u00a0(WDAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/shares-in-the-spotlight-workday-inc-wday/&cid=52779695273500&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNGRfHbwxUr0dmw5vYsl5tVogbe1hA""",8,"""Stock Talker"""
"""12 minutes ago""","""Watching the Tape Move for Workday Inc (WDAY) and Interpublic Group of\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.concordregister.com/watching-the-tape-move-for-workday-inc-wday-and-interpublic-group-of-companies-ipg/&cid=52779698319801&ei=sFEgWunmCsS6jAHwso7gBA&usg=AFQjCNGRFivGS1ceXawqy_njkPT_3RxxcA""",9,"""Concord Register"""
