Date,Title,Link,Status,Source
"""Oct 5, 2017""","""Willis Towers Watson, Aon settle CFO hiring\u00a0dispute""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20171005/NEWS06/912316328/Willis-Towers-Watson-Aon-settle-CFO-Mike-Burwell-hiring-dispute&cid=52779627783759&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNGHbPGScKlsyzezkl13Z_bhOy4ySg""",1,"""Business Insurance"""
"""Oct 24, 2017""","""Willis Towers Watson adds to broking\u00a0leadership""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20171024/NEWS06/912316753/Willis-Towers-Watson-adds-to-broking-leadership-Mike-Toner-Scott-Wallace&cid=52779648529155&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNHxgzhTJEhMr-ZR6QG-zUaKS1nVZg""",2,"""Business Insurance"""
"""Jun 27, 2017""","""Willis Towers Watson chief reveals merger\u00a0wobbles""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.ft.com/content/93bc6cee-4f53-11e7-bfb8-997009366969&cid=52779539016067&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNGL4lHmHWKF2JcEvPPpCSsrtAOz1w""",3,"""Financial Times"""
"""Jul 3, 2017""","""Top insurance brokers, No. 3: Willis Towers Watson\u00a0PLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20170703/NEWS06/912314230/Business-Insurance-broker-rankings-2017-Willis-Towers-Watson&cid=52779545552118&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNHt7Z8x9-Q-RiuRIU06q0elOJncrA""",4,"""Business Insurance"""
"""Jul 11, 2017""","""Willis Towers Watson promotes, hires broking\u00a0executives""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20170711/NEWS06/912314384/Willis-Towers-Watson-appoints-North-America-broking-executives&cid=52779550605003&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNHbwRlYgjwpCRbjWBteSOL0y17dtA""",5,"""Business Insurance"""
"""Aug 3, 2017""","""Willis Towers Watson reports stable revenue in second\u00a0quarter""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20170803/NEWS06/912314951/Willis-Towers-Watson-reports-stable-revenue-in-second-quarter&cid=52779567886708&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNFs48LpCOpt3pTqqK3fgTQtGCUPqQ""",6,"""Business Insurance"""
"""Nov 28, 2017""","""SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/shareholder-alert-bronstein-gewirtz--grossman-llc-notifies-investors-of-class-action-against-willis-towers-watson-plc-wltw-and-lead-plaintiff-deadline-january-22-2018-300562464.html&cid=52779694589612&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNFBXeQlb4mB-p6eaIjy3Wv0zVUvBg""",7,"""PR Newswire (press release)"""
"""May 4, 2017""","""Willis Towers Watson reports increased Q1\u00a0profits""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20170504/NEWS06/912313264/Willis-Towers-Watson-earnings-Q1-2017&cid=52779479402422&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNHglNdQ2ViKTVLOJmaf29nhvrru2w""",8,"""Business Insurance"""
"""Aug 30, 2017""","""Willis Towers Watson Insider Just Sold $400\u00a0Million""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4103166-willis-towers-watson-insider-just-sold-400-million&cid=52779591239876&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNEzlS6OpN2vORzuxiP2zl-TCySfPw""",9,"""Seeking Alpha"""
"""Jun 14, 2017""","""Willis Towers Watson builds new global broking leadership\u00a0team""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsurance.com/article/20170614/NEWS06/912313939/Willis-Towers-Watson-builds-new-global-broking-leadership-team&cid=52779530290723&ei=g1MgWpH9GpK32AalpZPQDA&usg=AFQjCNEn8K-G5fsacmMIDF5oSkbSWx_EdA""",10,"""Business Insurance"""
