Date,Title,Link,Status,Source
"""20 hours ago""","""Xilinx Inc. (XLNX) Dips 3.87% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/xilinx-inc-xlnx-dips-3-87-for-november-29&cid=52779692806835&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNGSJGgseAM6RlqIzPsR4drZF5eE2A""",Not Reachable,"""Equities.com"""
"""Nov 13, 2017""","""Xilinx, Inc. (XLNX) Ex-Dividend Date Scheduled for November 14,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/xilinx-inc-xlnx-ex-dividend-date-scheduled-for-november-14-2017-cm876112&cid=52779674426508&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNGbBh6lQ_OqZ5HKQEIuMn3ujRFXig""",1,"""Nasdaq"""
"""5 hours ago""","""A Technical Perspective On Xilinx, Inc. (XLNX), Corcept Therapeutics\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/a-technical-perspective-on-xilinx-inc-xlnx-corcept-therapeutics-incorporated-cort/&cid=52779696335422&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNEi6Wm1v3_tZvd4vpDEC2gwCYKe9A""",2,"""AllStockNews"""
"""Nov 3, 2017""","""Xilinx Announces Intention to Invest $40M in Expansion of Research\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/xilinx-announces-intention-to-invest-40m-in-expansion-of-research-development-and-engineering-operations-at-emea-headquarters-in-ireland-300548995.html&cid=52779661611575&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNHX0MbZTuAh0mHquWUgHUcnkAMj6w""",3,"""PR Newswire (press release)"""
"""Nov 1, 2017""","""Xilinx Announces Appointment of Two New\u00a0Directors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/xilinx-announces-appointment-of-two-new-directors-300547694.html&cid=52779659377164&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNES0hwPf2hwMl21p6pHdSNiiQ0AEQ""",4,"""PR Newswire (press release)"""
"""4 hours ago""","""Eye-Catching Hot Stocks \u2013 Xilinx, Inc., (NASDAQ:\u00a0XLNX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/30/eye-catching-hot-stocks-xilinx-inc-nasdaq-xlnx/&cid=52779698147048&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNEaOvfvdihObLdvclN6PrggYnd0Fg""",5,"""Stock Watch"""
"""Nov 29, 2017""","""Take This As A Wake-Up Call: Xilinx, Inc. (XLNX), Invesco Mortgage Capital Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/take-this-as-a-wake-up-call-xilinx-inc-xlnx-invesco-mortgage-capital-inc-ivr/&cid=52779696260196&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNE4NGGGpbAMlJmIEnh_R6AVfyi0Jg""",6,"""AllStockNews"""
"""5 hours ago""","""Tracking the Opinion Signal For Xilinx Inc\u00a0(XLNX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/tracking-the-opinion-signal-for-xilinx-inc-xlnx/&cid=52779698351016&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNHyY9R3vI0LrMkN84PN2IJlNhWb0A""",7,"""Concord Register"""
"""Nov 27, 2017""","""Applied Optoelectronics, Inc. (AAOI) vs. Xilinx, Inc. (XLNX): Which is the\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/27/applied-optoelectronics-inc-aaoi-vs-xilinx-inc-xlnx-which-is-the-better-investment-2/&cid=52779689569881&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNH_bYYSeF2pwUQ3jtv2q8XP89POPw""",8,"""StockNewsGazette"""
"""Nov 24, 2017""","""Should You Buy Xilinx, Inc. (XLNX) or Skyworks Solutions, Inc.\u00a0(SWKS)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/24/should-you-buy-xilinx-inc-xlnx-or-skyworks-solutions-inc-swks/&cid=52779686825809&ei=V1YgWpKYEo7ijAGO95OIBQ&usg=AFQjCNGyecrRA94Cb5bDHsJLeq_n2Z4zBA""",9,"""Economic News"""
