Date,Title,Link,Status,Source
"""Nov 22, 2017""","""Dividend Aristocrats In Focus Part 45:\u00a0AbbVie""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127012-dividend-aristocrats-focus-part-45-abbvie&cid=52779685807202&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNECw4c7xe1_2TJpqwhatQ4F5i8FGQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Shelton Capital Management Buys DowDuPont Inc, Franklin Resources Inc, AbbVie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/shelton-capital-management-buys-dowdupont-inc-franklin-resources-inc-abbvie-inc-sells-spdr-cm884220&cid=52779696410907&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNH0V5uZuxpsCuEfHOyWBepTIYIHOQ""",1,"""Nasdaq"""
"""Nov 28, 2017""","""Premarket analyst action -\u00a0healthcare""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314718-premarket-analyst-action-healthcare&cid=0&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNH9Je3Q_RDPfU9yhOqVFWweSd9Www""",2,"""Seeking Alpha"""
"""4 hours ago""","""AbbVie Inc. (ABBV) Shares Sold by Marble Harbor Investment Counsel\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/abbvie-inc-abbv-shares-sold-by-marble-harbor-investment-counsel-llc.html&cid=52779692202507&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNECcasTnGb8HzViB0mSEXV1VANVPA""",Not Reachable,"""StockNewsTimes"""
"""Nov 25, 2017""","""Abbvie Inc (ABBV) Chairman of the Board and CEO Richard A Gonzalez Sold $20.5\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/601115/abbvie-inc-abbv-chairman-of-the-board-and-ceo-richard-a-gonzalez-sold-205-million-of-shares&cid=52779687578979&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGeYvRijARJDO-YChRxGdf5tRZyAg""",3,"""GuruFocus.com"""
"""6 hours ago""","""Optimistic Trending Companies: The Blackstone Group LP (BX), AbbVie Inc.\u00a0(ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/optimistic-trending-companies-the-blackstone-group-l-p-bx-abbvie-inc-abbv/&cid=52779697819804&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNEJ4IV_Dy5I-_EmBMIK4GDWnjIGEA""",Not Reachable,"""Market Movers"""
"""Nov 6, 2017""","""AbbVie Promises Too Much, Risks Delivering Too Little:\u00a0Gadfly""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.washingtonpost.com/business/abbvie-promises-too-much-risks-delivering-too-little-gadfly/2017/11/06/03b07be0-c32f-11e7-9922-4151f5ca6168_story.html&cid=0&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNFZrNrDWOvzUNYzszF_P-ixhtM5YQ""",4,"""Washington Post"""
"""1 hour ago""","""Volatile Stock to Watch: AbbVie Inc (NYSE:\u00a0ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://alphabetastock.com/volatile-stock-to-watch-abbvie-inc-nyse-abbv/&cid=52779698122970&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHsdMHsQFmjv1Va4T3QahUvVcZo5g""",5,"""Alpha Beta Stock"""
"""23 hours ago""","""The Latest Analyst Coverage For AbbVie Inc. (ABBV), Colfax Corporation\u00a0(CFX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/the-latest-analyst-coverage-for-abbvie-inc-abbv-colfax-corporation-cfx/&cid=0&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHg7HJ-lGJj9SQNI8d5EHiWRMVjFA""",6,"""AllStockNews"""
"""2 hours ago""","""AbbVie Inc. (ABBV) stock returned 29.63% positive in past\u00a0quarter""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/30/abbvie-inc-abbv-stock-returned-29-63-positive-in-past-quarter/&cid=52779698224610&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNFh6rJAh3WYkIkiMU8xUvCsr12S1Q""",7,"""Street Observer (press release)"""
"""4 hours ago""","""AbbVie Stock Up More Than 30% So Far in 2H17: Here's\u00a0Why""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284601/abbvie-stock-up-more-than-30-so-far-in-2h17-heres-why&cid=52779696100878&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGzuv4GZEyz0XHQtoaMQiRQia73zA""",8,"""Zacks.com"""
"""3 hours ago""","""Today's Analyst Moves: AbbVie Inc. (ABBV), The Kraft Heinz Company\u00a0(KHC)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.usacommercedaily.com/2017/11/30/todays-analyst-moves-abbvie-inc-abbv-the-kraft-heinz-company-khc/&cid=52779693204431&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNFBiyYdqcUcVvHFnc2-XS4dF1CCww""",9,"""USA Commerce Daily"""
"""Nov 28, 2017""","""A Side-by-side Analysis of AbbVie Inc. (ABBV) and TherapeuticsMD, Inc.\u00a0(TXMD)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/28/a-side-by-side-analysis-of-abbvie-inc-abbv-and-therapeuticsmd-inc-txmd/&cid=52779693323655&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNE9Tf_zxsdFmPF8LGfxnf6mBg9FcA""",10,"""Economic News"""
"""Nov 21, 2017""","""Lookout for Price Target? AbbVie Inc. (ABBV), Spirit Airlines, Inc.\u00a0(SAVE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/21/lookout-for-price-target-abbvie-inc-abbv-spirit-airlines-inc-save/&cid=52779682442381&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNFWEsPAzeoQ4DschTHCT0n3l9ancg""",11,"""StockNewsJournal"""
"""Nov 28, 2017""","""Take This As A Wake-Up Call: Trimble Inc. (TRMB), AbbVie Inc.\u00a0(ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/28/take-this-as-a-wake-up-call-trimble-inc-trmb-abbvie-inc-abbv/&cid=52779693960803&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGfPKxdpxZ_SEamOLXTOUdaeGK2Tw""",12,"""AllStockNews"""
"""Nov 29, 2017""","""Stock that will multiply your investment: AbbVie Inc.\u00a0(ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/29/stock-that-will-multiply-your-investment-abbvie-inc-abbv/&cid=52779691640572&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNH8aJSkzYf5KkCsD7dSEiUw89TqSA""",13,"""The News Journal"""
"""Nov 2, 2017""","""Physicians Financial Services, Inc. Buys DowDuPont Inc, Red Hat Inc, AbbVie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/physicians-financial-services-inc-buys-dowdupont-inc-red-hat-inc-abbvie-inc-sells-whole-cm870577&cid=52779660512647&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHT2J8IZgfZIGWFbm48Wz107fvxJw""",14,"""Nasdaq"""
"""Nov 8, 2017""","""Buy or Sell? What Analysts Recommends: AbbVie Inc. (ABBV), DowDuPont Inc.\u00a0(DWDP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/08/buy-or-sell-what-analysts-recommends-abbvie-inc-abbv-dowdupont-inc-dwdp/&cid=52779665943256&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGEHQvGcXWsjbR3ul9ShF8_02LKNw""",15,"""StockNewsJournal"""
"""1 hour ago""","""Abbvie Inc (ABBV) Shares Needle Moving\u00a00.81%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://earlebusinessunion.com/abbvie-inc-abbv-shares-needle-moving-0-81/464614/&cid=52779697591397&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHoJAkwKriLKKnwQvLT1bDjkXHcVQ""",16,"""The Business Union"""
"""Nov 29, 2017""","""Comparing Valuation With Peers: E*TRADE Financial Corporation (ETFC), AbbVie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/comparing-valuation-with-peers-etrade-financial-corporation-etfc-abbvie-inc-abbv/&cid=52779694961663&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHkblkDXeWKucbiFgixjsckfND8Vw""",17,"""Post Analyst"""
"""5 hours ago""","""Investor's Roundup (Intraday Analysis) \u2013 AbbVie Inc., (NYSE:\u00a0ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/30/investors-roundup-intraday-analysis-abbvie-inc-nyse-abbv-2/&cid=52779698147048&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNF6kzpOQhBbUoqzwUJb8sunLeyN6g""",18,"""Stock Watch"""
"""Nov 29, 2017""","""Coming Out Of Shadows? Occidental Petroleum Corporation (OXY), AbbVie Inc.\u00a0(ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/coming-out-of-shadows-occidental-petroleum-corporation-oxy-abbvie-inc-abbv/&cid=52779695269505&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNG2TuzkPjtJqHZp691NBb4K0ugYFw""",19,"""Market Movers"""
"""Nov 1, 2017""","""AbbVie Announces Positive Phase 3 Extension Study Data for Investigational\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/abbvie-announces-positive-phase-3-extension-study-data-for-investigational-oral-treatment-elagolix-for-management-of-endometriosis-with-associated-pain-300546888.html&cid=52779659084440&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGjmmcp4UeQxHEI_Jc11QVA8LTfKQ""",20,"""PR Newswire (press release)"""
"""Nov 28, 2017""","""An End-of-Day Technical Review: AbbVie Inc. (ABBV), Michael Kors Holdings\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/28/an-end-of-day-technical-review-abbvie-inc-abbv-michael-kors-holdings-limited-kors/&cid=52779694858858&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNEAEczQYVCNUlaM-kL9gUQfzEX0XQ""",21,"""Post Analyst"""
"""Nov 29, 2017""","""Analyst Insights On 2 Stocks: AbbVie Inc. (ABBV), Salesforce.com, inc.\u00a0(CRM)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/29/analyst-insights-on-2-stocks-abbvie-inc-abbv-salesforce-com-inc-crm/&cid=52779695755734&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGLnX5oAl2984H69Ll0EGg8Tg3kgw""",22,"""USA Commerce Daily"""
"""Nov 29, 2017""","""AbbVie Inc. (ABBV)- Most Active Performers for the\u00a0Day""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nasdaqtimes.com/abbvie-inc-abbv-most-active-performers-for-the-day/&cid=52779696346996&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNEzshZV_CNx8Q7wK9HYI5HioCuU0Q""",23,"""NASDAQ Times"""
"""Nov 14, 2017""","""Buy or Sell? What Analysts Recommends: AbbVie Inc. (ABBV), Medtronic plc\u00a0(MDT)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/14/buy-or-sell-what-analysts-recommends-abbvie-inc-abbv-medtronic-plc-mdt/&cid=52779674506300&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNEwAdZfQsV2ljMP24JGze9W6udy8A""",24,"""StockNewsJournal"""
"""Nov 21, 2017""","""Stocks Stepping Onto Center Stage: AbbVie Inc. (ABBV), Lexicon Pharmaceuticals\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/21/stocks-stepping-onto-center-stage-abbvie-inc-abbv-lexicon-pharmaceuticals-inc-lxrx/&cid=52779685070864&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGKAP5YDtouUpCBl_arKrzv_F2y6A""",25,"""Post Analyst"""
"""Nov 23, 2017""","""Bank of New York Mellon Corp Sells 1074948 Shares of AbbVie Inc.\u00a0(NYSE:ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/23/bank-of-new-york-mellon-corp-has-1-24-billion-position-in-abbvie-inc-abbv.html&cid=52779684023489&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNGMvzlPiAZmHTMhkoHg8uTDMEXXNg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 6, 2017""","""Today's Brokerage Rating: Omega Healthcare Investors, Inc. (OHI), AbbVie Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/06/todays-brokerage-rating-omega-healthcare-investors-inc-ohi-abbvie-inc-abbv/&cid=52779661480121&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNEtHlq83gOTQ5aqOVayrT8QHSPfbQ""",26,"""StockNewsJournal"""
"""Nov 3, 2017""","""Latest figures makes these Stock Even More Attractive: AbbVie Inc. (ABBV\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/03/latest-figures-makes-these-stock-even-more-attractive-abbvie-inc-abbv-weyerhaeuser-company-wy/&cid=52779661536170&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNE20qf5NCXI6__vCxnqjkFzqThrVg""",27,"""StockNewsJournal"""
"""Nov 21, 2017""","""Going Through the Chart for AbbVie Inc.\u00a0(ABBV)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/21/going-through-the-chart-for-abbvie-inc-abbv-4/&cid=52779685036919&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNH5tQQCDlI-jxEe4rjVC537WtF3Jw""",28,"""Economic News"""
"""Nov 27, 2017""","""Do technicals still doubt? AbbVie Inc. (ABBV), NRG Energy, Inc.\u00a0(NRG)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/27/do-technicals-still-doubt-abbvie-inc-abbv-nrg-energy-inc-nrg/&cid=52779689585435&ei=E1cgWom-IoKHjAG7lK74Cw&usg=AFQjCNHr4gIESU6TI3tNc2axPHndioq04A""",29,"""Market Movers"""
