Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Better Buy: American Express Company vs.\u00a0Square""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/27/better-buy-american-express-company-vs-square.aspx&cid=52779692257800&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNEyCQv1-TIZNBTkk7R3TCESsSTrBg""",1,"""Motley Fool"""
"""4 hours ago""","""Dividend stats on American\u00a0Express""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/30/will-american-express-raise-its-dividend-in-2018.aspx&cid=52779698067509&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNGWRChEYZfT4QfvWIFnjZO_37UiVw""",2,"""Motley Fool"""
"""21 hours ago""","""American Express Company (AXP) Closes 1.39% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/american-express-company-axp-closes-1-39-up-on-the-day-for-november-29&cid=52779696931073&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNF9Oql8GJwaojvuQ4BgXemsAgs9vw""",Not Reachable,"""Equities.com"""
"""4 hours ago""","""Analysts think these stock's can be a game changer: American Express Company\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/analysts-think-these-stocks-can-be-a-game-changer-american-express-company-axp-baker-hughes-a-ge-company-bhge/&cid=52779697036206&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNGRHfwun0q9-j9IvhKe8NHSBvt_ug""",3,"""StockNewsJournal"""
"""Nov 24, 2017""","""American Express Company (AXP) Closes 0.36% Down on the Day for November\u00a024""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/american-express-company-axp-closes-0-36-down-on-the-day-for-november-24&cid=52779690383777&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNH3JzOibhRb5HL6uAqg8Ra9KpcqFQ""",Not Reachable,"""Equities.com"""
"""Oct 31, 2017""","""Citigroup expects $150 million gain on sale of Hilton cards to American\u00a0Express""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-citigroup-credit-sale/citigroup-expects-150-million-gain-on-sale-of-hilton-cards-to-american-express-idUSKBN1D02Y0&cid=52779658060986&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNH_u98Cb-zkxYm8JFgJyQgfFrrKxA""",4,"""Reuters"""
"""Nov 8, 2017""","""American Express Is Getting Serious About Its High-End Credit\u00a0Cards""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/08/american-express-is-serious-about-its-high-end-cre.aspx&cid=52779665933013&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNEbttPG07OdmfKUo1bvSw33eZB8EQ""",5,"""Motley Fool"""
"""Nov 16, 2017""","""American Express Is Getting Into Blockchain-Based Payments With\u00a0Ripple""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://fortune.com/2017/11/16/amex-payments-ripple-blockchain/&cid=52779678537171&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNG4HfosXFaPmUp5DDHjYTNbiwIJww""",6,"""Fortune"""
"""Nov 20, 2017""","""Why Is American Express (AXP) Up 1.8% Since the Last Earnings\u00a0Report?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/why-is-american-express-axp-up-18-since-the-last-earnings-report-cm879774&cid=52779683599059&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNGzw7XE5RRieVPUfNhHBp7HC7oaFg""",7,"""Nasdaq"""
"""Nov 7, 2017""","""American Express Launches Amex Advance Personalization Services to Companies\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171107005246/en/American-Express-Launches-Amex-Advance%25E2%2584%25A0-Personalization-Services&cid=52779666066640&ei=EFwgWrnkEIn9jAHGyL64Cg&usg=AFQjCNGna3DDU29BrlD2ncNy2w1E0Yxy-w""",8,"""Business Wire (press release)"""
