Date,Title,Link,Status,Source
"""Aug 24, 2016""","""Investors Can Buy Shares Of BHP Billiton Plc Or BHP Billiton Ltd.: What Is The\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/general/education/16/08/8387044/investors-can-buy-shares-of-bhp-billiton-plc-or-bhp-billiton-ltd-wha&cid=52779185445667&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNENpMJmn8nls62HvPxNPuA0cMJHRg""",1,"""Benzinga"""
"""Nov 22, 2017""","""A Reversal for BHP Billiton plc (ADR) (BBL) Is Near. The Formed Bullish Double\u00a0Top""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/a-reversal-for-bhp-billiton-plc-adr-bbl-is-near-the-formed-bullish-double-top/&cid=52779681923877&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNGJf6tngoVNma0_owpIFM8LJ-gOqg""",2,"""WeeklyHub"""
"""Nov 27, 2017""","""BHP Billiton plc (ADR) (BBL) Forms Bullish Double Top Pattern; Strong Momentum\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/bhp-billiton-plc-adr-bbl-forms-bullish-double-top-pattern-strong-momentum-for-buyers-coming/&cid=52779688962267&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNElStiKQ_daWU6XfVP6vfQQqTInMg""",3,"""BZ Weekly"""
"""Nov 4, 2017""","""Analysts are on the Bearish side about BHP Billiton plc (ADR) (NYSE:BBL) this\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/analysts-are-on-the-bearish-side-about-bhp-billiton-plc-adr-nysebbl-this-week/&cid=52779661396881&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNEwS0zah8rvT1p2GtN9mPZC60pF5A""",4,"""WeeklyHub"""
"""Mar 23, 2016""","""Better Buy Now: Rio Tinto Vs. BHP\u00a0Billiton""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/general/2016/03/23/better-buy-now-rio-tinto-vs-bhp-billiton.aspx&cid=52779067736513&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNHwcJELkinXgSqd9-NqJil4Pa1J1w""",5,"""Motley Fool"""
"""Nov 17, 2017""","""What Will Happen to BHP Billiton plc (ADR) (BBL) Next? The Stock Formed a\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/what-will-happen-to-bhp-billiton-plc-adr-bbl-next-the-stock-formed-a-several-months-double-top-pattern/&cid=52779677693282&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNG7Owsp-HIbBPTQHQeSy4zb33Eg-Q""",6,"""KL Daily"""
"""Nov 29, 2016""","""Closing Two Positions: BHP Billiton PLC (ADR) (BBL), Helmerich & Payne, Inc.\u00a0(HP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insidermonkey.com/blog/closing-two-positions-bhp-billiton-plc-adr-bbl-helmerich-payne-inc-hp-494640/&cid=0&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNFsb0eAyQe0xh-NWPwOoGq3j7rgow""",7,"""Insider Monkey (blog)"""
"""Oct 12, 2017""","""Analysts take a look at BHP Billiton plc (ADR) (NYSE:BBL) having this to\u00a0say.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/analysts-take-a-look-at-bhp-billiton-plc-adr-nysebbl-having-this-to-say/&cid=0&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNGDj7ZQlLRYsLWhsoItXWFnL4LE7A""",8,"""BZ Weekly"""
"""Nov 26, 2017""","""Manikay Partners Has Trimmed Its Bhp Billiton Plc (BBL) Stake; Stonebridge\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/manikay-partners-has-trimmed-its-bhp-billiton-plc-bbl-stake-stonebridge-capital-management-lowered-by-328640-its-chipotle-mexican-grill-com-cmg-position/&cid=52779688485856&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNHAh-4bh7mIlUMA23pPAmAgVJYUdQ""",9,"""UtahHerald.com"""
"""Aug 22, 2017""","""BHP Billiton: High And Secure\u00a0Dividends""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4100941-bhp-billiton-high-secure-dividends&cid=52779584191186&ei=qV8gWuDKMITZjAHpqpfYCw&usg=AFQjCNGqXKre4EOf8EvM2dDguRuQ234Zwg""",Not Reachable,"""Seeking Alpha"""
