Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Lmr Partners Llp Has Increased Its Bhp Billiton LTD (BHP) Stake by $9.43\u00a0Million""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/lmr-partners-llp-has-increased-its-bhp-billiton-ltd-bhp-stake-by-9-43-million/&cid=52779688962267&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNG2KOrgiHA8mfg2kHIhi2GR0xoDqA""",1,"""BZ Weekly"""
"""Nov 22, 2017""","""A Reversal for BHP Billiton plc (ADR) (BBL) Is Near. The Formed Bullish Double\u00a0Top""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/a-reversal-for-bhp-billiton-plc-adr-bbl-is-near-the-formed-bullish-double-top/&cid=52779681923877&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNFfU8ms7jSkMsjbCeX_V8kd3aok8w""",2,"""WeeklyHub"""
"""Nov 13, 2017""","""BHP Billiton Limited (ADR) (NYSE:BHP) has analysts on the Bullish side this\u00a0week.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/bhp-billiton-limited-adr-nysebhp-has-analysts-on-the-bullish-side-this-week-2/&cid=52779674545412&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNH41-RrZWvpUixFUlwrKucDx1miFA""",3,"""KL Daily"""
"""Nov 17, 2017""","""Bhp Billiton Limited (NYSE:BHP) Could Burn Your Long Portfolio After More\u00a0Shorts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/bhp-billiton-limited-nysebhp-could-burn-your-long-portfolio-after-more-shorts/&cid=52779677693282&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNGWyLuXyyhfjN614X9muwNGmmtSAA""",4,"""BZ Weekly"""
"""Nov 4, 2017""","""Analysts are on the Bearish side about BHP Billiton plc (ADR) (NYSE:BBL) this\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/analysts-are-on-the-bearish-side-about-bhp-billiton-plc-adr-nysebbl-this-week/&cid=52779661396881&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNGDxXBR264y77Ek9B9NTUML7u81HQ""",5,"""WeeklyHub"""
"""Nov 12, 2017""","""Cqs Cayman LP Trimmed By $1.58 Million Its Bhp Billiton LTD (BHP) Holding\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/cqs-cayman-lp-trimmed-by-1-58-million-its-bhp-billiton-ltd-bhp-holding-sound-financial-bancorp-has-1-2-sentiment/&cid=52779666340646&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNFzA4gNmDVX6Gdz3uEjp7bjXIiLHw""",6,"""UtahHerald.com"""
"""Nov 27, 2017""","""Clal Insurance Enterprises Holdings LTD Has Trimmed Its Ituran Location And\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/clal-insurance-enterprises-holdings-ltd-has-trimmed-its-ituran-location-and-control-shs-itrn-holding-fiduciary-trust-company-has-decreased-bhp-billiton-ltd-sponsored-bhp-position-by-335125/&cid=52779689714791&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNEyPdX5Zjx_3DWPHGdu5ANMki7dhQ""",7,"""NormanObserver.com"""
"""Nov 16, 2017""","""Validea Joseph Piotroski Strategy Daily Upgrade Report -\u00a011/16/2017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/validea-joseph-piotroski-strategy-daily-upgrade-report-11162017-cm878237&cid=52779678334820&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNHX78pdA-Mwt01iPFUNOc4b_09Kng""",8,"""Nasdaq"""
"""Nov 21, 2017""","""Susquehanna International Group Llp Increased Bhp Billiton Ltd (Call) (BHP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/susquehanna-international-group-llp-increased-bhp-billiton-ltd-call-bhp-stake-by-14-91-million-msc-industrial-direct-co-msm-has-1-33-sentiment/&cid=52779677099220&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNFM7iCVw-jzOoynJGZm5wuQzXJguA""",9,"""UtahHerald.com"""
"""Nov 22, 2017""","""Gateway Investment Advisers Lifted Hawaiian Elec Industries (HE) Position By\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/gateway-investment-advisers-lifted-hawaiian-elec-industries-he-position-by-968992-bhp-billiton-limited-adr-bhp-had-9-analysts-last-week/&cid=52779682387541&ei=FWAgWrHSCcKU2AbU2LbQCw&usg=AFQjCNH6E0OGzZ_XKeLmMVmRlNuA8XQy4g""",10,"""NormanObserver.com"""
