Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Canada's Scotiabank fourth-quarter earnings up 4\u00a0percent""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-scotiabank-results/canadas-scotiabank-fourth-quarter-earnings-up-4-percent-idUSKBN1DS1AD&cid=52779694627350&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNH35e1Cml7jgFTnXJo7DMqjXC1UMQ""",1,"""Reuters"""
"""23 hours ago""","""The Bank of Nova Scotia's (RY) CEO Dave McKay on Q4 2017 Results - Earnings\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128583-bank-nova-scotias-ry-ceo-dave-mckay-q4-2017-results-earnings-call-transcript&cid=0&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNEsA5fFyehh8egPU-pNQtL02Ic5Nw""",Not Reachable,"""Seeking Alpha"""
"""7 hours ago""","""Bank of Nova Scotia Is Expanding in Latin America: Should You\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.ca/2017/11/30/bank-of-nova-scotia-is-expanding-in-latin-america-should-you-buy/&cid=52779697544895&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNF0dr-m7Qh54MHQf0k8WI5KuPS2Pw""",Not Reachable,"""The Motley Fool Canada"""
"""Nov 28, 2017""","""Goldman Sachs among bidders for Scotiabank's metals unit:\u00a0sources""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-bank-nova-divestiture-goldman-sachs/goldman-sachs-among-bidders-for-scotiabanks-metals-unit-sources-idUSKBN1DS2C5&cid=52779693180622&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNEjH5Py07tX01IoDcFpSX3r6GDkPg""",2,"""Reuters"""
"""Nov 14, 2017""","""BRIEF-Gran Tierra Energy, unit, Bank of Nova Scotia and lenders party enter\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/brief-gran-tierra-energy-unit-bank-of-no/brief-gran-tierra-energy-unit-bank-of-nova-scotia-and-lenders-party-enter-into-ninth-amendment-to-credit-agreement-idUSFWN1NK0UU&cid=0&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNG5KHdqBHhJQV5oXlYfqhX7o_0_yA""",3,"""Reuters"""
"""Nov 7, 2017""","""Solid Quant Score Keep Bank of Nova Scotia (BNS) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/solid-quant-score-keep-bank-of-nova-scotia-bns-a-buy/&cid=52779664744376&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNEY9-LQaDEuADVo1-lBjaEbfC9-Ag""",4,"""Investorplace.com"""
"""Nov 28, 2017""","""Scotiabank agrees to buy BBVA's stake in BBVA\u00a0Chile""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://mobile.reuters.com/article/innovationNews/idUSKBN1DS0KR&cid=52779693294304&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNEn_clZBh0NJOJrh7n6DALbHk3k_A""",5,"""Reuters"""
"""Nov 22, 2017""","""Why Bank of Nova Scotia Is Now a Must-Have Holding for Your\u00a0Portfolio""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.ca/2017/11/22/why-bank-of-nova-scotia-is-now-a-must-have-holding-for-your-portfolio/&cid=52779685317866&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNEhhx2dhIpBxEFMS0wFCmqdqW_ZBA""",Not Reachable,"""The Motley Fool Canada"""
"""6 hours ago""","""Bank of Nova Scotia (BNS): Heading in the Right\u00a0Direction?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.concordregister.com/bank-of-nova-scotia-bns-heading-in-the-right-direction/&cid=52779697981193&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNGNdAF0U1hHa5u_q0K-wU550pXeGw""",6,"""Concord Register"""
"""4 hours ago""","""Bank of Nova Scotia Sells 308499 Shares of Emerson Electric Company\u00a0(EMR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.thelincolnianonline.com/2017/11/30/bank-of-nova-scotia-sells-308499-shares-of-emerson-electric-company-emr.html&cid=52779696211369&ei=u2IgWpCVE8TejAGf24XwCA&usg=AFQjCNE4MFq_l8PDcrHLHMYWdSP-9kRN0A""",Not Reachable,"""The Lincolnian Online"""
