Date,Title,Link,Status,Source
"""Nov 18, 2017""","""British American Tobacco Plc Adr (NYSE:BTI) Shorted Shares Increased 10.96\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/british-american-tobacco-plc-adr-nysebti-shorted-shares-increased-10-96-after-market-selling/&cid=52779676021267&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNF9UF4KB_3fS6dh-U20p0Szxhq1Hg""",1,"""WeeklyHub"""
"""Jan 17, 2017""","""British American's Acquisition Of Reynolds Makes It Jefferies' Preferred\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/01/8911963/british-americans-acquisition-of-reynolds-makes-it-jeffe&cid=52779344859115&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNE2LOafyEOATL26QXnXfzCOI2Av0g""",2,"""Benzinga"""
"""Mar 9, 2017""","""BAT deal for Reynolds American clears first regulatory\u00a0step""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.journalnow.com/business/business_news/local/bat-deal-for-reynolds-american-clears-first-regulatory-step/article_8a15cec4-04d0-11e7-b98c-1fd023551f85.html&cid=52779412591253&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNEfMJ31Gm1jow6pEvvJxCFNnN_F2Q""",3,"""Winston-Salem Journal"""
"""May 17, 2017""","""Reynolds turned away three BAT offers before agreeing to\u00a0sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.journalnow.com/business/business_news/local/reynolds-turned-away-three-bat-offers-before-agreeing-to-sell/article_ebcda750-cbe2-5249-8a25-ce3cfc5a4754.html&cid=0&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNErbl23NNb-RfMGwxDYRT08esT-0g""",4,"""Winston-Salem Journal"""
"""Nov 24, 2017""","""British American Tob Plc (BTI) Stake Maintained by Richard C Young &\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/british-american-tob-plc-bti-stake-maintained-by-richard-c-young-company/&cid=52779687837301&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNFy-ExcHo0lUSzUljM2XWAi-KuyHw""",5,"""BZ Weekly"""
"""Aug 15, 2017""","""British American Tobacco plc (BTI) Ex-Dividend Date Scheduled for August 16,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/british-american-tobacco-plc-bti-ex-dividend-date-scheduled-for-august-16-2017-cm832080&cid=52779578293518&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNGrzhUmIDr9HmrhkpUjf0AzADP5Yw""",6,"""Nasdaq"""
"""Nov 12, 2017""","""Ecofin LTD Lifted Itron (ITRI) Holding; British American Tobacco Plc Adr (BTI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/ecofin-ltd-lifted-itron-itri-holding-british-american-tobacco-plc-adr-bti-shorts-increased-by-30-72/&cid=52779667743624&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNHfDT3VQPZhQo5Sbg_j1M5xcL7nJQ""",7,"""Key Gazette"""
"""May 24, 2017""","""Big Tobacco Yield At A Low\u00a0Price""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4075919-big-tobacco-yield-low-price&cid=52779505161995&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNHrYLiyGCfM47soH0hiBe171hjHTw""",Not Reachable,"""Seeking Alpha"""
"""Jul 24, 2017""","""BAT names Reynolds representatives to its board as sale closing\u00a0looms""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.journalnow.com/business/business_news/local/bat-names-reynolds-representatives-to-its-board-as-sale-closing/article_bd50ec36-ba26-5a6f-808e-c812b0f71276.html&cid=52779559284832&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNE2RIhwldaaLNN779jtcoV7aq_qKw""",8,"""Winston-Salem Journal"""
"""Jun 14, 2017""","""Reynolds, BAT shareholder votes on $49.4 billion sale are set for July\u00a019""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.journalnow.com/business/business_news/local/reynolds-bat-shareholder-votes-on-billion-sale-are-set-for/article_a70d5e07-0907-5021-b355-fd64dccdb285.html&cid=52779531040423&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNEz_OXtfG5eRjXgNQj1JoIIx_1jLw""",9,"""Winston-Salem Journal"""
"""Nov 26, 2017""","""Foyston Gordon & Payne Decreased British American Tobacco Plc (BTI) Position\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/foyston-gordon-7-analysts-are-bullish-chicago-bridge-iron-company-n-v-cbi-last-week/&cid=52779687728731&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNFRIb7bb5A0u5EGHZvOIEDHO0T7sg""",10,"""Wolcott Daily"""
"""Nov 17, 2017""","""Tracking David Winters' Wintergreen Advisers Portfolio - Q3 2017\u00a0Update""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125875-tracking-david-winters-wintergreen-advisers-portfolio-q3-2017-update&cid=0&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNE2ZU-f0fHnse_BEgpYZ-u-JwBbKw""",Not Reachable,"""Seeking Alpha"""
"""Jun 12, 2017""","""British American Tobacco: The Best Of Big\u00a0Tobacco?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4080884-british-american-tobacco-best-big-tobacco&cid=52779526731765&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNFK3QVNzWc5T4i5H9AmPXcqbDY3jw""",Not Reachable,"""Seeking Alpha"""
"""Nov 3, 2017""","""British American Tob Plc (BTI) Holder Richard C Young & Company Has Upped Its\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/british-american-tob-plc-bti-holder-richard-c-young-company-has-upped-its-stake/&cid=52779660953503&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNH8mNAiJRoINMNwvz452fx703rnyg""",11,"""WeeklyHub"""
"""Nov 24, 2017""","""Richard C Young & Company Upped Stake in British American Tob Plc (BTI) by $4\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://presstelegraph.com/richard-c-young-company-upped-stake-in-british-american-tob-plc-bti-by-4-57-million-as-share-price-rose/&cid=0&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNGtfJjn2yvQ9gHcfoxa1_5y0vpn_g""",12,"""Press Telegraph"""
"""Jul 28, 2017""","""BAT reports solid jump in first-half revenue,\u00a0earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.journalnow.com/business/business_news/local/bat-reports-solid-jump-in-first-half-revenue-earnings/article_de3d72f4-4fb4-590b-ae03-a92e9c26f292.html&cid=52779563096356&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNEGMzIyml3DVlgTpOCiuXmx-fV8lg""",13,"""Winston-Salem Journal"""
"""Oct 5, 2017""","""Why Big Tobacco's Contribution To Anti-Smoking Campaign Isn't As Self\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/general/education/17/10/10141251/why-big-tobaccos-contribution-to-anti-smoking-campaign-isnt-as-self&cid=52779628116319&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNEwwJIBETDENk1NHQqsMtJqpjP6Sg""",14,"""Benzinga"""
"""Oct 9, 2017""","""Benzinga's Top Upgrades, Downgrades For October 9,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/upgrades/17/10/10155372/benzingas-top-upgrades-downgrades-for-october-9-2017&cid=0&ei=IGUgWviKGdTa2AaJ143ABw&usg=AFQjCNGL_AeaIpR5gxLTE8l75Zl8lkueoA""",15,"""Benzinga"""
