Date,Title,Link,Status,Source
"""4 hours ago""","""Pick Up Citigroup Inc Stock Before the\u00a0Breakout""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/pick-up-citigroup-inc-stock-before-the-break-out/&cid=52779698158249&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNFdKmPSaqlAuicJ8Vs-zY7CPmj0xQ""",1,"""Investorplace.com"""
"""7 hours ago""","""Today Analysts Focus on Northwest Biotherapeutics, Inc. (NWBO), Citigroup Inc.\u00a0(C)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/today-analysts-focus-on-northwest-biotherapeutics-inc-nwbo-citigroup-inc-c/&cid=52779697908546&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNHg2GUWVkd10f069fKrHMDoDXxvUA""",2,"""StockNewsJournal"""
"""Nov 28, 2017""","""Citigroup Inc. (C) Rises 3.24% for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/citigroup-inc-c-rises-3-24-for-november-28&cid=52779695393760&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNEmPFYLjVrsCQnT_wDD4SAIme-Dtw""",Not Reachable,"""Equities.com"""
"""21 hours ago""","""Citigroup Inc. (C) Moves Higher on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/citigroup-inc-c-moves-higher-on-volume-spike-for-november-29&cid=52779697391256&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNEN28Uah1gnH1nA4AinhFK-_JxnfQ""",Not Reachable,"""Equities.com"""
"""Nov 6, 2017""","""Citigroup Faces Saudi Setback as Billionaire Backer\u00a0Arrested""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-06/citigroup-faces-saudi-setback-as-billionaire-backer-is-arrested&cid=52779662112004&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNEamPjVPXOkgxabUhJmVU4hPRWBRw""",3,"""Bloomberg"""
"""6 hours ago""","""Citigroup Inc. (NYSE:C) Stake Increased by First Allied Advisory Services\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/first-allied-advisory-services-inc-has-3-46-million-holdings-in-citigroup-inc-c.html&cid=52779697861038&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNGGHYqSupP8_Cq7hUHbZjqsTT5zmA""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""New Oriental Education & Technology Group Inc. (EDU) And Citigroup Inc. (C\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/new-oriental-education-technology-group-inc-edu-and-citigroup-inc-c-both-are-undervalued/&cid=52779692092676&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNEv1JQwzxpKy7nASjyS9v9Pqpe0dQ""",4,"""Post Analyst"""
"""23 hours ago""","""Citigroup Inc. (C) Insider COSTELLO ELLEN bought 514 Shares Of\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/29/citigroup-inc-c-insider-costello-ellen-bought-514-shares-of-stock-2/&cid=0&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNF6yW1ZYRPBkW0VCeT2mT_UsTIfVg""",5,"""Economic News"""
"""Nov 8, 2017""","""Citigroup's Corbat Sees Saudi Progress Despite Alwaleed's\u00a0Arrest""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-08/citigroup-s-corbat-sees-saudi-progress-despite-alwaleed-s-arrest&cid=52779667930545&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNGGoE7bFc8PBfjXuP14IxvmEJ_bDg""",6,"""Bloomberg"""
"""Nov 27, 2017""","""How Does Citigroup Inc. (C) Stack Up Right\u00a0Now?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/how-does-citigroup-inc-c-stack-up-right-now-5/&cid=52779693463370&ei=MWYgWujLE8Tg2Aa3y6-YAw&usg=AFQjCNGdRZXYOOMk7kvQsKv-zdftQoARsw""",7,"""StockNewsJournal"""
