Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Caterpillar Inc. Is Ready to Roar Once\u00a0More""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/caterpillar-inc-is-ready-to-roar/&cid=52779693140181&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNFEd-Iz4B7UqdJl0PVC4-jft5HDhg""",1,"""Investorplace.com"""
"""21 hours ago""","""Caterpillar Inc. (CAT) Closes 0.67% Down on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/caterpillar-inc-cat-closes-0-67-down-on-the-day-for-november-29&cid=52779697497322&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNHtjg_c2CocyxewgAjxqsSs7jvf_g""",Not Reachable,"""Equities.com"""
"""21 hours ago""","""New Caterpillar exhibit explores history of\u00a0Holt""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.pjstar.com/news/20171129/new-caterpillar-exhibit-explores-history-of-holt&cid=52779696963323&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNFOMho0IrCDVvHR3GAYIM1xy2hk6Q""",2,"""Peoria Journal Star"""
"""Nov 6, 2017""","""Caterpillar Inc. Stock Surged 8.9% in October: Here's What You Should\u00a0Do""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/06/caterpillar-inc-stock-surged-89-in-october-heres-w.aspx&cid=52779660202836&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNF3z1IYOzvjp99_1g4d2keniOkVFg""",3,"""Motley Fool"""
"""Nov 16, 2017""","""Caterpillar: Is $180 On The\u00a0Way?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125491-caterpillar-180-way&cid=0&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNEDWjyEOvDmvONslCGsE7KADlHvYw""",Not Reachable,"""Seeking Alpha"""
"""Nov 17, 2017""","""Caterpillar drives into new market: utility\u00a0vehicles""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.pjstar.com/news/20171116/caterpillar-drives-into-new-market-utility-vehicles&cid=52779678953375&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNFdUf_IuBr4pQNQgoG_Cy7gCF5jpw""",4,"""Peoria Journal Star"""
"""Nov 28, 2017""","""Revenue Approximations Analysis: Beacon Roofing Supply, Inc. (BECN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/revenue-approximations-analysis-beacon-roofing-supply-inc-becn-caterpillar-inc-cat/&cid=52779692912539&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNFlQSMhniC9PrPfS8Wf7VVy4jKVSg""",5,"""StockNewsJournal"""
"""Nov 29, 2017""","""Is It Time to go for Caterpillar Inc. (CAT), Splunk Inc.\u00a0(SPLK)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/is-it-time-to-go-for-caterpillar-inc-cat-splunk-inc-splk/&cid=52779694864861&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNENOlesv_lGPVTOL2a4MJmb57YRSw""",Not Reachable,"""StockNewsJournal"""
"""Nov 7, 2017""","""Caterpillar Stock: Booming Momentum And Rising\u00a0Expectations""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121817-caterpillar-stock-booming-momentum-rising-expectations&cid=0&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNER5HXN0zObAmJJvrZlu13gWceB9A""",Not Reachable,"""Seeking Alpha"""
"""Oct 31, 2017""","""Caterpillar:\u00a0Wow""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4118754-caterpillar-wow&cid=52779656299599&ei=0GYgWtGvH9GP2AbtzJ6ABA&usg=AFQjCNHGuDolZAEwtAvG9wSpKFb7PcxSaA""",Not Reachable,"""Seeking Alpha"""
