Date,Title,Link,Status,Source
"""4 hours ago""","""CVS Health Closes In on Deal to Buy\u00a0Aetna""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/cvs-health-closes-in-on-deal-to-buy-aetna-1512056596&cid=52779698029181&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNF4Mmu_AD8T7vRcckyDeXxqWI3uzg""",1,"""Wall Street Journal"""
"""Nov 24, 2017""","""CVS Health - Attractive Long-Term Income\u00a0Play""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127491-cvs-health-attractive-long-term-income-play&cid=52779686292048&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNHNDVSk2HhAT2xz4c0kOPyfgGHavg""",2,"""Seeking Alpha"""
"""Nov 27, 2017""","""CVS Health: Solid - A Portfolio\u00a0Analysis""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127786-cvs-health-solid-portfolio-analysis&cid=52779692471650&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNHsQG3sMdeBM2iLUp0sZ6qk0vpQAQ""",3,"""Seeking Alpha"""
"""Nov 22, 2017""","""Better Buy: CVS Health Corp. vs. Express Scripts Holding\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-cvs-health-corp-vs-express-scripts-hold.aspx&cid=52779684182791&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNE5vR47K3GvdfwTOcGLnz2RHoxtbg""",4,"""Motley Fool"""
"""Nov 7, 2017""","""Jefferies slashes its CVS Health price forecast on Amazon competition\u00a0risk""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/07/jefferies-slashes-its-cvs-health-price-forecast-on-amazon-competition-risk.html&cid=52779665862376&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNElCQnHvtJk3lPOTNS_Y0dEJmZtNw""",5,"""CNBC"""
"""Nov 16, 2017""","""Better Buy: CVS Health Corporation vs.\u00a0Wal-Mart""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/16/better-buy-cvs-health-corporation-vs-wal-mart.aspx&cid=52779678382987&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNET8PR0Zk26ZsP8qiKgxu8RtCcbJQ""",6,"""Motley Fool"""
"""4 hours ago""","""CVS Health closes in on deal to buy health insurer\u00a0Aetna""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/cvs-health-closes-in-on-deal-to-buy-health-insurer-aetna-20171130-00758&cid=0&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNF9G2nrI4aHQK3nm5atrD1kLD4iJw""",7,"""Nasdaq"""
"""Nov 3, 2017""","""CVS, Aetna aim to finalize deal as early as December:\u00a0sources""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-aetna-m-a-cvs-health/cvs-aetna-aim-to-finalize-deal-as-early-as-december-sources-idUSKBN1D32A6&cid=52779661015849&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNGIyfTjpDN2pq2HBW2P38J5dUkvkA""",8,"""Reuters"""
"""Nov 16, 2017""","""CVS:\u00a0Undervalued""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125421-cvs-undervalued&cid=52779676975587&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNEsCEhXSvkMN2vOr1eC9G_Pd1s9CQ""",9,"""Seeking Alpha"""
"""Nov 6, 2017""","""CVS Health beats on the top and bottom\u00a0lines""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/cvs-health-beats-on-the-top-and-bottom-lines-2017-11&cid=52779664665299&ei=X2ggWoP5K4GG2Ab8_LzoDA&usg=AFQjCNFQ02dVMSp1Rup7Z-Mn1SXO_AsOaQ""",10,"""Business Insider"""
