Date,Title,Link,Status,Source
"""Nov 29, 2017""","""Disney Cuts Another 150 Jobs at\u00a0ESPN""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://money.usnews.com/investing/stock-market-news/articles/2017-11-29/walt-disney-co-dis-espn-layoffs&cid=52779696372327&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHpmzjBk1587DidLE1q8iopAsoINg""",Not Reachable,"""U.S. News & World Report"""
"""4 hours ago""","""What to Expect From The Walt Disney Company in\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/30/what-to-expect-from-the-walt-disney-company-in-201.aspx&cid=52779697956904&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHbv-LJTxP00gJgM23s-L3i2GjGPA""",1,"""Motley Fool"""
"""23 hours ago""","""The Walt Disney Company Announces Semi-Annual Cash Dividend of $0.84 Per\u00a0Share""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171129006240/en/Walt-Disney-Company-Announces-Semi-Annual-Cash-Dividend&cid=52779696880305&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNF5WltOc1xYpjBsTvA1McBZX3x8TA""",2,"""Business Wire (press release)"""
"""Nov 28, 2017""","""Walt Disney Co. Declines To Say Whether It Is Investigating Allegations\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.cartoonbrew.com/artist-rights/walt-disney-co-declines-say-whether-investigating-allegations-john-lasseter-155052.html&cid=52779694997146&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHivElNPqk4k82hD4bio2NCNGPBMg""",Not Reachable,"""Cartoon Brew"""
"""Nov 29, 2017""","""The Walt Disney Company Selects AWS as its Preferred Public Cloud\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171129005470/en/Walt-Disney-Company-Selects-AWS-Preferred-Public&cid=52779692635667&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFM1G6xp8x4RXZeEtBcy7CwmPbr3w""",3,"""Business Wire (press release)"""
"""Nov 23, 2017""","""Better Buy: The Walt Disney Company vs. Netflix\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-the-walt-disney-company-vs-netflix-inc.aspx&cid=52779684393095&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEYNzyY8MgpWg9grWXRfIHV0fy7QA""",4,"""Motley Fool"""
"""Nov 28, 2017""","""Disney Roundup: Pixar's Lasseter takes leave... Chapek potential CEO\u00a0candidate""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/losangeles/news/2017/11/28/disney-roundup-pixars-lasseter-takes-leave.html&cid=52779693525838&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEo3y31RVGb_W7rHNMOrxRETRs5Bg""",5,"""L.A. Biz"""
"""Nov 29, 2017""","""Female Disney Exec: I Didn't Realize Part Of My Job Description Was \u201cBeing\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.cartoonbrew.com/artist-rights/female-disney-exec-didnt-realize-part-job-description-groped-john-lasseter-155073.html&cid=52779696436747&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFsvjP8S6zzh7v52Pjb9QOGFwpWpg""",Not Reachable,"""Cartoon Brew"""
"""Nov 25, 2017""","""Better Buy: The Walt Disney Company vs. Time\u00a0Warner""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://host.madison.com/business/investment/markets-and-stocks/better-buy-the-walt-disney-company-vs-time-warner/article_9bcc2173-5235-588d-934a-9420bf31a5c2.html&cid=52779690161505&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEwgC0pyzZV3MVP3w5LLCTQYOAIqw""",6,"""Madison.com"""
"""Nov 9, 2017""","""Disney's profit disappoints as TV unit\u00a0struggles""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.latimes.com/business/hollywood/la-fi-ct-disney-earnings-20171109-story.html&cid=52779668421868&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHUXlk_Jj99wBG_I109H2a21M4gTA""",7,"""Los Angeles Times"""
"""Nov 24, 2017""","""Demi Lovato, Idina Menzel, Disney Sued Over 'Frozen' Song I Won't Let It\u00a0Go!!!""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tmz.com/2017/11/23/frozen-lawsuit-let-it-go-demi-lovato-walt-disney-co/&cid=52779688557957&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNGsM6dSqxoRMYiUFPoRZtGld2D5xg""",8,"""TMZ.com"""
"""Nov 28, 2017""","""Disney: Return Of The Mouse\u00a0House""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127981-disney-return-mouse-house&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNElohAUjJ8APu7sq-Cjcys1rSAoUA""",Not Reachable,"""Seeking Alpha"""
"""Nov 6, 2017""","""21st Century Fox has been holding talks to sell most of the company to Disney\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/06/21st-century-fox-has-been-holding-talks-to-sell-most-of-company-to-disney-sources.html&cid=52779663293560&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEisrkS0IqvdUDUkEJMhpWyfsjMWA""",9,"""CNBC"""
"""Nov 14, 2017""","""Walt Disney Co., Full-Scale Exercise Highlights Day at\u00a0IAEM""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.govtech.com/em/disaster/Walt-Disney-Co-Full-Scale-Exercise-Highlights-Day-at-IAEM.html&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFJ4F_R2w81E2jQGNkLEyAGc2-kiQ""",10,"""Government Technology"""
"""Nov 16, 2017""","""Why Walt Disney Co Should Buy Twenty-First Century Fox\u00a0Inc""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/why-disney-should-buy-fox/&cid=52779676481934&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHtfVgUcyRQ4Z2gpkXx5WvJNwd2dQ""",11,"""Investorplace.com"""
"""Nov 8, 2017""","""Walt Disney Co Has More Buyout Options Than You\u00a0Think""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/walt-disney-co-has-more-buyout-options/&cid=52779666844879&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNH0ACMa5v621WMDnyPLJPFuXJHKWA""",12,"""Investorplace.com"""
"""Nov 6, 2017""","""How to Trade Walt Disney Co Ahead of\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/trade-walt-disney-co-ahead-155636947.html&cid=52779664523821&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHp7-yKXHRSopEWYbbcu5q7toHvgw""",13,"""Yahoo News"""
"""Nov 1, 2017""","""3 (More) Reasons ESPN Remains a Drag on Walt Disney\u00a0Co""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/reasons-espn-drag-walt-disney-co-dis-stock/&cid=52779656248095&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFFKnRB4buSAKUGMxZA5HXIn8pThw""",14,"""Investorplace.com"""
"""Nov 9, 2017""","""Walt Disney Co. Reports Lower 4th Quarter\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.broadcastingcable.com/news/currency/walt-disney-co-reports-lower-4th-quarter-earnings/170017&cid=52779670159581&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHysm7AkJx6sCehjpjiTXZ3tWisYw""",15,"""Broadcasting & Cable"""
"""Nov 9, 2017""","""New 'Star Wars' trilogy raises hopes after Disney results miss\u00a0target""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-walt-disney-results/disney-results-miss-targets-but-new-star-wars-trilogy-raises-hopes-idUSKBN1D933B&cid=52779665892476&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNGyMfVTwhEOtbKMwOhiaaoAkhVgUw""",16,"""Reuters"""
"""Nov 3, 2017""","""Disney blocks LA Times from movie screenings over\u00a0story""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://money.cnn.com/2017/11/03/media/walt-disney-los-angeles-times/index.html&cid=52779661592209&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEN8p8sqfct5gkd51VU8XZgTEnOyA""",17,"""CNNMoney"""
"""Nov 29, 2017""","""By How Much Will Disney Raise Its\u00a0Dividend?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128365-much-will-disney-raise-dividend&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEPaq52fc4hcuCzR8zihr7CvjQvaQ""",18,"""Seeking Alpha"""
"""Nov 7, 2017""","""Disney ends LA Times ban after widespread\u00a0backlash""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.bostonherald.com/entertainment/movies/2017/11/disney_ends_la_times_ban_after_widespread_backlash&cid=52779664428084&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNGROzzhkPNym6vEAtE4v96ad4lOBg""",19,"""Boston Herald"""
"""Nov 27, 2017""","""Disney's Parks Chief Emerges as Contender to Succeed\u00a0Iger""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-27/disney-s-parks-chief-emerges-as-strong-contender-to-succeed-iger&cid=52779693071748&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFR-Nz7UmjFTTTlsnPWSPbH3iar4w""",20,"""Bloomberg"""
"""Nov 13, 2017""","""Disney: ESPN And\u00a0Hulu""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124208-disney-espn-hulu&cid=52779675084914&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNH2u28cuMoOUzUy_fiXbSYf_vxZLQ""",Not Reachable,"""Seeking Alpha"""
"""5 hours ago""","""Report: Expansion plans for Tokyo\u00a0Disneyland""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315440-report-expansion-plans-tokyo-disneyland&cid=52779695971494&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFpFjMvUY3Yja1de10oyJCO4HCVLA""",Not Reachable,"""Seeking Alpha"""
"""Nov 14, 2017""","""Things Are Looking Up For Walt Disney Co\u00a0(DIS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.valuewalk.com/2017/11/things-looking-walt-disney-co-dis/&cid=52779678774660&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNE8bEo7QpF9Ls8CsDGkloL5NaicFQ""",Not Reachable,"""ValueWalk"""
"""Nov 21, 2017""","""Disney Roundup: Layoffs planned... Details on Epcot's Ratatouille ride\u2026 Star\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/losangeles/news/2017/11/21/disney-roundup-layoffs-planned.html&cid=52779685228865&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNGJMdRFG3wNnq8jczM5Sq1zIl7Aow""",21,"""L.A. Biz"""
"""Nov 15, 2017""","""Disney: Uh Oh, Here We Go\u00a0Again""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125085-disney-uh-oh-go&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHpzguWc7VpXqpw1YyTVIxDYCsmwg""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""Disneyland stops selling its Southern California annual pass, but it may come\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.latimes.com/business/la-fi-disneyland-pass-suspension-20171120-story.html&cid=52779683792334&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHbLkliPIu0rlylhrJcp1YKx7sdqw""",22,"""Los Angeles Times"""
"""Nov 27, 2017""","""Reflections On Disney's Streaming\u00a0Ventures""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127838-reflections-disneys-streaming-ventures&cid=52779692309814&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNENyQ7fPXbnsiECXakyK69I7jJJ8Q""",Not Reachable,"""Seeking Alpha"""
"""21 hours ago""","""Here's who may be in line as Disney's next\u00a0CEO""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/orlando/news/2017/11/29/heres-who-may-be-in-line-as-disneys-next-ceo.html&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFzFIVMY04T8JGwof0xLekrzf6sUg""",23,"""Orlando Business Journal"""
"""Nov 10, 2017""","""Disney: Looking\u00a0Forward""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4123482-disney-looking-forward&cid=52779670129611&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFSK31rK3sHTs0rfL9hTlel8hUVcQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 15, 2017""","""Disney - Positioned Very Well To Deliver\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125048-disney-positioned-well-deliver-growth&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEcPjw4sJeoaks68UYCO5kfpwE02Q""",Not Reachable,"""Seeking Alpha"""
"""Nov 13, 2017""","""The Potential Impact Of Disney's 2 Streaming\u00a0Services""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124239-potential-impact-disneys-2-streaming-services&cid=52779672861144&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEFUckEeIzd_MnNfbcje1t-X8CVcA""",Not Reachable,"""Seeking Alpha"""
"""57 minutes ago""","""Bill Nye's $37M Lawsuit Against Disney Hits a\u00a0Snag""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.nbcbayarea.com/entertainment/entertainment-news/Bill-Nye-Science-Guy-Sues-Disney-461082413.html&cid=52779698314883&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNG0ucXHPyJnKmJAcyq2wV00DIK-2w""",24,"""NBC Bay Area"""
"""Nov 20, 2017""","""Esplanade Productions, Inc. v. The Walt Disney\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.lexology.com/library/detail.aspx%3Fg%3D1cb48b05-1add-47f4-b19b-fed8e8e550b6&cid=0&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNEGZWBxi_oV3Jq6sSI9Av_SJI1IHw""",25,"""Lexology"""
"""Nov 23, 2017""","""As John Lasseter takes a leave, Disney and Pixar face an uncertain road\u00a0ahead""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.latimes.com/business/hollywood/la-fi-ct-disney-pixar-lasseter-fallout-20171123-story.html&cid=52779687231504&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNHqJmEpLK0uvqng6y_NyiSU2tia0A""",26,"""Los Angeles Times"""
"""Nov 22, 2017""","""Levin Capital Strategies, Lp Buys DowDuPont Inc, Walt Disney Co, Treehouse\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/levin-capital-strategies-lp-buys-dowdupont-inc-walt-disney-co-treehouse-foods-inc-sells-cm881601&cid=52779686648209&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNH5naeNnkxiQNYUUOjkvalELVzFnQ""",27,"""Nasdaq"""
"""Nov 24, 2017""","""Walt Disney Company (The) (DIS) Closes 0.1% Down on the Day for November\u00a024""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/walt-disney-company-the-dis-closes-0-1-down-on-the-day-for-november-24&cid=52779687756093&ei=Z2wgWqjRJtGP2AbtzJ6ABA&usg=AFQjCNFGRzzxaccqs40nTiCYbiMw1x_A_g""",Not Reachable,"""Equities.com"""
