Date,Title,Link,Status,Source
"""Nov 29, 2017""","""These two stocks are dominating the market, As Expected: DowDuPont Inc. (DWDP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/these-two-stocks-are-dominating-the-market-as-expected-dowdupont-inc-dwdp-cleveland-cliffs-inc-clf/&cid=52779696646558&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHVycilX1h-HC-9duvYClx8s0jpuA""",1,"""StockNewsJournal"""
"""Nov 29, 2017""","""Shelton Capital Management Buys DowDuPont Inc, Franklin Resources Inc, AbbVie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/shelton-capital-management-buys-dowdupont-inc-franklin-resources-inc-abbvie-inc-sells-spdr-cm884220&cid=52779696410907&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNF9U2v0ZtBOZE-b2lBBar1LdoE0lQ""",2,"""Nasdaq"""
"""Nov 13, 2017""","""DowDuPont Inc. (DWDP) Ex-Dividend Date Scheduled for November 14,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/dowdupont-inc-dwdp-ex-dividend-date-scheduled-for-november-14-2017-cm876230&cid=52779673042288&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNF0COlhITth1SAKgp4I5The02gVPw""",3,"""Nasdaq"""
"""Nov 2, 2017""","""DowDuPont to cut jobs, shut plants in bid to save\u00a0$3B""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.detroitnews.com/story/business/2017/11/02/earns-dowdupont/107257150/&cid=52779660378571&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGJmMe8YWhezH6PZgWqR_Tur8OGFw""",4,"""The Detroit News"""
"""Nov 17, 2017""","""BlackRock Inc. Buys DowDuPont Inc, Eversource Energy, Andeavor, Sells EI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/blackrock-inc-buys-dowdupont-inc-eversource-energy-andeavor-sells-ei-cm878914&cid=52779678788177&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNG5diVA6mP-shKgcmitntWSPJpSRQ""",5,"""Nasdaq"""
"""Nov 20, 2017""","""Hartline Investment Corp Buys Baidu Inc, Impinj Inc, DowDuPont Inc, Sells EI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/hartline-investment-corp-buys-baidu-inc-impinj-inc-dowdupont-inc-sells-ei-cm880877&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNH0uuzF_aTO_LfRYSQvjWlXG4EbqA""",6,"""Nasdaq"""
"""Nov 10, 2017""","""Legal & General Group Plc Buys DowDuPont Inc, Alibaba Group Holding, British\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/legal-general-group-plc-buys-dowdupont-inc-alibaba-group-holding-british-american-cm875598&cid=52779669453138&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGoTv9Kvghj9_4XuabZHsRiOdleOQ""",7,"""Nasdaq"""
"""Nov 22, 2017""","""Levin Capital Strategies, Lp Buys DowDuPont Inc, Walt Disney Co, Treehouse\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/levin-capital-strategies-lp-buys-dowdupont-inc-walt-disney-co-treehouse-foods-inc-sells-cm881601&cid=52779686648209&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNEludvo66D02URMYVI6pPcDEHqSJg""",8,"""Nasdaq"""
"""Nov 9, 2017""","""Zurcher Kantonalbank (Zurich Cantonalbank) Buys DowDuPont Inc, Deutsche Bank\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/zurcher-kantonalbank-zurich-cantonalbank-buys-dowdupont-inc-deutsche-bank-ag-schlumberger-cm875115&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGNPnPyYzjq4yXYyu4I-_3XkEX9sA""",9,"""Nasdaq"""
"""Nov 17, 2017""","""Coastline Trust Co Buys DowDuPont Inc, iShares US Preferred Stock ETF, Amazon.\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/coastline-trust-co-buys-dowdupont-inc-ishares-us-preferred-stock-etf-amazon-cm879651&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNH7HcML7jdoQmL9ibF4lS56Q6_hUA""",10,"""Nasdaq"""
"""Nov 21, 2017""","""Visionary Asset Management, Inc. Buys DowDuPont Inc, Macy's Inc, iShares\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/visionary-asset-management-inc-buys-dowdupont-inc-macys-inc-ishares-russell-2000-sells-cm881460&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHorQ0o-Kx5wgO3ZgQlGjV3mncLPg""",11,"""Nasdaq"""
"""Nov 18, 2017""","""Aristotle Capital Management, LLC Buys DowDuPont Inc, Capital One Financial\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/aristotle-capital-management-llc-buys-dowdupont-inc-capital-one-financial-corp-danaher-corp-cm879584&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGl6Tzk52tN59-uP1L8MNO1QggVXQ""",12,"""Nasdaq"""
"""Nov 2, 2017""","""DowDuPont Plans Job Cuts as Part of $3 Billion Savings\u00a0Push""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/dowdupont-plans-job-cuts-as-part-of-3-billion-savings-push-1509623573&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNFm1UI6vNcWJWGuILMsVTcuWjQVGg""",13,"""Wall Street Journal"""
"""Nov 29, 2017""","""DowDuPont Inc. (DWDP) And Vantiv, Inc. (VNTV) Both Are\u00a0Undervalued""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/29/dowdupont-inc-dwdp-and-vantiv-inc-vntv-both-are-undervalued/&cid=52779694895210&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNG086VwtJ_tDFiNyU9aXCSBzh099A""",14,"""Post Analyst"""
"""Nov 14, 2017""","""Pacific Global Investment Management CO Buys DowDuPont Inc, FMC Corp, The\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/pacific-global-investment-management-co-buys-dowdupont-inc-fmc-corp-the-madison-square-garden-cm877516&cid=52779676700550&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNFQjrvi1hkC9SHhVc8NWtmHx2uqxg""",15,"""Nasdaq"""
"""Nov 29, 2017""","""DowDuPont Inc. (DWDP): Checking the Operational\u00a0Data""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/29/dowdupont-inc-dwdp-checking-the-operational-data/&cid=52779696592191&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNH8pZRRZyG8xOi-5ET6kbEWpky3pA""",16,"""StockNewsGazette"""
"""3 hours ago""","""What do Insider Trends Have to Say About DowDuPont Inc.\u00a0(DWDP)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.nystocknews.com/2017/11/30/what-do-insider-trends-have-to-say-about-dowdupont-inc-dwdp-2/&cid=52779697986993&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGuaFbWPZ85D0X4rAkJYyEeNANIPA""",17,"""NY Stock News"""
"""Nov 21, 2017""","""Trian Fund Management, Lp Buys DowDuPont Inc, Sells EI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/trian-fund-management-lp-buys-dowdupont-inc-sells-ei-cm881098&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGwu1hadEoeAPAgqBBpq-XpuEsZSQ""",18,"""Nasdaq"""
"""Nov 27, 2017""","""DowDuPont Inc. (DWDP): Examining the\u00a0Technicals""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/dowdupont-inc-dwdp-examining-the-technicals-4/&cid=52779695134541&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGxBlh-_lK39JsFjJCD1TIot5X6kw""",19,"""Economic News"""
"""Nov 27, 2017""","""Taking a Look at the Data Behind DowDuPont Inc.\u00a0(DWDP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/27/taking-a-look-at-the-data-behind-dowdupont-inc-dwdp-2/&cid=52779693337519&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGAjhsMpxV3bx3GZyxS7aYpGN3BYQ""",20,"""StockNewsJournal"""
"""Nov 13, 2017""","""San Francisco Sentry Investment Group (ca) Buys Vulcan Materials Co, DowDuPont\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/san-francisco-sentry-investment-group-ca-buys-vulcan-materials-co-dowdupont-inc-the-home-cm877194&cid=52779676064244&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNH8wfTZSGsx3F9tmxVPzZgJ1_hAbg""",21,"""Nasdaq"""
"""6 hours ago""","""Is the sentiment expressed is pleasing? DowDuPont Inc. (DWDP), The Williams\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/is-the-sentiment-expressed-is-pleasing-dowdupont-inc-dwdp-the-williams-companies-inc-wmb/&cid=52779694074145&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNFc_WZdcpm4T84ypcLViuuFkXSIAg""",22,"""Market Movers"""
"""Nov 17, 2017""","""Marco Investment Management Llc Buys DowDuPont Inc, Apple Inc, JPMorgan Chase\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/marco-investment-management-llc-buys-dowdupont-inc-apple-inc-jpmorgan-chase-sells-ei-cm879503&cid=52779680435503&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHHKtovSn72UauG1dhqyzes5H5jgw""",23,"""Nasdaq"""
"""Nov 15, 2017""","""Avalon Advisors, Llc Buys DowDuPont Inc, Berkshire Hathaway Inc, Chevron Corp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/avalon-advisors-llc-buys-dowdupont-inc-berkshire-hathaway-inc-chevron-corp-sells-cm878227&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNH__DS5TvO9ikeZyoUEpKkH8P61FQ""",24,"""Nasdaq"""
"""9 hours ago""","""DowDuPont's Specialty Products Division Launches Kalrez\u00a09600""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284517/dowduponts-specialty-products-division-launches-kalrez-9600&cid=52779697837448&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNFm9zrCikYlJdQEUXsRkOQU2w3EZA""",25,"""Zacks.com"""
"""Nov 2, 2017""","""DowDuPont Reports Third Quarter 2017\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171102005608/en/DowDuPont-Reports-Quarter-2017-Results&cid=52779659847666&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNEkiqB0dz1S0byyibMGPaJQkCz38Q""",26,"""Business Wire (press release)"""
"""Nov 18, 2017""","""Franklin Resources Inc Buys DowDuPont Inc, Walt Disney Co, Baker Hughes, a GE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/franklin-resources-inc-buys-dowdupont-inc-walt-disney-co-baker-hughes-a-ge-co-sells1-cm879631&cid=52779681857323&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHNaxk7PSQXxFuG7ldDV4M7EG771w""",27,"""Nasdaq"""
"""Nov 15, 2017""","""Two Sigma Advisers, Llc Buys DowDuPont Inc, Pfizer Inc, Caterpillar Inc, Sells\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/two-sigma-advisers-llc-buys-dowdupont-inc-pfizer-inc-caterpillar-inc-sells-ei-cm878249&cid=52779678441792&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHxzx8hEr62M_CINnsGfVdkfFjUxg""",28,"""Nasdaq"""
"""Nov 16, 2017""","""Lorber David A Buys DowDuPont Inc, Abercrombie & Fitch Co, CenturyLink Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/lorber-david-a-buys-dowdupont-inc-abercrombie-fitch-co-centurylink-inc-sells-clubcorp-cm879369&cid=52779680276444&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNERoT5161I34gzFm8qxmBeBVjdhtw""",29,"""Nasdaq"""
"""Nov 10, 2017""","""Torray LLC Buys Lonza Group, DowDuPont Inc, Royal Dutch Shell PLC, Sells\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/torray-llc-buys-lonza-group-dowdupont-inc-royal-dutch-shell-plc-sells-accenture-plc-erie-cm875646&cid=52779670298804&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNHW_uwyeUw28u6CLJnJlM2nQq9NGQ""",30,"""Nasdaq"""
"""Nov 1, 2017""","""Whitnell & Co. Buys DowDuPont Inc, Cognizant Technology Solutions Corp, Sun\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/whitnell-co-buys-dowdupont-inc-cognizant-technology-solutions-corp-sun-communities-cm869790&cid=0&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNEmJosc8VSd90vFHnXXzCdFPoEzxg""",31,"""Nasdaq"""
"""Nov 21, 2017""","""IFM Investors Pty Ltd Buys DowDuPont Inc, Align Technology Inc, Andeavor\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/600181/ifm-investors-pty-ltd-buys-dowdupont-inc-align-technology-inc-andeavor-sells-ei-du-pont-de-nemours-baker-hughes-inc-reynolds-american-inc&cid=52779685593132&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGXwURmp_TTVg2ytJeJpqjAe-yhcA""",32,"""GuruFocus.com"""
"""Nov 29, 2017""","""Comparable Company Analysis: DowDuPont Inc. (DWDP), Valero Energy Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/comparable-company-analysis-dowdupont-inc-dwdp-valero-energy-corporation-vlo/&cid=52779693159574&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNFceQZqTpULoP-CvqjIr91CQm_g4g""",33,"""AllStockNews"""
"""Nov 3, 2017""","""DowDupont cutting jobs to save $3\u00a0billion""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.mlive.com/news/bay-city/index.ssf/2017/11/dowdupont_cutting_jobs_to_save.html&cid=52779661353837&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNF89nNEO3zGsZqn5wnAETlc0A3FTg""",34,"""MLive.com"""
"""Nov 21, 2017""","""New Mexico Educational Retirement Board Buys DowDuPont Inc, Eversource Energy\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/600087/new-mexico-educational-retirement-board-buys-dowdupont-inc-eversource-energy-sba-communications-corp-sells-ei-du-pont-de-nemours-whole-foods-market-inc-staples-inc&cid=52779685497431&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNGhh8_MW2jlNkuGl1JfY4B2CpTIXg""",35,"""GuruFocus.com"""
"""Nov 2, 2017""","""Physicians Financial Services, Inc. Buys DowDuPont Inc, Red Hat Inc, AbbVie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/physicians-financial-services-inc-buys-dowdupont-inc-red-hat-inc-abbvie-inc-sells-whole-cm870577&cid=52779660512647&ei=dWwgWtnBJsTg2Aa3y6-YAw&usg=AFQjCNEt1UHG2sMDS0FdaGQlpTC41m0SvQ""",36,"""Nasdaq"""
