Date,Title,Link,Status,Source
"""Nov 28, 2017""","""General Electric: Be Smart, And Follow The Smart\u00a0Money""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128090-general-electric-smart-follow-smart-money&cid=52779693058242&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNHZHG4teneYVjw9ckjzfGLICmGZnA""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""With General Electric's Stock Price So Low, It Is Now Trading Around Its Fair\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128524-general-electrics-stock-price-low-now-trading-around-fair-value&cid=0&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNEexI8t89-y25LKjZhJADFOZrfeJw""",1,"""Seeking Alpha"""
"""4 hours ago""","""Follow the Insiders and Buy General Electric Company\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/follow-insiders-buy-general-electric-company-stock/&cid=52779696295556&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNGRMwdbZ3cW6CCp3UX30Ff--VmNTg""",2,"""Investorplace.com"""
"""Nov 28, 2017""","""Did GE Shock\u00a0Investors?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127996-ge-shock-investors&cid=0&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNFsps4-jEbFRwlixRxm2WjJNsvqSg""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""Industrial Giants: General Electric Vs. United\u00a0Technologies""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127852-industrial-giants-general-electric-vs-united-technologies&cid=0&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNEvblHK_rbGv_hPnIaD5qnha-efgA""",3,"""Seeking Alpha"""
"""14 hours ago""","""Why General Electric is\u00a0struggling""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.economist.com/blogs/economist-explains/2017/11/economist-explains-21&cid=0&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNGLptUPze0NfzmEq8UryD3ak_rang""",4,"""The Economist (blog)"""
"""Nov 13, 2017""","""GE shares plunge 7% for biggest decline since housing recession after\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/13/ge-announces-broad-restructuring-to-keep-health-care-aviation-and-energy-units.html&cid=52779671307073&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNERko6gIuifSOtXQSyySFTQe18MgA""",5,"""CNBC"""
"""Nov 1, 2017""","""General Electric Company May Spin-Off Transportation\u00a0Division""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/joecornell/2017/11/01/general-electric-company-may-spin-off-transportation-division/&cid=52779656279919&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNGBTVy--j_DrfzEk53n1P2uYxzoag""",6,"""Forbes"""
"""Nov 28, 2017""","""GE: Flannery's\u00a0Mulligan""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128164-ge-flannerys-mulligan&cid=0&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNFpliOfpjbhuP6cNLRtEDA2Zq9ezw""",7,"""Seeking Alpha"""
"""Nov 28, 2017""","""GE downgraded a notch at Fitch with negative\u00a0outlook""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314901-ge-downgraded-notch-fitch-negative-outlook&cid=52779695252363&ei=j20gWrG5O4_LjAHC3anQBA&usg=AFQjCNHa2GlQQwvh2QZOnaaoR58A3XOYgA""",Not Reachable,"""Seeking Alpha"""
