Date,Title,Link,Status,Source
"""5 hours ago""","""Blankfein Says It's Too Soon for a Bitcoin\u00a0Strategy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-30/blankfein-says-too-soon-for-bitcoin-strategy-as-volatility-jumps&cid=52779698089820&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEC1MuwfTWYytHuLXwplbt5htVfYA""",1,"""Bloomberg"""
"""22 hours ago""","""The Goldman Sachs Group Inc. (GS) Moves Higher on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-goldman-sachs-group-inc-gs-moves-higher-on-volume-spike-for-november-29&cid=0&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNH-dEvJ4o2JbWc7m6XxTaEbpex_Og""",Not Reachable,"""Equities.com"""
"""22 hours ago""","""The Goldman Sachs Group Inc. (GS) Closes 1.13% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-goldman-sachs-group-inc-gs-closes-1-13-up-on-the-day-for-november-29&cid=0&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHRuaoW8Pig_UFMsfT3kHZZG7a6UQ""",Not Reachable,"""Equities.com"""
"""8 hours ago""","""Lookout for Price Target? The Coca-Cola Company (KO), The Goldman Sachs Group\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/lookout-for-price-target-the-coca-cola-company-ko-the-goldman-sachs-group-inc-gs/&cid=52779697382766&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHO4LeaIO7jmwd6z3fn32chdH9BXg""",2,"""StockNewsJournal"""
"""Nov 28, 2017""","""Goldman Sachs Group Inc (NYSE:GS) Mixed\u00a0Signals""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livetradingnews.com/goldman-sachs-group-inc-nysegs-mixed-signals-63686.html&cid=52779694771413&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGpKmeTvo-7OjeNDaD3Z9snVlpEdg""",Not Reachable,"""Live Trading News"""
"""Nov 13, 2017""","""Goldman Lays Groundwork for China Future Without Owner\u00a0Curbs""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-13/goldman-lays-groundwork-for-china-future-without-ownership-curbs&cid=52779674044214&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNG1EYygALwDrlyeJKekoae0_u8dsw""",3,"""Bloomberg"""
"""Nov 28, 2017""","""Goldman Sachs Group, Inc. (GS) Ex-Dividend Date Scheduled for November 29,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/goldman-sachs-group-inc-gs-ex-dividend-date-scheduled-for-november-29-2017-cm883067&cid=52779693180622&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHaDKUJ6X_IEPXQYuyb421bPN_ptw""",4,"""Nasdaq"""
"""Nov 23, 2017""","""The Goldman Sachs Group Inc. (GS) Closes 0.67% Down on the Day for November\u00a023""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-goldman-sachs-group-inc-gs-closes-0-67-down-on-the-day-for-november-23&cid=52779685237301&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNH4wJ0t_S3rWYz9JiuScU_fRdxB5g""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""Short Goldman Sachs, Buy Bank of America:\u00a0Bove""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/short-goldman-sachs-buy-bank-america-bove/&cid=0&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEmFw2XFmlCBsHZgU9WjeRWQIBmPA""",5,"""Investopedia (blog)"""
"""Nov 22, 2017""","""Goldman Sachs Faces Doubts About Loss Rates at New Online\u00a0Lender""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-22/goldman-sachs-faces-doubts-about-loss-rates-at-new-online-lender&cid=52779686193993&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGBPgai6xRZQ1kKkzIxOcobspzKSg""",6,"""Bloomberg"""
"""Nov 18, 2017""","""Goldman Sachs Sees Four 2018 Fed Rate Hikes as US Growth\u00a0Gains""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-18/goldman-sachs-sees-four-2018-fed-rate-hikes-as-u-s-growth-gains&cid=52779681371380&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHK9hT0yTGGmcu6PI825RYrVeX7nQ""",7,"""Bloomberg"""
"""3 hours ago""","""Goldman Sachs Group Inc (GS) Position Decreased by Dupont Capital Management\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/dupont-capital-management-corp-cuts-holdings-in-goldman-sachs-group-inc-the-gs.html&cid=52779697382766&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGsBF3MFBFd7tsoRkGRQ-kiY04EKg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 1, 2017""","""Goldman Turns to Hiring Spree for Commodities Trading\u00a0Fix""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-10-31/goldman-sachs-turns-to-hiring-spree-for-commodities-trading-fix&cid=52779658411508&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHdx-Y7-fnNHMSmfNUkgAxAtdIqBA""",8,"""Bloomberg"""
"""Nov 16, 2017""","""Goldman Sachs Plots Conquest of Wall Street's CLO\u00a0Machine""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-16/goldman-plots-conquest-of-wall-street-s-100-billion-clo-machine&cid=52779678621127&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHJ3EsAOnM-LkvxU7EfGpO-wUc_zg""",9,"""Bloomberg"""
"""Nov 28, 2017""","""The Goldman Sachs Group Inc. (GS) Closes 1.83% Up on the Day for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-goldman-sachs-group-inc-gs-closes-1-83-up-on-the-day-for-november-28&cid=0&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNG8NR4xGBCa4u-JEI4tq802EACgqg""",Not Reachable,"""Equities.com"""
"""Nov 21, 2017""","""Goldman Sachs Ordered to Pay $24 Million to Indonesia\u00a0Tycoon""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-21/indonesian-court-orders-goldman-to-pay-24-million-to-tycoon&cid=52779684666375&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNFhCsiArYRynUfG1F3hVkgYoacp5w""",10,"""Bloomberg"""
"""Nov 7, 2017""","""Goldman Sachs Shuffles Leadership in Slumping Fixed-Income\u00a0Unit""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-07/goldman-sachs-changes-ficc-leadership-structure-amid-struggles&cid=52779666544523&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNF7EqTqVX3jD9-pFS-Lap8oTFDFCg""",11,"""Bloomberg"""
"""Nov 8, 2017""","""Goldman Sachs' new managing-director list is out \u2014 and it's the largest class\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/goldman-sachs-new-managing-director-list-is-out-2017-11&cid=52779667361007&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNFLR1Ug592GHZRpBq1-sTOOKdeyXQ""",12,"""Markets Insider"""
"""Nov 14, 2017""","""Goldman Sachs marks stake in Weinstein Co down to zero:\u00a0source""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-weinsteincompany-goldman/goldman-sachs-marks-stake-in-weinstein-co-down-to-zero-source-idUSKBN1DE021&cid=52779675072183&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHajuo3KpAi2DXxniN3uBuA2yXDQA""",13,"""Reuters"""
"""Nov 27, 2017""","""Ex-Dividend Reminder: Goldman Sachs Group, Central Pacific Financial and\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ex-dividend-reminder-goldman-sachs-group-central-pacific-financial-and-cullenfrost-bankers-cm882545&cid=52779687511338&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEHpM1m0Sv9tI5zmE6DoebWbmAjow""",14,"""Nasdaq"""
"""3 hours ago""","""Stocks Getting Far Too Much Hype: The Goldman Sachs Group, Inc. (GS), Delta\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/stocks-getting-far-too-much-hype-the-goldman-sachs-group-inc-gs-delta-air-lines-inc-dal/&cid=52779695718245&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGabnQ6IsciKM1ZyFhsD3ztA_x4Aw""",15,"""Post Analyst"""
"""Nov 2, 2017""","""Goldman Sachs to Withdraw From Part of US Options\u00a0Market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-02/goldman-sachs-to-withdraw-from-part-of-u-s-options-market&cid=52779659391696&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNFqudIfcsa7trM4CPJ_upWVZJ_V4Q""",16,"""Bloomberg"""
"""Nov 29, 2017""","""Venezuelan 'Hunger Bonds' Sink Into Default, Adding to Goldman's\u00a0Headache""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-29/-hunger-bonds-sink-into-default-adding-to-goldman-s-headache&cid=52779694774214&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGXthEPeWNqXbbtcVUagP-id2XOhw""",17,"""Bloomberg"""
"""Nov 27, 2017""","""The Goldman Sachs Group Inc. (GS) Closes 0.36% Down on the Day for November\u00a027""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/the-goldman-sachs-group-inc-gs-closes-0-36-down-on-the-day-for-november-27&cid=0&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGOOADm0hhHP1gqIAT6jHwSai12tw""",Not Reachable,"""Equities.com"""
"""Nov 16, 2017""","""Goldman Sachs Create Frankfurt Holding Company Ahead of\u00a0Brexit""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-16/goldman-sachs-is-said-to-create-brexit-driven-frankfurt-entity&cid=52779678252393&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNHovEnAwZpTW_aaA2UCKcmuSEFSFQ""",18,"""Bloomberg"""
"""Nov 29, 2017""","""Seasonality in Euro? Bah Humbug, Goldman Sachs Analysis\u00a0Shows""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-29/seasonality-in-euro-bah-humbug-goldman-sachs-analysis-shows&cid=52779696062659&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEat7iJKAO9nbee-2j620jOiOjx1g""",19,"""Bloomberg"""
"""Nov 8, 2017""","""Goldman Sachs leads $10 million investment round in data startup\u00a0Crux""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-crux-goldman-sachs/goldman-sachs-leads-10-million-investment-round-in-data-startup-crux-idUSKBN1D81PY&cid=52779667410052&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEEWR9_62ywM2bgGjprYPxp2ubilA""",20,"""Reuters"""
"""Nov 2, 2017""","""Goldman jokes, takes 'bites' out of pizza to attract\u00a0borrowers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-goldman-sachs-marcus/goldman-jokes-takes-bites-out-of-pizza-to-attract-borrowers-idUSKBN1D20EF&cid=52779659855106&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNF_p5ggTEmtH1sjV10r8MW1oSgCqA""",21,"""Reuters"""
"""Nov 13, 2017""","""Goldman Sachs Says Central Banks Mostly Avoid Confusing\u00a0Markets""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-13/goldman-sachs-says-central-banks-mostly-avoid-confusing-markets&cid=52779674500771&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNGduPROVwuH-JsQRkT90Ya2tNNMPg""",22,"""Bloomberg"""
"""Nov 29, 2017""","""Bitcoin haters don't get its gold-like qualities, says Goldman\u00a0Sachs""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livemint.com/Money/gPmO2B16URuTj65eemxoqI/Bitcoin-haters-dont-get-its-goldlike-qualities-says-Goldm.html&cid=52779696528365&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNFrnobGZyLx1nqeMmBF-fxkZtHWRA""",23,"""Livemint"""
"""Nov 7, 2017""","""Behind Goldman Sachs's Trading\u00a0Slump""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/gadfly/articles/2017-11-07/goldman-sachs&cid=52779666054393&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNEUxr1mpH8f32fwK8l-fUoQfPTxGQ""",24,"""Bloomberg"""
"""5 hours ago""","""Kiltearn Partners Llp Has Lifted Holding in Goldman Sachs Group INC (GS) as\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/kiltearn-partners-llp-has-lifted-holding-in-goldman-sachs-group-inc-gs-as-stock-price-declined/&cid=52779698104636&ei=Am4gWvCBD43kjAHx2JK4Cg&usg=AFQjCNF-RYYdqsAvXUWbhZE_Ifq2_DlsXQ""",25,"""BZ Weekly"""
