Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Better Buy: The Home Depot, Inc. vs.\u00a0Target""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://host.madison.com/business/investment/markets-and-stocks/better-buy-the-home-depot-inc-vs-target/article_3288d6f4-95b1-5f5c-a2ac-93a8225a3dac.html&cid=52779693165394&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNG3CXaPBHjJGr-gmJ1wpga25L4CjQ""",1,"""Madison.com"""
"""Nov 26, 2017""","""Home Depot - Buy This\u00a0Winner""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127678-home-depot-buy-winner&cid=0&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNHpjTu0wCd_8jeJnRIQWcOQkTUpCw""",2,"""Seeking Alpha"""
"""Nov 27, 2017""","""Home Depot: Quality, Value And\u00a0Momentum""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127866-home-depot-quality-value-momentum&cid=0&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNG2MzkxkJE0-6aXUaI_nWuAQ7HrHA""",3,"""Seeking Alpha"""
"""23 hours ago""","""How Home Depot Solved The 2 Biggest Challenges Of\u00a0E-Commerce""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128581-home-depot-solved-2-biggest-challenges-e-commerce&cid=0&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNG1rVOap8GMQY81fh5TGTqcohujZA""",4,"""Seeking Alpha"""
"""Nov 14, 2017""","""Home Depot lifts full-year forecasts as hurricanes spur\u00a0demand""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-home-depot-results/home-depot-lifts-full-year-forecasts-as-hurricanes-spur-demand-idUSKBN1DE1EA&cid=52779679264916&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNF7yqQTiWBhoiqrKYRZJ7A4d87QLw""",5,"""Reuters"""
"""Nov 26, 2017""","""7 Key Takeaways From Home Depot's Earnings\u00a0Call""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/25/7-key-takeaways-from-home-depots-earnings-call.aspx&cid=52779691087648&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNEvUizw34DqfVx2XnVUvA0ksaFzyw""",6,"""Motley Fool"""
"""Nov 14, 2017""","""Home Depot Inc. Lifts Its Outlook -- Again -- After Hurricanes Boost\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/14/home-depot-inc-lifts-its-outlook-again-after-hurri.aspx&cid=52779671552849&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNE-8ZmJb3gKQPRp23aOhcCy-7Uq3A""",7,"""Motley Fool"""
"""Nov 9, 2017""","""Home Depot Inc. Earnings: What to\u00a0Watch""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/09/home-depot-inc-earnings-what-to-watch.aspx&cid=52779666735108&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNE80VfCqYR1f400dOG7nLvfxfEtKg""",8,"""Motley Fool"""
"""Nov 2, 2017""","""Home Depot: Upside\u00a0Ahead""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119686-home-depot-upside-ahead&cid=52779658842218&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNH0ltEH0DixPjWi3evIFGzVj83ZAw""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""Home Depot: Continues To Break\u00a0Out""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126920-home-depot-continues-break&cid=0&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNFgPN26llkSs1gQA6eU_vk0_7tzpQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Wednesday's Vital Data: Bank of America Corp (BAC), Roku Inc (ROKU) and Home\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/wednesday-vital-data-bank-america-corp-bac-roku-inc-roku-home-depot-inc-hd/&cid=52779696441023&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNHf8emjvXjyqKSQkBGoOVH__YHAcw""",9,"""Investorplace.com"""
"""Nov 24, 2017""","""Home Depot Up 4.1% Post Q3: Will the Bullish Trend\u00a0Continue?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/home-depot-4-1-post-152603943.html&cid=52779688894715&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNGRFneky56O3Cd8vxK0dctITC9AuA""",10,"""Yahoo Finance"""
"""Nov 17, 2017""","""Home Depot: Total Return And Dividend Growth\u00a0Play""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125932-home-depot-total-return-dividend-growth-play&cid=52779678499877&ei=xm8gWvGZB9WEjAGEpImwDQ&usg=AFQjCNFlSwuWy4-w_8zpJ4Aap_dIRgu2_Q""",Not Reachable,"""Seeking Alpha"""
