Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Honeywell International Moves Up In Market Cap Rank, Passing\u00a0Accenture""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/honeywell-international-moves-up-in-market-cap-rank-passing-accenture-cm883586&cid=52779693307795&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNHwuvopSBkF_LGSlcCR1xqY6rrLkA""",1,"""Nasdaq"""
"""Nov 28, 2017""","""Honeywell could be next industrial\u00a0leader""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314786-honeywell-next-industrial-leader&cid=0&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNH3eOnPJyhu6ls3FsQl38bVr5FHIQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 15, 2017""","""Honeywell International Inc. (HON) Ex-Dividend Date Scheduled for November 16\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/honeywell-international-inc-hon-ex-dividend-date-scheduled-for-november-16-2017-cm877662&cid=52779673132310&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNGP0cdUevmnnwsp5v680QAGx-fgYA""",2,"""Nasdaq"""
"""Nov 29, 2017""","""Which Way Traders Signposts Honeywell International Inc. (HON), Denbury\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/which-way-traders-signposts-honeywell-international-inc-hon-denbury-resources-inc-dnr-stocks/&cid=52779696279847&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNGT3aTHlqSvIYAeeUZnzME0e5kqug""",3,"""StockNewsJournal"""
"""6 hours ago""","""Comparing Honeywell International Inc. (HON) and Gardner Denver Holdings, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/30/comparing-honeywell-international-inc-hon-and-gardner-denver-holdings-inc-gdi/&cid=52779696495996&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNG4tJeGJrDF-EKTpnPEEwM--lCc-Q""",4,"""StockNewsGazette"""
"""18 hours ago""","""Chilton Investment Co. LLC Takes $384000 Position in Honeywell International\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/2881-shares-in-honeywell-international-inc-hon-purchased-by-chilton-investment-co-llc.html&cid=52779696579750&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNHAZL8v3s41lukawVmFtKtF6wjOfg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 28, 2017""","""Honeywell International Inc. (HON) Moves Higher on Volume Spike for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/honeywell-international-inc-hon-moves-higher-on-volume-spike-for-november-28&cid=52779691640572&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNFaQQsUqzrHuLImeBKAtw8ANUmFhg""",Not Reachable,"""Equities.com"""
"""9 hours ago""","""Honeywell Buys Fire And Gas Safety Systems Provider SCAME\u00a0Sistemi""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/honeywell-buys-fire-and-gas-safety-systems-provider-scame-sistemi-20171130-00322&cid=52779697854882&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNHVsonkuXPZ9QmC3wM-RjoJTgoWrA""",5,"""Nasdaq"""
"""Nov 16, 2017""","""Honeywell CEO Seeks Wall Street Darling Status That Eluded\u00a0Cote""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-16/honeywell-ceo-aims-for-valuation-his-predecessor-couldn-t-reach&cid=52779678829431&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNHI7rX417dVnFwyUyrCw42zdBhikQ""",6,"""Bloomberg"""
"""8 hours ago""","""Do technicals still doubt? HCP, Inc. (HCP), Honeywell International Inc.\u00a0(HON)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/do-technicals-still-doubt-hcp-inc-hcp-honeywell-international-inc-hon/&cid=52779697358971&ei=3nQgWsj5I47ijAGO95OIBQ&usg=AFQjCNGIYbrgvq62PicGAW6AWPWAMZ_Z2Q""",7,"""Market Movers"""
