Date,Title,Link,Status,Source
"""Nov 6, 2017""","""Itau Unibanco Holding SA (ADR) (ITUB) EPS Estimated At\u00a0$0.28""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/itau-unibanco-holding-sa-adr-itub-eps-estimated-at-0-28-2/&cid=52779662287988&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNHwBD43yRiRzMUnIgQD3eXzhQsrug""",1,"""WeeklyHub"""
"""Nov 27, 2017""","""As Itau Unibanco Hdg Sa (ITUB) Market Valuation Declined, Inca Investments LLC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kldaily.com/as-itau-unibanco-hdg-sa-itub-market-valuation-declined-inca-investments-llc-boosted-its-stake-by-7-83-million/&cid=52779692433711&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNHqWnHoqzDizLiAy17BzdRU6NcPTA""",2,"""KL Daily"""
"""Oct 30, 2017""","""Itau Unibanco Holding SA (ADR) (NYSE:ITUB) Gets Approval To Buy Citigroup Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://marketexclusive.com/itau-unibanco-holding-sa-adr-nyseitub-gets-approval-buy-retail-banking-unit-citigroup-inc-nysec/2017/10/&cid=52779649527880&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNGke2OOwqB-wa5NAbp7oV4jzPWfRw""",3,"""Market Exclusive"""
"""May 25, 2017""","""This is what analysts have to say about Itau Unibanco Holding SA (ADR) (NYSE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/this-is-what-analysts-have-to-say-about-itau-unibanco-holding-sa-adr-nyseitub-after-last-week/&cid=0&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNGZONezHNMeRRKRF1OiUPmDZ8YhNw""",4,"""WeeklyHub"""
"""May 11, 2017""","""Under Analysts Radar: Itau Unibanco Holding SA (ADR)\u00a0(NYSE:ITUB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://expertgazette.com/2017/05/11/under-analysts-radar-itau-unibanco-holding-sa-adr-nyseitub/&cid=52779490450427&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNEbPR_0SJa-sHRtUMZ-Bmn5SaoiFg""",5,"""ExpertGazette"""
"""Nov 3, 2017""","""Are Analysts Bullish Itau Unibanco Holding SA (ADR) (NYSE:ITUB) After Last\u00a0Week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/are-analysts-bullish-itau-unibanco-holding-sa-adr-nyseitub-after-last-week/&cid=52779657707025&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNEOtXbbYDY_o-LGaSNory2OFLVhUg""",6,"""BZ Weekly"""
"""Nov 18, 2017""","""As Itau Unibanco Holding Sa Pn Adr (ITUB) Share Price Declined, Capital\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/as-itau-unibanco-holding-sa-pn-adr-itub-share-price-declined-capital-international-sarl-has-cut-its-stake-harvest-fund-advisors-decreased-its-eqt-midstream-partners-lp-eqm-position-by-4-99-mill/&cid=52779681137144&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNEtDFKY9WbdyuA-Dkl1f00Llm1-Lg""",7,"""BZ Weekly"""
"""Nov 17, 2017""","""Itau Unibanco Holding SA (ADR) (ITUB) Reaches $12.81 After 8.00% Up Move\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/itau-unibanco-holding-sa-adr-itub-reaches-12-81-after-8-00-up-move-capstead-mortgage-has-1-29-sentiment/&cid=52779679338008&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNFZ4nOugL5HPbIx5ZEbfWfnc7_kFQ""",8,"""UtahHerald.com"""
"""Nov 16, 2017""","""Harding Loevner LP Holding in Itau Unibanco Hldg Sa (ITUB) Has Boosted by $21\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/harding-loevner-lp-holding-in-itau-unibanco-hldg-sa-itub-has-boosted-by-21-19-million-as-share-value-declined/&cid=52779671998236&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNE1S492vpbvLibZN6-aCUbq26FPSQ""",9,"""BZ Weekly"""
"""Nov 26, 2017""","""Itau Unibanco Banco Multiplo SA (NYSE:ITUB) Reports Increase in Sellers\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://presstelegraph.com/itau-unibanco-banco-multiplo-sa-nyseitub-reports-increase-in-sellers-strong-momentum-for-short-players/&cid=0&ei=MnsgWvmEG8TejAGf24XwCA&usg=AFQjCNEeKPGFTlWvzfN0vrgV3blrcpeQag""",10,"""Press Telegraph"""
