Date,Title,Link,Status,Source
"""Nov 29, 2017""","""Cisco, Pfizer, Coca-Cola plan to turn over gains from proposed tax cuts to\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thehill.com/policy/finance/362412-cisco-pfizer-coca-cola-plan-to-turn-over-gains-from-proposed-tax-cuts-to&cid=52779698503057&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNEwPP2F0V72M6RD1AO2LDUAmxNrEQ""",1,"""The Hill"""
"""Nov 28, 2017""","""Trouble brewing for family coffee company after Coca-Cola\u00a0threat""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.thetimes.co.uk/article/trouble-brewing-for-family-coffee-company-after-coca-cola-threat-n2p75r0bd&cid=0&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNGBeol1ao9Vr1JJGG0j3oP48GSF1w""",2,"""The Times"""
"""Nov 16, 2017""","""Coca-Cola CEO: 'Painful changes' at Atlanta HQ but moving forward 'in a Coke\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/16/coca-cola-ceo-painful-changes-at-atlanta-hq-but.html&cid=52779678381373&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNEG_5f0qAqkr-JU7L6jZ1EIUHPJjw""",3,"""Atlanta Business Chronicle"""
"""Nov 29, 2017""","""Health chief hits out at Coca-Cola truck tour of 'tooth decay and obesity hot\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.telegraph.co.uk/news/2017/11/29/coca-cola-should-reflect-whether-should-stop-red-truck-tour/&cid=52779693203104&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNEE7vr0ny4XEabdJYsybSXiZBUabw""",4,"""Telegraph.co.uk"""
"""Nov 15, 2017""","""Coca-Cola Bottling Co. UNITED execs honored by Newcomen\u00a0Society""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.al.com/news/anniston-gadsden/index.ssf/2017/11/coca-cola_bottling_nielsen_hon.html&cid=52779675214296&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNE_Zem8R2cavyqV2pFx1wbiG5D4vQ""",5,"""AL.com"""
"""Nov 1, 2017""","""Coca-Cola not yet giving up on sugar, aiming Georgia Peach Coke at\u00a0millennials""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/01/coca-cola-not-yet-giving-up-on-sugar-aiming.html&cid=52779656286265&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNEnrZYO3hFaiSDXX7zA_5U1F8Xr3Q""",6,"""Atlanta Business Chronicle"""
"""13 hours ago""","""Holidays AREN'T coming! Health chiefs want to BAN the Coca-Cola truck from\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.dailymail.co.uk/news/article-5131663/Health-chiefs-want-BAN-Coca-Cola-truck-UK.html&cid=52779697406396&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNFLosYT9DKDphw1vXnquxEYZ71kYA""",7,"""Daily Mail"""
"""Nov 10, 2017""","""How Coca-Cola, Netflix, and Amazon Learn from\u00a0Failure""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://hbr.org/2017/11/how-coca-cola-netflix-and-amazon-learn-from-failure&cid=52779670568564&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNFpVXYUeWWoGIA91cGQ2SKE0Cf0iw""",8,"""Harvard Business Review"""
"""2 hours ago""","""Buckhead Capital Management Increased By $325600 Its Coca Cola Co (KO) Holding\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.hillcountrytimes.com/2017/11/30/buckhead-capital-management-increased-by-325600-its-coca-cola-co-ko-holding-insteel-industries-has-0-91-sentiment/&cid=52779697094691&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNE9KvnynA_ZmKYkhE0BNDXyA-srcA""",Not Reachable,"""Hill Country Times"""
"""Nov 23, 2017""","""The Narrative Structure Coca-Cola Is Using to Dominate Beverage\u00a0Markets""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/the-narrative-structure-coca-cola-is-using-to-domi.aspx&cid=0&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNEf3AOAqC6SMWjNO68TUu6pkYQ_iw""",9,"""Motley Fool"""
"""Nov 10, 2017""","""Coca-Cola to lay off another 179 employees in Atlanta\u00a0(Video)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/10/coca-cola-to-lay-off-another-179-employees-in.html&cid=0&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNGr7ebx3GyWZCaKTsc0e5GKSX9mlw""",10,"""Atlanta Business Chronicle"""
"""Nov 29, 2017""","""How Thums Up stole the cola\u00a0thunder""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livemint.com/Opinion/IpDvcLUBM7S29JUqLhwUaL/How-Thums-Up-stole-the-cola-thunder.html&cid=0&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNHFijg3iUuSqeuXok1bjyNgbRDbnw""",11,"""Livemint"""
"""Nov 25, 2017""","""Coca-Cola Needs to Lay Off the Booze and Buy This\u00a0Instead""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/25/coca-cola-needs-to-lay-off-the-booze-and-buy-this.aspx&cid=52779690658118&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNHDQ5ciM_k6KqBogErHcQt205Hztg""",12,"""Motley Fool"""
"""Nov 23, 2017""","""Coca-Cola Outlines New\u00a0Priorities""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/coca-cola-outlines-new-priorities.aspx&cid=0&ei=p4EgWpFOxIPYBovqqdgD&usg=AFQjCNFVub8npRFrmvFx_Yaze7NQBw0Kxg""",13,"""Motley Fool"""
