Date,Title,Link,Status,Source
"""4 hours ago""","""Top of the list shares in todays market \u2013 China Life Insurance Company Limited\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/30/top-of-the-list-shares-in-todays-market-china-life-insurance-company-limited-lfc-2/&cid=52779696745374&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNEVT-yzU-_SRLdWwV1H8dUoNmrU6g""",1,"""The News Journal"""
"""Nov 23, 2017""","""Were Analysts Bullish China Life Insurance Co Ltd (ADR) (NYSE:LFC) This\u00a0Week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/were-analysts-bullish-china-life-insurance-co-ltd-adr-nyselfc-this-week-2/&cid=52779687899156&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNHiUhQ5PChj2u89BQBhLeX-uBEO-Q""",2,"""BZ Weekly"""
"""Nov 27, 2017""","""Hong Kong shares fall, shrug off robust China industrial\u00a0profits""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/china-stocks-hongkong-close/hong-kong-shares-fall-shrug-off-robust-china-industrial-profits-idUSZZN2N6300&cid=52779690363783&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNFNy6kPH9MgxP6WFT7EKSzWHOKDOw""",3,"""Reuters"""
"""Nov 24, 2017""","""Hype And Facts About Emerson Electric Co. (EMR), China Life Insurance Company\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/24/hype-and-facts-about-emerson-electric-co-emr-china-life-insurance-company-limited-lfc/&cid=52779687718987&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNFoyNz4Gr7mX9tyN8_Dt7BqrJl1zg""",4,"""Post Analyst"""
"""Nov 2, 2017""","""China Life to expand overseas\u00a0presence""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.chinadaily.com.cn/business/2017-11/03/content_34055380.htm&cid=0&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNH8p4w3kbW0DKAQnUxn7t9Hb5jjzg""",5,"""China Daily"""
"""4 hours ago""","""Shares Running on Volume: China Life Insurance Company Ltd\u00a0(LFC)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://sheridandaily.com/shares-running-on-volume-china-life-insurance-company-ltd-lfc/432831/&cid=52779697335141&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNFoYRzypUl_-BWZkB5_YNB6HAhzjw""",6,"""Sheridan Daily"""
"""16 hours ago""","""China Life Insurance (LFC) versus Fidelity and Guaranty Life (FGL) Financial\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.thelincolnianonline.com/2017/11/30/china-life-insurance-lfc-versus-fidelity-and-guaranty-life-fgl-financial-analysis.html&cid=52779696469015&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNFVtMuqNQZbMh7jLfELFvf5o7m7kQ""",Not Reachable,"""The Lincolnian Online"""
"""Nov 19, 2017""","""Fidelity and Guaranty Life (NYSE:FGL) & China Life Insurance Company Limited\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/19/china-life-insurance-company-limited-lfc-vs-fidelity-and-guaranty-life-fgl-head-to-head-review.html&cid=52779681173148&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNFFrbtCU5FwPkyfMgM_X2dzENQADA""",Not Reachable,"""The Ledger Gazette"""
"""Nov 12, 2017""","""China Life Insurance Company Limited (NYSE:LFC) Earns Daily News Sentiment\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/12/somewhat-favorable-news-coverage-somewhat-unlikely-to-affect-china-life-insurance-company-limited-lfc-stock-price.html&cid=52779668591838&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNHjUyNBEDaELjIpBrfGZmq1ox_bQg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 23, 2017""","""China stocks having worst day in 3 months; Hong Kong\u00a0firm""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/china-stocks-midday/china-stocks-having-worst-day-in-3-months-hong-kong-firm-idUSL3N1NT1KR&cid=52779686878609&ei=PYMgWtnZHsS6jAHwso7gBA&usg=AFQjCNHmZaWy8uzeOgL56ePtUu9zUhOjKQ""",Not Reachable,"""Reuters"""
