Date,Title,Link,Status,Source
"""21 hours ago""","""Better Buy: General Dynamics Corporation vs. Lockheed\u00a0Martin""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/29/better-buy-general-dynamics-corporation-vs-lockhee.aspx&cid=0&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNFzrRiv9Sfs3IAGQR7Igtu6d_Wb1Q""",1,"""Motley Fool"""
"""Nov 2, 2017""","""Lockheed Martin invests millions in defense start-ups to fast-track\u00a0R&D""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/10/31/lockheed-martin-places-big-bets-on-defense-start-ups.html&cid=0&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNFzCobKKZt3CyD3giATnHT7gM-iYA""",2,"""CNBC"""
"""Nov 29, 2017""","""Lockheed Martin (LMT) Secures $21M Deal From US Air\u00a0Force""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/lockheed-martin-lmt-secures-21m-deal-from-us-air-force-cm883724&cid=52779696034739&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNEFQ9E8YZLcSElE3ldWAhkzi5itxw""",3,"""Nasdaq"""
"""Nov 23, 2017""","""Lockheed Martin (LMT) Secures $23M Contract From US\u00a0Navy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/lockheed-martin-lmt-secures-23m-contract-from-us-navy-cm881781&cid=52779687711992&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNG5FaAfisNS0OV5DcHrvj7gPMw64A""",4,"""Nasdaq"""
"""Nov 22, 2017""","""Lockheed Martin Wins $81M Deal From Missile Defense\u00a0Agency""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/lockheed-martin-wins-81m-deal-from-missile-defense-agency-cm881240&cid=52779682311382&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNHQIHaMT0PIChkbioN2RMBN6PmUGQ""",5,"""Nasdaq"""
"""Nov 2, 2017""","""Air Force Plans $10 Billion GPS III Contest Amid Lockheed\u00a0Delays""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-02/lockheed-s-latest-delays-on-satellites-may-open-door-to-boeing&cid=52779660314622&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNHiCVk3LJwXfN5T32sYi7oSHbePPQ""",6,"""Bloomberg"""
"""23 hours ago""","""Huntington Ingalls Industries (HII) and Lockheed Martin (LMT) Critical\u00a0Contrast""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/huntington-ingalls-industries-hii-lockheed-martin-corporation-lmt-head-to-head-survey.html&cid=52779693225126&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNGQKRc9pJuX_g7kCkBPBVqB-XiUCw""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Lockheed Martin completes assembly of third GPS III\u00a0satellite""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.spaceflightinsider.com/organizations/lockheed-martin-organizations/lockheed-martin-completes-assembly-gps-iii/&cid=0&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNEyiMp2NJE-fO6o_OeQp50N3-O13A""",7,"""SpaceFlight Insider"""
"""11 hours ago""","""Looking Mainly At Fundamentals: Lockheed Martin Corporation (LMT), WW Grainger\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.usacommercedaily.com/2017/11/30/looking-mainly-at-fundamentals-lockheed-martin-corporation-lmt-w-w-grainger-inc-gww/&cid=52779696745202&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNGsC6BGRJY-KdAsKUOkJVFabecKYg""",8,"""USA Commerce Daily"""
"""Nov 13, 2017""","""Deals this week: Lockheed Martin, Contrack Watts, Kratos Defense & Security\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.naval-technology.com/news/deals-week-lockheed-martin-contrack-watts-kratos-defense-security-solutions/&cid=52779671723238&ei=dIUgWqGVLcSPjAG5hbEY&usg=AFQjCNF-eTQoL5VuzRH141WymS1IR6OJUA""",9,"""Naval Technology"""
