Date,Title,Link,Status,Source
"""Nov 1, 2017""","""McDonald's Corporation Talks Digital Offers, Monthly Active Users, and\u00a0Value""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/01/mcdonalds-corporation-talks-digital-offers-monthly.aspx&cid=52779659367208&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNExdTT9yXjGbzpa2Zi_rLZyVgN6zA""",1,"""Motley Fool"""
"""Nov 24, 2017""","""McDonald's: I Am Loving\u00a0It""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127555-mcdonalds-loving&cid=0&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNH_xLRGBdQpmt7dqdj3tt0TgVnyWg""",2,"""Seeking Alpha"""
"""Nov 29, 2017""","""Is It Time to go for McDonald's Corporation (MCD), ImmunoGen, Inc.\u00a0(IMGN)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/is-it-time-to-go-for-mcdonalds-corporation-mcd-immunogen-inc-imgn/&cid=52779696281353&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNHIUCih2xmNqxx5uXIrYkaXY9ySyw""",3,"""StockNewsJournal"""
"""Nov 21, 2017""","""McDonald's Q3 Earnings Make The Stock A\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126802-mcdonalds-q3-earnings-make-stock-buy&cid=0&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNHt_KtFHlUh1pZ-fLBfqK3SvmZiYA""",Not Reachable,"""Seeking Alpha"""
"""4 hours ago""","""Calamos Advisors LLC Has $35.39 Million Position in McDonald's Corporation\u00a0(MCD)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/calamos-advisors-llc-has-35-39-million-position-in-mcdonalds-corporation-mcd.html&cid=52779696994444&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNFlSUouqKDrnt8Uq6bnFHHJPMhEeQ""",Not Reachable,"""The Ledger Gazette"""
"""8 hours ago""","""Diehard Bargain Hunter: Harley-Davidson, Inc. (HOG), McDonald's Corporation\u00a0(MCD)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/diehard-bargain-hunter-harley-davidson-inc-hog-mcdonalds-corporation-mcd/&cid=52779697964238&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNGsjb5XS8LfaBgGxxBirQ__fG9SUQ""",4,"""AllStockNews"""
"""Nov 28, 2017""","""Why Investors remained confident on Jabil Inc. (JBL), McDonald's Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/why-investors-remained-confident-on-jabil-inc-jbl-mcdonalds-corporation-mcd/&cid=52779691107484&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNFHPCO_W7LitGkCqXhxd1sqhIp1UQ""",5,"""StockNewsJournal"""
"""Nov 2, 2017""","""McDonald's: Room To\u00a0Grow""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119653-mcdonalds-room-grow&cid=0&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNHLGnZsA_vHCUzWSCPwdrF34bUB3Q""",Not Reachable,"""Seeking Alpha"""
"""Oct 31, 2017""","""I Was Wrong About\u00a0McDonald's""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4118821-wrong-mcdonalds&cid=0&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNGuA1KCfzVU8FIaKcWGxH1ynU2I3w""",Not Reachable,"""Seeking Alpha"""
"""4 hours ago""","""Experts Watch-list Companies: Century Aluminum Company (CENX), McDonald's\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/experts-watch-list-companies-century-aluminum-company-cenx-mcdonalds-corporation-mcd/&cid=52779690716855&ei=D4cgWojEIMS6jAHwso7gBA&usg=AFQjCNEF1ECgxT2DLLS9-PwrYi5FZOUq9w""",6,"""USA Commerce Daily"""
