Date,Title,Link,Status,Source
"""Nov 1, 2017""","""Medtronic plc. Ordinary Shares (MDT) Position Up in Latest Report from State\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.hugopress.com/medtronic-plc-ordinary-shares-mdt-position-up-in-latest-report-from-state-of-new-jersey-common-pension-fund-d/6211788&cid=0&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNG0ftChlJU6qVv6RPL5MReB7tnS1A""",1,"""HugoPress"""
"""Nov 2, 2017""","""Medtronic plc. Ordinary Shares (MDT) Holdings Up in Latest Report from Andra\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.hugopress.com/medtronic-plc-ordinary-shares-mdt-holdings-up-in-latest-report-from-andra-ap-fonden/6214711&cid=52779660225862&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEG_VTDFgLLB0CRMmZaLzTrS759-Q""",2,"""HugoPress"""
"""Nov 25, 2017""","""As Medtronic Plc (MDT) Shares Rose, Holder Mitsubishi Ufj Trust & Banking Corp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/as-medtronic-plc-mdt-shares-rose-holder-mitsubishi-ufj-trust-banking-corp-cut-holding/&cid=52779689024622&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGjCai5Sk-bqf4zeJE2m6bNgOBRPg""",3,"""BZ Weekly"""
"""Nov 10, 2017""","""Could Medtronic plc. Ordinary Shares (MDT) Go Down? The Stock Formed Bearish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/could-medtronic-plc-ordinary-shares-mdt-go-down-the-stock-formed-bearish-head-shoulders/&cid=52779668834015&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEF_mRrEiXsNwXxe7s5jWtwj4J-jw""",4,"""WeeklyHub"""
"""Nov 20, 2017""","""Medtronic plc. Ordinary Shares (MDT) Analysts See $0.96\u00a0EPS""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://newburghgazette.com/2017/11/20/medtronic-plc-ordinary-shares-mdt-analysts-see-0-96-eps/&cid=52779682393519&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNF3j-Yi-cquY3CNXxRewxD6A8G2aA""",5,"""Newburgh Gazette"""
"""Nov 28, 2017""","""South Street Advisors Increases Holding in Medtronic Plc (MDT); Bristol Myers\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/south-street-advisors-increases-holding-in-medtronic-plc-mdt-bristol-myers-squibb-co-bmy-shares-declined-while-gideon-capital-advisors-trimmed-position/&cid=52779694010460&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHihkCyygE_BE0MCGvAp5ultBkBAw""",6,"""BZ Weekly"""
"""Nov 23, 2017""","""Medtronic Plc (MDT) Stock Value Rose While Foyston Gordon & Payne INC Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/medtronic-plc-mdt-stock-value-rose-while-foyston-gordon-payne-inc-has-trimmed-holding/&cid=52779686257156&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHkkYPvXhzwxIEnq6hFahne9bZEag""",7,"""BZ Weekly"""
"""Nov 18, 2017""","""Clark Estates INC Decreased Medtronic Plc (MDT) Holding as Share Value\u00a0Rose""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/clark-estates-inc-decreased-medtronic-plc-mdt-holding-as-share-value-rose/&cid=52779677635632&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNH7ZigD8ViJTPxvSwrHcbND4-ba_A""",8,"""BZ Weekly"""
"""Nov 15, 2017""","""How Many Medtronic plc. Ordinary Shares (NYSE:MDT)'s Analysts Are\u00a0Bearish?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/how-many-medtronic-plc-ordinary-shares-nysemdts-analysts-are-bearish/&cid=52779672910302&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGXgv4jKY95LRGtjz1TkkD3e7KpwA""",9,"""KL Daily"""
"""Nov 6, 2017""","""Medtronic plc. Ordinary Shares (MDT) Reaches $78.43 Formed H&S; Model N (MODN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/medtronic-plc-ordinary-shares-mdt-reaches-78-43-formed-h-model-n-modn-shorts-lowered-by-2-23/&cid=52779661982033&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEz7N-cgiQs2DhOCnZ0cC9_qnYLSg""",10,"""UtahHerald.com"""
"""Nov 1, 2017""","""Country Trust Bank Decreased Medtronic Plc Common (NYSE:MDT) Stake By $21.76\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/country-trust-bank-decreased-medtronic-plc-common-nysemdt-stake-by-21-76-million/&cid=52779658119943&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNG7Xd99rB4EZGckimp8euuL_UVz3A""",11,"""WeeklyHub"""
"""Nov 27, 2017""","""Cypress Asset Management Raised Medtronic Plc (MDT) Position; Shorts at Durect\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kgazette.com/cypress-asset-management-raised-medtronic-plc-mdt-position-shorts-at-durect-drrx-raised-by-40-34/&cid=52779691449915&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNElGLmsFAffaWHZ438BM-SEkvrznA""",12,"""Key Gazette"""
"""Nov 27, 2017""","""Wealthfront Has Increased Medtronic Plc (MDT) Holding By $756272; Last Week\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kgazette.com/wealthfront-has-increased-medtronic-plc-mdt-holding-by-756272-last-week-pembina-pipeline-pba-analysts/&cid=52779693307244&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNFFxUrjl9r-SFTV2FW9y9Pfy1etjw""",13,"""Key Gazette"""
"""Nov 26, 2017""","""As Medtronic Plc (MDT) Stock Value Rose, Shareholder California State Teachers\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/as-medtronic-plc-mdt-stock-value-rose-shareholder-california-state-teachers-retirement-system-decreased-its-stake-alpine-partners-vi-stake-in-vale-s-a-vale-lowered-by-2-74-million/&cid=52779691766565&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEotO9RdKXd-rQJYBTylHoxoKCH1g""",14,"""BZ Weekly"""
"""Nov 25, 2017""","""Medtronic Plc (MDT) Holder Thompson Rubinstein Investment Management Lowered\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/medtronic-plc-mdt-holder-thompson-rubinstein-investment-management-lowered-position-as-stock-price-rose-schlumberger-ltd-slb-holding-maintained-by-lodestar-investment-counsel-llc/&cid=52779687634466&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNFo49P9T-TtCy6HtkXVJoVGhYWqZQ""",15,"""BZ Weekly"""
"""Nov 28, 2017""","""Eagle Global Advisors Has Boosted By $1.17 Million Its Teekay Offshore\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/eagle-global-advisors-has-boosted-by-1-17-million-its-teekay-offshore-partners-lp-too-holding-shorts-at-medtronic-plc-mdt-lowered-by-10-77/&cid=52779690464596&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGK7BsrLBR_vSfPrV6aoOahIwwiXQ""",16,"""NormanObserver.com"""
"""Nov 3, 2017""","""$1.07 EPS Expected for Medtronic plc. Ordinary Shares (MDT); 4 Analysts\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://flintdaily.com/1-07-eps-expected-for-medtronic-plc-ordinary-shares-mdt-4-analysts-covering-brf-sa-adr-brfs/&cid=52779661565162&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNG5-01pp982R8AQ_TZRYVVoz1nltA""",17,"""FlintDaily.com"""
"""Nov 22, 2017""","""Tower Bridge Advisors Lifted Medtronic Plc (MDT) Position By $68.60 Million; 0\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/tower-bridge-advisors-lifted-medtronic-plc-mdt-position-by-68-60-million-0-analysts-bullish-avinger-avgr/&cid=52779686594820&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHLzAgI-pAKJKn9T6UA8NtBzYtE_A""",18,"""UtahHerald.com"""
"""Nov 24, 2017""","""Medtronic Plc (MDT) Holder Cwm Cut Its Position; Becker Capital Management\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/medtronic-plc-mdt-holder-cwm-cut-its-position-becker-capital-management-decreased-its-iacinteractivecorp-iaci-position-by-27-19-million-market-valuation-were-volatile/&cid=52779684979407&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEX4YewwF8kntTQyXybK1B0HCGSFQ""",19,"""BZ Weekly"""
"""Nov 25, 2017""","""Mitsubishi Ufj Trust & Banking Corp Holding in Medtronic Plc (MDT) Has Cut by\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://presstelegraph.com/mitsubishi-ufj-trust-banking-corp-holding-in-medtronic-plc-mdt-has-cut-by-4-40-million/&cid=0&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNE_I25mDKGxQn9v4Gv7P2fgMPt_lQ""",20,"""Press Telegraph"""
"""Nov 22, 2017""","""Boyd Watterson Asset Management Cut Medtronic Plc (MDT) Stake By $484792\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/boyd-watterson-asset-management-cut-medtronic-plc-mdt-stake-by-484792-citrix-systems-ctxs-shorts-down-by-1-05/&cid=52779686257131&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGR4WS6GRFfFXDUt7FwOkFpNClSwA""",21,"""UtahHerald.com"""
"""Nov 21, 2017""","""Watch Bonds to See if the Bullishness Can\u00a0Continue""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/stocks-hit-new-records-pre-holiday-surge/&cid=0&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNErkK42yJc7IVx9ItlQMr69UQcmKA""",22,"""Investorplace.com"""
"""Nov 27, 2017""","""Jefferies International Analyzed Moneysupermarket.com Group PLC (LON:MONY\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/jefferies-international-analyzed-moneysupermarket-com-group-plc-lonmony-with-gbx-330-00-target-last-week-medtronic-plc-ordinary-shares-mdt-coverage/&cid=52779692371466&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHCHmNdwnuVAHDr7AvriNHhvQOF9w""",23,"""NormanObserver.com"""
"""Nov 26, 2017""","""Clark Estates Lowered By $10.56 Million Its Medtronic Plc (MDT) Holding\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/clark-estates-lowered-by-10-56-million-its-medtronic-plc-mdt-holding-manufacturers-life-insurance-company-the-decreased-by-411138-its-investors-bancorp-new-isbc-position/&cid=52779689454897&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHVdFlh7YWKPzzO1nSh3w0Ia4MmBw""",24,"""NormanObserver.com"""
"""Nov 27, 2017""","""Cramer Rosenthal Mcglynn Has Lowered Csx (CSX) Stake by $18.56 Million as\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/cramer-rosenthal-mcglynn-has-lowered-csx-csx-stake-by-18-56-million-as-stock-rose-ccm-investment-advisers-holding-in-medtronic-plc-mdt-was-has-boosted/&cid=52779693180591&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNG-4Fb2o0EvImADN2OJMMjgQQm-Ag""",25,"""BZ Weekly"""
"""Nov 28, 2017""","""Tiedemann Wealth Management Has Boosted Medtronic Plc (MDT) Position By\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/tiedemann-wealth-management-has-boosted-medtronic-plc-mdt-position-by-304480-waddell-reed-financial-wdr-has-1-19-sentiment/&cid=52779694928273&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGLyMyXkXalSN8cD2Qd2AqBRJpAuw""",26,"""NormanObserver.com"""
"""Nov 27, 2017""","""Appleton Partners Has Boosted Medtronic Plc Shs (MDT) Holding; California\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/appleton-partners-has-boosted-medtronic-plc-shs-mdt-holding-california-public-employees-retirement-system-has-decreased-its-invacare-ivc-holding/&cid=52779686255548&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGHtyLcUEdx7UcnS5GCzdInTd-wkQ""",27,"""Wolcott Daily"""
"""Nov 2, 2017""","""As Medtronic Plc (MDT) Stock Rose, Holder Capital Guardian Trust Company\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/as-medtronic-plc-mdt-stock-rose-holder-capital-guardian-trust-company-trimmed-by-131-85-million-its-holding-quantum-capital-management-has-increased-stake-in-copart-cprt/&cid=52779657595521&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEcDh60HxMOmLVwhvF4GcRy2RFG-Q""",28,"""BZ Weekly"""
"""Nov 29, 2017""","""Medtronic Plc (MDT) Shares Rose While Rothschild Asset Management Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://flintdaily.com/medtronic-plc-mdt-shares-rose-while-rothschild-asset-management-has-decreased-holding-c-r-bard-bcr-stock-rose-while-peninsula-asset-management-has-lowered-holding-by-379832/&cid=52779692997572&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHWuZGAb9d0V1QuZri2WpLLFgqeuw""",29,"""FlintDaily.com"""
"""Nov 26, 2017""","""Dnb Asset Management As Has Trimmed By $97.33 Million Its Cummins (CMI) Stake\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/dnb-asset-management-as-has-trimmed-by-97-33-million-its-cummins-cmi-stake-medtronic-mdt-has-0-9-sentiment/&cid=52779691976464&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNE_2bsWvhqfyIKM-i5bWuHY_rfHBg""",30,"""UtahHerald.com"""
"""Nov 28, 2017""","""Boyd Watterson Asset Management Has Cut By $484792 Its Medtronic Plc (MDT\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://flintdaily.com/boyd-watterson-asset-management-has-cut-by-484792-its-medtronic-plc-mdt-position-french-connection-group-lonfccn-covered-by-1-bullish-analysts-last-week/&cid=0&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNF-Bw2-bHBsfXMdW6vpVCG1Rerz-g""",31,"""FlintDaily.com"""
"""Nov 8, 2017""","""As Medtronic Plc (MDT) Market Valuation Rose, Utah Retirement Systems Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/as-medtronic-plc-mdt-market-valuation-rose-utah-retirement-systems-has-lowered-its-stake-loews-l-shareholder-bluemountain-capital-management-decreased-its-position-by-1-45-million/&cid=52779665530914&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHHL_gw3LVw7ldFA6A9DVl8uGIl_w""",32,"""BZ Weekly"""
"""Nov 16, 2017""","""Creative Planning Has Decreased Medtronic Plc (MDT) Position; Western Digital\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/creative-planning-has-decreased-medtronic-plc-mdt-position-western-digital-wdc-sentiment-is-1-12/&cid=52779677466935&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNGGlID9RuGYVE6GbjhTx_czJRnHUA""",33,"""Wolcott Daily"""
"""Nov 25, 2017""","""Epoch Investment Partners Has Cut Medtronic Plc (MDT) Stake; Wsi Industries\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.mmahotstuff.com/2017/11/25/epoch-investment-partners-has-cut-medtronic-plc-mdt-stake-wsi-industries-wsci-shorts-down-by-35-11.html&cid=0&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNHtPoqTK3Y0MXQo_hFTTAARE66Rzg""",34,"""MoneyMakingArticles"""
"""Nov 26, 2017""","""High Pointe Capital Management Lifted Medtronic Plc (MDT) Holding By $470800\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://santimes.com/high-pointe-capital-management-lifted-medtronic-plc-mdt-holding-by-470800-cobalt-international-energy-cie-shorts-down-by-4-42/&cid=52779693132861&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEaUc_pOwvvtVYgkPoGmLlPBVNROg""",35,"""San Times"""
"""Nov 13, 2017""","""Medtronic Plc (MDT) Holder Thompson Rubinstein Investment Management Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/medtronic-plc-mdt-holder-thompson-rubinstein-investment-management-has-trimmed-its-position-as-stock-price-rose-as-pioneer-nat-res-co-pxd-share-value-declined-shareholder-eulav-asset-management/&cid=52779672973316&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNEQ-lJE-o4g6tqWFU_HY-V5b2EFXw""",36,"""BZ Weekly"""
"""Nov 26, 2017""","""Bridger Management Cut Shire Plc (SHPG) Position; Professional Advisory\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://santimes.com/bridger-management-cut-shire-plc-shpg-position-professional-advisory-services-has-trimmed-medtronic-plc-mdt-stake-by-795608/&cid=52779685010579&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNFAZM7O9zI5Q_Z_HjY0uxvX_vON_A""",37,"""San Times"""
"""Nov 23, 2017""","""Medtronic (MDT) Buy Rating Reiterated by Analysts at Jefferies; With $99.0\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/medtronic-mdt-buy-rating-reiterated-by-analysts-at-jefferies-with-99-0-target-segantii-capital-management-ltd-has-increased-by-24-60-million-its-icici-bk-ltd-ibn-holding/&cid=52779683675401&ei=IoggWpl1k4mMAdWqqKgB&usg=AFQjCNFqEOhFPy7nASmianwlxTV5saG-nA""",38,"""Key Gazette"""
