Date,Title,Link,Status,Source
"""Nov 20, 2017""","""3M Faces New Cancer Claims in Minnesota's $5 Billion\u00a0Lawsuit""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-20/3m-faces-new-cancer-claims-in-minnesota-s-5-billion-toxin-suit&cid=52779684095351&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNHHeVDbbrQT657CB5lBcWE81_p73Q""",1,"""Bloomberg"""
"""Nov 26, 2017""","""Minnesota AG's lawsuit asks: What did 3M know about\u00a0PFCs?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.startribune.com/minnesota-ag-s-lawsuit-asks-what-did-3m-know-about-pfcs/459983203/&cid=52779690928143&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNGRj-_gXVbAokMWg8NWFqWhQ4LaXg""",Not Reachable,"""Minneapolis Star Tribune"""
"""Nov 29, 2017""","""3M Company (MMM) Closes 1.01% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/3m-company-mmm-closes-1-01-up-on-the-day-for-november-29&cid=0&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNGIX0TNpi-MZsKEMD0OXvZV0qyteg""",Not Reachable,"""Equities.com"""
"""Nov 6, 2017""","""Why 3M Company Stock Surged Higher in\u00a0October""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/06/why-3m-company-stock-surged-higher-in-october.aspx&cid=52779665104588&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNF3PMTyRNYEtMnU-aXjMV-Ec-kTBw""",2,"""Motley Fool"""
"""Nov 28, 2017""","""3M Company (MMM) Closes 0.7% Up on the Day for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/3m-company-mmm-closes-0-7-up-on-the-day-for-november-28&cid=52779694940996&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNHTiz_T8yXYH2yA7ITIJ6WWQmqJyA""",Not Reachable,"""Equities.com"""
"""Nov 20, 2017""","""3M Company (MMM) Closes 0.93% Up on the Day for November\u00a020""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/3m-company-mmm-closes-0-93-up-on-the-day-for-november-20&cid=52779684289476&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNGfGgvg33Hc2vOuxk_OzJeoxRwRhQ""",Not Reachable,"""Equities.com"""
"""Nov 13, 2017""","""Bush Odonnell Investment Advisors Inc Buys ONEOK Inc, Sells 3M Co, Visa Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/bush-odonnell-investment-advisors-inc-buys-oneok-inc-sells-3m-co-visa-inc-fedex-corp-cm877168&cid=0&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNFje-r1XV-dEQbxIbfYPFbLifrPvw""",3,"""Nasdaq"""
"""Nov 29, 2017""","""3M (MMM) a Buy on High-Level Quant\u00a0Score""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/3m-mmm-a-buy-on-high-level-quant-score-2/&cid=52779696314017&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNHWJCu4_CJhMR2mZ424r-R6ts5AGQ""",4,"""Investorplace.com"""
"""Nov 7, 2017""","""3M Company (MMM) Closes 0.11% Down on the Day for November\u00a007""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/3m-company-mmm-closes-0-11-down-on-the-day-for-november-07&cid=52779666000686&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNEu0j0_LZFaqHL54P6GBd1L1E0Q7A""",Not Reachable,"""Equities.com"""
"""Nov 27, 2017""","""One Put, One Call Option To Know About for\u00a03M""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/one-put-one-call-option-to-know-about-for-3m1-cm882623&cid=52779693377621&ei=uYkgWrHvKYTZjAHpqpfYCw&usg=AFQjCNHG7eArc1j9L6-sUGCct99Lp31uRg""",5,"""Nasdaq"""
