Date,Title,Link,Status,Source
"""Nov 21, 2017""","""Is Merck & Co. Inc. a\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/21/is-merck-co-inc-a-buy.aspx&cid=52779684776400&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNF-mSZtGt38KuRbl-oHod3coAbqAQ""",1,"""Motley Fool"""
"""Nov 27, 2017""","""The Case for Eli Lilly and\u00a0Co.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/27/better-buy-eli-lilly-and-company-vs-merck.aspx&cid=52779693169637&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNGHJCdtf5Qqcxzbh4O92NosgswBtg""",2,"""Motley Fool"""
"""6 hours ago""","""Merck & Co. Increases Quarterly\u00a0Dividend""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/603917/merck--co-increases-quarterly-dividend-&cid=52779698158487&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNG4Li89aS5FuZ_jpAb4sy3TgSblfw""",3,"""GuruFocus.com"""
"""Nov 20, 2017""","""Merck & Co., Inc. Stock's Decline Is a Reason to Get In\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/merck-co-inc-stocks-decline-is-a-reason-to-get-in-now/&cid=52779681713297&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNEwqCqKqIqMm1WkihVNhc85h9C3Xw""",4,"""Investorplace.com"""
"""Nov 27, 2017""","""Merck In London - A Hub, Or\u00a0Not?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128094-merck-london-hub&cid=52779694864843&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNHlP_T1LZeodaYV5yNOBBJwzf8yfA""",Not Reachable,"""Seeking Alpha"""
"""Nov 1, 2017""","""I'm Buying Merck At 52-Week\u00a0Lows""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4118958-buying-merck-52-week-lows&cid=52779658243513&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNG6GSbd2thj4-UlDSb5SR-wAibqVg""",Not Reachable,"""Seeking Alpha"""
"""6 hours ago""","""Breaking Down the Chart for Merck & Co., Inc.\u00a0(MRK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/30/breaking-down-the-chart-for-merck-co-inc-mrk-3/&cid=52779697577439&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNFnBEtcL6pcAtB_wJoDWtQGMHfE5g""",5,"""Economic News"""
"""4 hours ago""","""The Bottom Line on Merck & Co., Inc. (MRK), XPO Logistics, Inc.\u00a0(XPO)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/the-bottom-line-on-merck-co-inc-mrk-xpo-logistics-inc-xpo/&cid=52779693326670&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNFxA0ALBV1thPF25oDsPDVH_9OT7w""",6,"""AllStockNews"""
"""2 hours ago""","""Merck & Co., Inc. (MRK) and TherapeuticsMD, Inc. (TXMD) Go\u00a0Head-to-head""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/30/merck-co-inc-mrk-and-therapeuticsmd-inc-txmd-go-head-to-head/&cid=52779697992251&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNH81eVqAQ1cWqVtA64U6Tp1QZJsOg""",7,"""StockNewsGazette"""
"""Nov 22, 2017""","""Merck & Company Inc. (new) (MRK) Closes 0.18% Up on the Day for November\u00a023""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/merck-company-inc-new-mrk-closes-0-18-up-on-the-day-for-november-23&cid=52779687815417&ei=0IogWti4KYn9jAHGyL64Cg&usg=AFQjCNHKPX_gv0djBV2swnwUjT8mnc7rZQ""",Not Reachable,"""Equities.com"""
