Date,Title,Link,Status,Source
"""58 minutes ago""","""The case for Amazon being a trillion-dollar\u00a0company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://qz.com/1143056/morgan-stanley-why-amazon-amzn-could-be-worth-1-trillion/&cid=52779696699321&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNHDThMd-8Sl7cQkVMBJZhLLXUUnCg""",1,"""Quartz"""
"""Nov 28, 2017""","""Morgan Stanley predicts 2018 will be 'tricky' for global economies; says sell\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/28/morgan-stanley-predicts-2018-will-be-tricky-one-for-global-economies.html&cid=52779693134517&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNGr2cxPcPXxD4C7GNb-Qc-nQOLjvg""",2,"""CNBC"""
"""Nov 29, 2017""","""Allergan shares jump after Morgan Stanley says fears of a 'better Botox' may\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/29/allergan-shares-jump-as-better-botox-are-overdone.html&cid=52779693718395&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNHqcwEKiObebEOlBWZ3Co3WMchdMw""",3,"""CNBC"""
"""Nov 29, 2017""","""Deutsche Bank to Morgan Stanley Shun European Cyclical\u00a0Stocks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-29/deutsche-bank-to-morgan-stanley-shun-european-cyclical-stocks&cid=52779695996920&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNFrumrRIPNcjbmJL_1aPRRilPnHjg""",4,"""Bloomberg"""
"""Nov 29, 2017""","""Morgan Stanley Says 2018 Will Be the End of the Credit\u00a0Rally""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-29/morgan-stanley-calls-2018-end-to-credit-rally-from-u-s-to-asia&cid=52779696610851&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNF8xZ3NIk1Hl6zlmXxThh5ClbJTFQ""",5,"""Bloomberg"""
"""10 hours ago""","""Morgan Stanley taps LifeYield to boost tax alpha across client\u00a0accounts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.investmentnews.com/article/20171130/FREE/171139999/morgan-stanley-taps-lifeyield-to-boost-tax-alpha-across-client&cid=52779698100308&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNEib38EHHIH8dVwd-BdX7UEbL1lmQ""",6,"""InvestmentNews"""
"""Nov 27, 2017""","""Morgan Stanley sees market peak in first half of '18 then trouble start as\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/27/morgan-stanley-sees-market-peak-in-first-half-of-18.html&cid=52779693496832&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNH1kIaYlNTTQMsURTl9TPuZaCAisg""",7,"""CNBC"""
"""Nov 27, 2017""","""Chip stocks fall after Morgan Stanley says 'now is the time' to take profits\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/27/chips-fall-as-morgan-stanley-says-now-is-the-time-to-take-profits.html&cid=52779693498698&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNHBS6DqZ6MZWAlSLbYzvYYnjCt0Vw""",8,"""CNBC"""
"""Nov 29, 2017""","""MORGAN STANLEY: Get ready for another UK election in\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/morgan-stanley-election-2018-may-government-collapse-2017-11&cid=52779695952407&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNEq1GBhCQhN7dubKDgJPKk34rlECg""",9,"""Business Insider"""
"""1 hour ago""","""Morgan Stanley: How Bank Investors Can Play 6 Global Themes For\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10855363/morgan-stanley-how-bank-investors-can-play-6-global-the&cid=52779698355235&ei=9IsgWoHrBtihjAHU9JWIAg&usg=AFQjCNEDORFu1wejrC-KgJHF7xbkr_OV8Q""",10,"""Benzinga"""
