Date,Title,Link,Status,Source
"""Nov 21, 2017""","""NextEra Energy, Inc. (NEE) Ex-Dividend Date Scheduled for November 22,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/nextera-energy-inc-nee-ex-dividend-date-scheduled-for-november-22-2017-cm880565&cid=52779680358141&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNGdyusjRXFMkEkHhkFn3Gmqj4wwSA""",1,"""Nasdaq"""
"""8 hours ago""","""Analyst's Bullish on these two stock Following meeting with Industry: NextEra\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/analysts-bullish-on-these-two-stock-following-meeting-with-industry-nextera-energy-inc-nee-host-hotels-resorts-inc-hst/&cid=52779692970104&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNFeRTMiYMnO_CykFvT6gjT0xJIDIA""",2,"""StockNewsJournal"""
"""5 hours ago""","""2 Fast Growing, Low Risk Retirement Dream\u00a0Stocks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128772-2-fast-growing-low-risk-retirement-dream-stocks&cid=52779693294073&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNESQHUQ_isSZ7ScWC0lvSvL0rPI7A""",3,"""Seeking Alpha"""
"""Nov 27, 2017""","""Why Is NextEra Energy (NEE) Up 1.7% Since the Last Earnings\u00a0Report?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284022/why-is-nextera-energy-nee-up-17-since-the-last-earnings-report&cid=52779693023259&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNEHbd-pE_81gI55TlXtbRwQqvMXrw""",4,"""Zacks.com"""
"""Nov 2, 2017""","""NextEra Energy Inc. (NEE) Moves Lower on Volume Spike for November\u00a002""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/nextera-energy-inc-nee-moves-lower-on-volume-spike-for-november-02&cid=52779659200470&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNGnUD3jBHmOjoqeNSv5gz4HQb7KJw""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""Best-in-Class Measures for Quant Score Keep Nextera Energy (NEE) a Strong\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/best-in-class-measures-for-quant-score-keep-nextera-energy-nee-a-strong-buy/&cid=52779696314017&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNGMM4VLx0Jh6s0BXTZM9rXg5AKw2A""",5,"""Investorplace.com"""
"""41 minutes ago""","""Delve into today's share market: NextEra Energy, Inc.\u00a0(NEE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/30/delve-into-todays-share-market-nextera-energy-inc-nee-2/&cid=52779698600478&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNH_nHjPUTaiCwcAEaVADSv5N_stxw""",6,"""The News Journal"""
"""Nov 2, 2017""","""NextEra Energy a Top Ranked SAFE Dividend Stock With 2.6% Yield\u00a0(NEE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/nextera-energy-a-top-ranked-safe-dividend-stock-with-26-yield-nee-cm870123&cid=52779660267423&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNF8gQrRyDWpSmJD96p4eBZY6jr5JA""",7,"""Nasdaq"""
"""Nov 28, 2017""","""Buy or Sell? What Analysts Recommends: NextEra Energy, Inc. (NEE), QUALCOMM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/buy-or-sell-what-analysts-recommends-nextera-energy-inc-nee-qualcomm-incorporated-qcom/&cid=52779692649334&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNF6FzF2VE8taDpk-1x3noqSkxZwhw""",8,"""StockNewsJournal"""
"""2 hours ago""","""Valuing 2 Stocks Using Ratios and Multiples: The Procter & Gamble Company (PG\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/30/valuing-2-stocks-using-ratios-and-multiples-the-procter-gamble-company-pg-nextera-energy-inc-nee/&cid=52779694659294&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNExyO9eUQOAwxP-r78iuLLAsD3Vbw""",9,"""AllStockNews"""
"""Nov 4, 2017""","""Shelter Mutual Insurance Co Buys Oaktree Capital Group LLC, NextEra Energy Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/shelter-mutual-insurance-co-buys-oaktree-capital-group-llc-nextera-energy-inc-teva-cm871813&cid=52779662976096&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNGSH5V0SIwrCvlPib5HdwUFZogAvA""",10,"""Nasdaq"""
"""Nov 29, 2017""","""Cubist Systematic Strategies LLC Decreases Holdings in NextEra Energy Inc\u00a0(NEE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/cubist-systematic-strategies-llc-has-1-52-million-stake-in-nextera-energy-inc-nee.html&cid=52779695702694&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNG48rtwTE_LMT7_FbM_L-qasGvvSg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""A New Kind of Stock Chart: NextEra Energy Inc (NYSE:NEE) Critical Pivot\u00a0Points""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.cmlviz.com/2017/11/29/a-new-kind-of-stock-chart-nextera-energy-inc-nyse-nee--critical-pivot-points.html&cid=52779696459408&ei=84wgWoHMOoTZjAHpqpfYCw&usg=AFQjCNFv4SzAH9GkgDc3iHWlNuPqhz-Egg""",11,"""CML News"""
