Date,Title,Link,Status,Source
"""Sep 6, 2017""","""Here's Why Novo Nordisk A/S Gained 12% in\u00a0August""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/09/06/heres-why-novo-nordisk-as-gained-12-in-august.aspx&cid=52779600325662&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNGx0LIDEvEnQcOcdOrihQVBeq7agQ""",1,"""Motley Fool"""
"""Nov 22, 2016""","""Portfolio Update - Novo Nordisk\u00a0Purchased""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4025512-portfolio-update-novo-nordisk-purchased&cid=52779278669857&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNEMLcbRAjIhVBgqnKfVyX8Vsoiqww""",Not Reachable,"""Seeking Alpha"""
"""Aug 14, 2017""","""Novo Nordisk A/S Continues Its\u00a0Comeback""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/08/14/novo-nordisk-as-continues-its-comeback.aspx&cid=52779579404848&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNGLezPdCyPaZrrKKFjj6FL6H7N6yw""",2,"""Motley Fool"""
"""Nov 28, 2017""","""Boston Common Asset Management Raised Novo Nordisk A/S Adr (NVO) Position By\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/boston-common-asset-management-raised-novo-nordisk-a-s-adr-nvo-position-by-4-58-million-pentair-ltd-has-1-15-sentiment/&cid=52779694810160&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNEWEsx-ZL0B7J9f8eOScgGJ_2gP2A""",3,"""UtahHerald.com"""
"""May 4, 2017""","""Novo Nordisk A/S Jumps Over Its Lowered\u00a0Bar""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/05/04/novo-nordisk-as-jumps-over-its-lowered-bar.aspx&cid=52779481706627&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNHGfzvuSbseNgZ2tU4Euep-b7-lzA""",4,"""Motley Fool"""
"""Feb 3, 2017""","""Novo Nordisk A/S Closes the Books on a Tough\u00a0Year""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/02/03/novo-nordisk-as-closes-the-books-on-a-tough-year.aspx&cid=52779368172249&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNH_G6xraUTKLC3DpVpBKLKXTuy8FQ""",5,"""Motley Fool"""
"""May 1, 2017""","""Novo Nordisk A/S (ADR) (NYSE:NVO) Reaches Settlement Over Illegal 'White Coat\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://marketexclusive.com/novo-nordisk-adr-nysenvo-reaches-settlement-illegal-white-coat-marketing-practices/2017/05/&cid=52779472109194&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNH35R8riaK3RI_k5ihceZ96EOpUXg""",6,"""Market Exclusive"""
"""Nov 18, 2017""","""A Reversal for Novo Nordisk AS (ADR) (NVO) Is Not Near. The Stock Reaches 52\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/a-reversal-for-novo-nordisk-a-s-adr-nvo-is-not-near-the-stock-reaches-52-week-high-today/&cid=52779678885049&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNFndKUg0JyJAn_LRnJxaUGUoSDvnA""",7,"""WeeklyHub"""
"""Nov 24, 2017""","""What's Novo Nordisk AS (ADR) (NVO) Upside After Touching 52-Week\u00a0High?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/whats-novo-nordisk-a-s-adr-nvo-upside-after-touching-52-week-high/&cid=52779684788531&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNG_nnPrXedzi4VRb2fnf54Fr_X2FA""",8,"""WeeklyHub"""
"""Nov 7, 2017""","""Novo Nordisk A/S Slogs Through the\u00a0Year""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/07/novo-nordisk-as-slogs-through-the-year.aspx&cid=52779666522286&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNG1SyasOpZOgDZd1fggqpSuTHwKgw""",9,"""Motley Fool"""
"""Nov 1, 2017""","""Novo Nordisk (NVO) Tops Q3 Earnings Estimates, Lags\u00a0Sales""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/281298/novo-nordisk-nvo-tops-q3-earnings-estimates-lags-sales&cid=52779660078923&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNGBUVAB8I_nJLloHHH1PSt4s7U0LA""",10,"""Zacks.com"""
"""Aug 9, 2017""","""Why Novo Nordisk A/S (ADR)(NYSE: NVO) stock is going gangbusters\u00a0today?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://fxdailyreport.com/novo-nordisk-adrnyse-nvo-stock-going-gangbusters-today/&cid=52779572741637&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNGAs7wCTIYZRPwyloSA0xPF-iKJgA""",Not Reachable,"""FX Daily Report"""
"""Nov 17, 2017""","""Novo Nordisk: Q3 2017 Results Show Strong Future\u00a0Potential""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125850-novo-nordisk-q3-2017-results-show-strong-future-potential&cid=0&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNGzOSqBY615aMfOI7DDz1GNV_Fj4Q""",Not Reachable,"""Seeking Alpha"""
"""Nov 6, 2017""","""Foreign Stock Roundup: Alibaba, Sinopec, BP, Novo Nordisk Beat on\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/foreign-stock-roundup-alibaba-sinopec-bp-novo-nordisk-beat-on-earnings-cm872126&cid=52779665046243&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNFfsDofRTnK9Sx4RCQb0tqcREvN8Q""",11,"""Nasdaq"""
"""Oct 26, 2017""","""Novo Nordisk: US Obesity Epidemic To Provide Forward Growth\u00a0Engine""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4116772-novo-nordisk-u-s-obesity-epidemic-provide-forward-growth-engine&cid=52779644882431&ei=9o4gWtmCO9Ta2AaJ143ABw&usg=AFQjCNFJ0_fqalq5BVY2MwI3dgq6qmBQmw""",Not Reachable,"""Seeking Alpha"""
