Date,Title,Link,Status,Source
"""Nov 17, 2017""","""Oracle: A Lagging Tech That May Be Attractive\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125884-oracle-lagging-tech-may-attractive-now&cid=0&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNFwfoEj2A1dSklv5gGyFQ6UVbg0kA""",Not Reachable,"""Seeking Alpha"""
"""7 hours ago""","""Stocks Views And Recommendations: NetApp, Inc. (NTAP), Oracle Corporation\u00a0(ORCL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/stocks-views-and-recommendations-netapp-inc-ntap-oracle-corporation-orcl/&cid=52779696158111&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNG3ueeRwwtboh-lAbPOiMIWUzaMqQ""",1,"""AllStockNews"""
"""Nov 13, 2017""","""Is Oracle Corporation (ORCL) a Great Stock for Value\u00a0Investors?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/is-oracle-corporation-orcl-a-great-stock-for-value-investors-cm876273&cid=52779670121893&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNFvPr3JXdePa5ht8bDyyM3cesHVkA""",2,"""Nasdaq"""
"""Nov 27, 2017""","""Taking a Fresh Look at Oracle Corporation\u00a0(ORCL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/27/taking-a-fresh-look-at-oracle-corporation-orcl-9/&cid=52779692624823&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNFP3_ZaDgLrA9xUzDfCaYnt6f78kw""",3,"""StockNewsJournal"""
"""7 hours ago""","""How These Stocks Are Currently Valued Royal Gold, Inc. (RGLD), Oracle\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/how-these-stocks-are-currently-valued-royal-gold-inc-rgld-oracle-corporation-orcl/&cid=52779694750009&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNEmEPOpsKvHT8z7jYwec1131N_oKQ""",4,"""Post Analyst"""
"""8 hours ago""","""Are These Just A Random Activities? Oracle Corporation (ORCL), ANetflix, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.financialqz.com/2017/11/30/are-these-just-a-random-activities-oracle-corporation-orcl-anetflix-inc-nflx/&cid=52779695492123&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNEMES7BbryeP5yQY5GuzccTNRssAA""",5,"""Market Movers"""
"""Nov 29, 2017""","""Two Stocks Seeing A Clear Path Ahead: Oracle Corporation (ORCL), Crown Castle\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/29/two-stocks-seeing-a-clear-path-ahead-oracle-corporation-orcl-crown-castle-international-corp-reit-cci/&cid=52779692018340&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNGGU3W3cioje1oolyL3eE537yS-VA""",6,"""Post Analyst"""
"""Nov 28, 2017""","""Another motive To buy these stock: Oracle Corporation (ORCL), McDermott\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/another-motive-to-buy-these-stock-oracle-corporation-orcl-mcdermott-international-inc-mdr/&cid=52779687641372&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNGE1r0tf1B_rf991SBCUPtto2u91Q""",7,"""StockNewsJournal"""
"""Nov 24, 2017""","""Oracle Corporation (NYSE:ORCL) Has Revamped Its Legacy Database\u00a0Products""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.stocktradersdaily.com/news_release/22/Oracle%2BCorporation%2BORCL%2BHas%2BRevamped%2BIts%2BLegacy%2BDatabase%2BProducts%2B1124172.html&cid=52779684293387&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNHy_3ktW1ZjrvH2ZVScYdhaxsEoIQ""",8,"""Stock Traders Daily"""
"""Nov 20, 2017""","""Why to Keeping Eye on Oracle Corporation (ORCL), Egalet Corporation\u00a0(EGLT)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/20/why-to-keeping-eye-on-oracle-corporation-orcl-egalet-corporation-eglt/&cid=52779678401668&ei=HJAgWuGJHJCYjAHh6anQCA&usg=AFQjCNFPBUSpG1RVLtqQ-A1iPuR1e7DpFg""",9,"""StockNewsJournal"""
