Date,Title,Link,Status,Source
"""Nov 24, 2017""","""Dividend Aristocrats In Focus Part 49:\u00a0PepsiCo""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127403-dividend-aristocrats-focus-part-49-pepsico&cid=52779684993319&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNGHxuU0BrLb-AspZarFaCJefh3BVg""",Not Reachable,"""Seeking Alpha"""
"""2 hours ago""","""The Current Analyst Recommendations for Pepsico, Inc. (PEP), American Airlines\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/30/the-current-analyst-recommendations-for-pepsico-inc-pep-american-airlines-group-inc-aal/&cid=52779697307594&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNHJNE-F4Rv81qbNXp7FE3hrNWl6Ng""",1,"""AllStockNews"""
"""8 hours ago""","""Pepsico, Inc. (PEP) Holdings Lifted by Gamco Investors INC. ET\u00a0AL""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/gamco-investors-inc-et-al-boosts-holdings-in-pepsico-inc-pep.html&cid=52779693220637&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNE7-hV7dMU2FKY1EciGT2REmMs5hQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Why Investors remained confident on Stitch Fix, Inc. (SFIX), Pepsico, Inc.\u00a0(PEP)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/why-investors-remained-confident-on-stitch-fix-inc-sfix-pepsico-inc-pep/&cid=52779696457609&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNEmq9VGkXnGbq3Ggnkqx4369ZJdnw""",Not Reachable,"""StockNewsJournal"""
"""Nov 8, 2017""","""Pepsico Stock A Dividend Growth Darling With Strong Corporate Governance\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/greatspeculations/2017/11/08/pepsico-stock-a-dividend-growth-darling-with-strong-corporate-governance-trading-at-discount/&cid=0&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNEE8VxR5zNN35htSAN5OXoczt44wg""",2,"""Forbes"""
"""Nov 21, 2017""","""Could Pepsi Buy Hain\u00a0Celestial?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.thestreet.com/story/14398617/1/could-pepsi-buy-hain-celestial-.html&cid=52779684162861&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNHi15DY59aBsSYWT9oSHV5TkG20JQ""",Not Reachable,"""TheStreet.com"""
"""Nov 27, 2017""","""Today Analysts Focus on Pepsico, Inc. (PEP), SM Energy Company\u00a0(SM)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/today-analysts-focus-on-pepsico-inc-pep-sm-energy-company-sm/&cid=52779690738067&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNH6b8HuTPPSMJB1sBwrIu8HBCWCNA""",3,"""StockNewsJournal"""
"""Nov 10, 2017""","""Sand In My Shoes - Pepsi Is Pouring\u00a0Dividends""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4123313-sand-shoes-pepsi-pouring-dividends&cid=52779670522885&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNFq9vaP_zXJ7SdRKcKXK3hrt4zhNw""",4,"""Seeking Alpha"""
"""10 hours ago""","""Stocks Trend Prediction: McKesson Corporation (MCK), Pepsico, Inc.\u00a0(PEP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/stocks-trend-prediction-mckesson-corporation-mck-pepsico-inc-pep/&cid=52779695642583&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNGvh_U9myzqjDM5czwf1MYsrGyZHg""",Not Reachable,"""Market Movers"""
"""3 hours ago""","""PepsiCo Inc (PEP) Stock Jumps 0.0 Before Market\u00a0Close""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.nystocknews.com/2017/11/30/pepsico-inc-pep-stock-jumps-0-0-before-market-close/&cid=52779698285387&ei=5ZAgWsnANsTg2Aa3y6-YAw&usg=AFQjCNEYb5wG9sh2X1M78_UpxgRJIobsfw""",5,"""NY Stock News"""
