Date,Title,Link,Status,Source
"""Nov 13, 2017""","""Pfizer Inc. is looking to fill 200 new positions in\u00a0Portage""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.mlive.com/news/kalamazoo/index.ssf/2017/11/pfizer_inc_is_looking_to_fill.html&cid=52779674286946&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNEqyAFPz-PlMBem_Nn0gw0bV1Hkiw""",1,"""MLive.com"""
"""Nov 28, 2017""","""UK approves OTC version of Pfizer's Viagra; shares up\u00a01%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314869-uk-approves-otc-version-pfizers-viagra-shares-1-percent&cid=52779694891047&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNHrXWLiRRSjxe3IBtZvnZ4v7JTPwQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 7, 2017""","""Better Buy: Novavax, Inc. vs. Pfizer\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/07/better-buy-novavax-inc-vs-pfizer-inc.aspx&cid=52779665942051&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNH_wuCwR9gFKvsfsLXEvQn8skzU4A""",2,"""Motley Fool"""
"""Nov 17, 2017""","""Why It's Time to Put Pfizer Inc. Stock on Your\u00a0Watchlist""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/why-its-time-to-put-pfizer-on-your-watchlist/&cid=52779678480157&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNFatPcZ1tVBQWfgzEzrK3tsKqSUCg""",3,"""Investorplace.com"""
"""8 hours ago""","""Highstreet Asset Management Inc. Grows Stake in Pfizer Inc.\u00a0(PFE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/highstreet-asset-management-inc-increases-holdings-in-pfizer-inc-pfe.html&cid=52779698022593&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNHn8rHXNEtShUl_U8PcUiVjlOPlRw""",Not Reachable,"""The Ledger Gazette"""
"""10 hours ago""","""Here's What Just Happened With Pfizer Inc.\u00a0(NYSE:PFE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://marketexclusive.com/heres-just-happened-6/2017/11/&cid=52779697822363&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNHyz4pnFhHuoRxSIxY0JHwshnxmoA""",4,"""Market Exclusive"""
"""Nov 1, 2017""","""Pfizer Inc. Stock Earnings Were a Snooze \u2014 But That's\u00a0Good""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/pfizer-inc-stock-earnings-were-a-snooze-but-thats-good/&cid=52779655218751&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNGxyPHxqdgKae-kDY1tnDRwRCUvSg""",5,"""Investorplace.com"""
"""Nov 29, 2017""","""Pfizer Inc. (PFE) Closes 1% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/pfizer-inc-pfe-closes-1-up-on-the-day-for-november-29&cid=52779696276025&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNEfT3lFyEz-QbrpdiZ1nqqBBIzufg""",Not Reachable,"""Equities.com"""
"""Nov 8, 2017""","""Pfizer, Inc. (PFE) Ex-Dividend Date Scheduled for November 09,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-09-2017-cm873709&cid=52779664494638&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNFtKeKpF52A95A9y3ddzImmaYWTMA""",6,"""Nasdaq"""
"""Nov 1, 2017""","""Encycle Therapeutics announces discovery collaboration with Pfizer\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/01/1172159/0/en/Encycle-Therapeutics-announces-discovery-collaboration-with-Pfizer-Inc.html&cid=52779658878116&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNFmU9Jcydat0dqXZK6LnyboN0LvnQ""",7,"""GlobeNewswire (press release)"""
"""Nov 2, 2017""","""Pfizer Inc. May Be About to Turn the Corner With Likely Consumer Unit\u00a0Sale""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/pfizer-may-be-about-to-turn-the-corner/&cid=52779659977467&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNHfJKCuKv-5Ba4glR0aj90FC2LgyQ""",8,"""Investorplace.com"""
"""Nov 29, 2017""","""A Lazarus Act For This Pharma\u00a0ETF""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/trading-ideas/long-ideas/17/11/10794742/a-lazarus-act-for-this-pharma-etf&cid=52779696757990&ei=IZIgWti-J8Tg2Aa3y6-YAw&usg=AFQjCNHpV0Hd5N_jWs8mXcwo8kkhtBKiYw""",9,"""Benzinga"""
