Date,Title,Link,Status,Source
"""Nov 28, 2017""","""P&G commercial resonates with millions who never saw\u00a0it""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/cincinnati/news/2017/11/28/p-g-commercial-resonates-with-millions-who-never.html&cid=0&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNF4tRsIAFZBdkjr3Kewdd70-t-ZAw""",1,"""Cincinnati Business Courier"""
"""Nov 15, 2017""","""The Procter & Gamble Company (PG) Presents at Morgan Stanley Global Consumer\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125135-procter-and-gamble-company-pg-presents-morgan-stanley-global-consumer-and-retail-conference&cid=52779676133466&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNG9TV86LC6nniiZBneS7bjsPTmqiA""",Not Reachable,"""Seeking Alpha"""
"""Nov 28, 2017""","""P&G launches ad campaign featuring former 'SNL'\u00a0star""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/cincinnati/news/2017/11/28/p-g-launches-ad-campaign-featuring-former-snl-star.html&cid=52779694997075&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNGr3P5ZGWuv6RsPw28oCYzRLb9JAA""",2,"""Cincinnati Business Courier"""
"""Nov 29, 2017""","""Procter & Gamble Company (The) (PG) Closes 0.02% Down on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/procter-gamble-company-the-pg-closes-0-02-down-on-the-day-for-november-29&cid=52779694659294&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNFeCtUW3ljkAGqIy4OIIh2x_zEKkQ""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""Nelson Peltz claims victory in Procter & Gamble proxy fight after\u00a0recount""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.wcpo.com/money/local-business-news/nelson-peltz-wins-procter-gamble-proxy-fight-after-recount-sources-tell-cnbc&cid=52779677428495&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNF1PxRQ_XwjDUeb3UmN_HsNyepNJg""",3,"""WCPO"""
"""Nov 20, 2017""","""Earnings Momentum Makes Procter & Gamble Co (PG) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/earnings-momentum-make-procter-gamble-co-pg-a-buy/&cid=52779684123857&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNGe940yc5vlb35vxSW5tnVkQroH5Q""",4,"""Investorplace.com"""
"""Nov 27, 2017""","""EXCLUSIVE: P&G moves 750 workers to downtown\u00a0HQ""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/cincinnati/news/2017/11/27/p-g-moves-750-workers-to-downtown-hq.html&cid=0&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNFTBFVyfFtSYXy15foBPB21PWsKjw""",5,"""Cincinnati Business Courier"""
"""Nov 13, 2017""","""Procter & Gamble Co (PG) a Buy on Robust Earnings\u00a0Momentum""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/procter-gamble-co-pg-a-buy-on-robust-earnings-momentum/&cid=52779675642479&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNGU1zesZo3LjEumnfe2uisEn8vRIQ""",6,"""Investorplace.com"""
"""Nov 29, 2017""","""Procter & Gamble unveils Gillette blitz of better, cheaper\u00a0razors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cincinnati.com/story/money/2017/11/29/procter-gamble-unveils-gillette-blitz-better-cheaper-razors/904511001/&cid=52779696326886&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNEzHIX2eYqUD_KyvHBHYVY0zHajFQ""",7,"""Cincinnati.com"""
"""Nov 22, 2017""","""How Safe Is Procter & Gamble (PG)\u00a0Dividend?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/how-safe-is-procter-gamble-pg-dividend.aspx&cid=52779684946542&ei=VZMgWoDoB5OJjAHVqqioAQ&usg=AFQjCNHL8c3jHsRqC9kkPG58I8myQQM5iA""",8,"""Motley Fool"""
