Date,Title,Link,Status,Source
"""Jul 10, 2009""","""PetroChina Co. Ltd.\u00a0ADR""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.marketwatch.com/investing/stock/ptr&cid=0&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNEbndPLAXJxGuXvwbrOmpOIc1snzQ""",1,"""MarketWatch"""
"""Nov 19, 2017""","""Are Analysts Bearish PetroChina Company Limited (ADR) (NYSE:PTR) After Last\u00a0Week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/are-analysts-bearish-petrochina-company-limited-adr-nyseptr-after-last-week/&cid=52779681187100&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNG043-GHS1pc952-v3sd2kpkKPb4A""",2,"""KL Daily"""
"""Nov 27, 2017""","""SemiLEDs (LEDS) Reaches $5.03 After 6.00% Down Move; PetroChina Company\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/semileds-leds-reaches-5-03-after-6-00-down-move-petrochina-company-limited-adr-ptr-had-4-bulls/&cid=52779693368955&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNGRdfgP06ySUK9O1MTiyQmUmzKytw""",3,"""HuronReport"""
"""Aug 25, 2016""","""Chinese Oil Demand Is 'Looking More Like A Vomiting\u00a0Bear'""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/16/08/8391025/chinese-oil-demand-is-looking-more-like-a-vomiting-bear&cid=52779189942937&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNGwzbMUz4FRqefkwjiusFNgkt3oIg""",4,"""Benzinga"""
"""Dec 12, 2016""","""PetroChina Company Limited (ADR) (PTR): Are Hedge Funds Right About This\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insidermonkey.com/blog/petrochina-company-limited-adr-ptr-are-hedge-funds-right-about-this-stock-505603/&cid=52779303049977&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNEd3eb2PqDuLcULMYz6LewibziAeA""",5,"""Insider Monkey (blog)"""
"""Dec 13, 2015""","""Is PetroChina Company Limited (ADR) (PTR) A Good Stock To\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insidermonkey.com/blog/is-petrochina-company-limited-adr-ptr-a-good-stock-to-buy-400092/&cid=52779007563476&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNHYPSjsUOitZlXxL33s1b8y8f8vgQ""",6,"""Insider Monkey (blog)"""
"""Nov 1, 2017""","""The Case Of PetroChina, The Worst Stock Slump\u00a0Ever""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/markets/commodities/17/11/10263596/the-case-of-petrochina-the-worst-stock-slump-ever&cid=0&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNG9vMzXCc3kY_-sEiYPiQV7f6ql5Q""",7,"""Benzinga"""
"""Aug 20, 2011""","""PetroChina Company Limited Common Stock Quote & Summary\u00a0Data""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/symbol/ptr&cid=0&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNFKlKS3DmYoYENHhVNm_JWtoI-y7w""",8,"""Nasdaq"""
"""Jun 9, 2017""","""PetroChina Company Limited (PTR) Ex-Dividend Date Scheduled for June 12,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/petrochina-company-limited-ptr-ex-dividend-date-scheduled-for-june-12-2017-cm801061&cid=52779524279688&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNH59KRnx_TNCTrCEh64VRKNEH3EYg""",9,"""Nasdaq"""
"""Apr 18, 2016""","""PetroChina Shares Indicated Higher Amid BofA's Upgrade To\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/16/04/7850695/petrochina-shares-indicated-higher-amid-bofas-upgrade-to&cid=52779088979756&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNEByxvM8gm5s71_S5t_UJTG41cagw""",10,"""Benzinga"""
"""Sep 13, 2010""","""CNOOC Ltd.\u00a0ADR""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.marketwatch.com/investing/stock/ceo&cid=0&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNFsRzlbkscdqcFOs2O_7Uk110CgFg""",11,"""MarketWatch"""
"""Nov 6, 2017""","""Sprint (S) Reaches $5.76 1 Year Low; PetroChina Company Limited (ADR) (PTR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/sprint-s-reaches-5-76-1-year-low-petrochina-company-limited-adr-ptr-had-4-bullish-analysts/&cid=52779664855989&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNEOkXk5snMLzKVVhJudTOnubEIrnA""",12,"""HuronReport"""
"""Nov 28, 2017""","""Millennium Management Raised By $6.49 Million Its Petrochina Co LTD (PTR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://normanobserver.com/millennium-management-raised-by-6-49-million-its-petrochina-co-ltd-ptr-holding-merit-medical-systems-mmsi-sellers-decreased-by-18-their-shorts/&cid=52779686046390&ei=rpQgWsGaDITvjAGn54O4Bg&usg=AFQjCNEG_xKuBXiuimOAu0bkjLFJ4nxoiw""",13,"""NormanObserver.com"""
