Date,Title,Link,Status,Source
"""12 hours ago""","""Royal Bank of Canada (RY) Q4 Earnings Impress, Revenues\u00a0Up""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/royal-bank-of-canada-ry-q4-earnings-impress-revenues-up-cm884618&cid=52779696769531&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNF3H6SEVgubEdZZUdb4yH8RQqFxBQ""",1,"""Nasdaq"""
"""Nov 29, 2017""","""Royal Bank of Canada Beats Estimates, But Tech Spending Weighs on\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/royal-bank-of-canada-beats-estimates-as-smaller-units-grow-1511957919&cid=0&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNGr95MB1s3KLhQCPHeOfFHGBADwtg""",2,"""Wall Street Journal"""
"""Nov 29, 2017""","""Royal Bank of Canada's (RY) CEO Dave McKay On Q4 2017 Results - Earnings Call\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128583-royal-bank-canadas-ry-ceo-dave-mckay-q4-2017-results-earnings-call-transcript&cid=52779697406389&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNGNE0-hAhL_G08H-FzbeTktG4Q10Q""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""Royal Bank of Canada joins G-SIB\u00a0ranks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/royal-bank-of-canada-joins-g-sib-ranks/royal-bank-of-canada-joins-g-sib-ranks-idUSL8N1NR34D&cid=52779685358356&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNGrJhMsXOHDdnMlx7JWNfltZufyZg""",3,"""Reuters"""
"""Nov 28, 2017""","""Short seller takes aim at RBC,\u00a0CIBC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bnn.ca/short-seller-takes-aim-at-rbc-cibc-1.928053&cid=52779695134818&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNH8WCBRZcJk9326niJ_JxdfF97DPg""",4,"""BNN"""
"""Nov 29, 2017""","""Royal Bank of Canada Reveals 12% Increase In Q4\u00a0Profit""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/royal-bank-of-canada-reveals-12-increase-in-q4-profit-20171129-00199&cid=0&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNGYuQPYtDGNu3JUlowupeI_XuZqUA""",5,"""Nasdaq"""
"""Nov 29, 2017""","""Tiffany & Co, Royal Bank of Canada, PVH Corp and more -\u00a0PRE-MARKET""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.proactiveinvestors.co.uk/companies/news/187979/tiffany-co-royal-bank-of-canada-pvh-corp-and-more-pre-market-187979.html&cid=52779694644614&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNEQgTV3YEM8kVd7CbxiH1tYlf_MIA""",6,"""Proactive Investors UK"""
"""Nov 10, 2017""","""5 lessons from new technology leaders \u2013 Bruce Ross, Royal Bank of\u00a0Canada""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.itworldcanada.com/article/5-lessons-from-new-technology-leaders-bruce-ross-royal-bank-of-canada/397794&cid=0&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNH_JrqSS3DXp1y9KG7CnFILxZpunw""",7,"""IT World Canada"""
"""8 hours ago""","""There's been a big increase in bonuses at RBC. Especially deferred\u00a0ones""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news.efinancialcareers.com/uk-en/302619/royal-bank-of-canada-salaries-bonuses&cid=0&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNHz_c5bU1dwbjMaXirg5ViEhy9Jbw""",8,"""eFinancialCareers"""
"""Nov 21, 2017""","""Bank of Montreal and Royal Bank of Canada partner with the Creative\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.newswire.ca/news-releases/bank-of-montreal-and-royal-bank-of-canada-partner-with-the-creative-destruction-lab-montreal-659042723.html&cid=52779683604564&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNHK-gDERitwn3MF9iHvh_pdmdt4rw""",9,"""Canada NewsWire (press release)"""
"""Nov 22, 2017""","""Royal Bank of Canada in G-SIB 2017 List, JPMorgan Most\u00a0Risky""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/royal-bank-of-canada-in-g-sib-2017-list-jpmorgan-most-risky-cm881494&cid=52779686125228&ei=V6cgWuGYF9j82AbW_JqIBw&usg=AFQjCNFVMPDldIMLUw4MQ85q6XmClNRXMg""",10,"""Nasdaq"""
