Date,Title,Link,Status,Source
"""Nov 26, 2017""","""Could Banco Santander, SA (ADR) (SAN) Go Down? The Stock Formed Ascending\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kldaily.com/could-banco-santander-s-a-adr-san-go-down-the-stock-formed-ascending-triangle-chart-pattern/&cid=52779689837102&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNHDT3Xr7TnI2D-Xd_qHGHjYxsDtOg""",1,"""KL Daily"""
"""2 hours ago""","""Could Banco Santander, SA (SAN) Recover After Forming a Ascending Triangle\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/could-banco-santander-s-a-san-recover-after-forming-a-ascending-triangle-chart-pattern/&cid=52779695521263&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNGNzHA8I0HeplZBusQNRG1Lpgyzig""",2,"""BZ Weekly"""
"""Nov 21, 2017""","""Banco Santander, SA (ADR) (SAN) Forms Bearish Ascending Triangle Pattern\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kldaily.com/banco-santander-s-a-adr-san-forms-bearish-ascending-triangle-pattern-strong-momentum-for-sellers/&cid=52779685463601&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNH7I8G1_DQGSr_inp9bE1_sVNOS9g""",3,"""KL Daily"""
"""Nov 1, 2017""","""Banco Santander, SA (ADR) (SAN) Could Help Your Portfolio. The Stock Formed\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/banco-santander-s-a-adr-san-could-help-your-portfolio-the-stock-formed-multiple-top-pattern/&cid=52779657672680&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNHMzMXa-alIh1GQieaSNVBPYtDNFA""",4,"""WeeklyHub"""
"""Nov 21, 2017""","""Is Major Move Coming For Banco Santander, SA (ADR) (SAN) After This Bearish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyregister.com/is-major-move-coming-for-banco-santander-s-a-adr-san-after-this-bearish-ascending-triangle-pattern/&cid=52779685196452&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNE7DOzpn5-Z9mUBPbFqHwEfjaJ6Xw""",5,"""Weekly Register"""
"""Nov 6, 2017""","""Banco Santander, SA (ADR) (SAN)'s Bullish Multiple Top Points to Lower Stock\u00a0Risks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/banco-santander-s-a-adr-sans-bullish-multiple-top-points-to-lower-stock-risks/&cid=52779663032551&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNGBH5OSlVsXIp_w-YU1FRqdA68Rjg""",6,"""WeeklyHub"""
"""2 hours ago""","""Could Banco Santander, SA (SAN) See a Reversal After Having Formed Several\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://finnewsdaily.com/could-banco-santander-s-a-san-see-a-reversal-after-having-formed-several-months-ascending-triangle/&cid=52779698618855&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNHa9Ys5WtWmfu79_iJMbtBUmZJKZg""",7,"""Finance News Daily"""
"""Nov 27, 2017""","""Banco Santander, SA (ADR) (SAN) Trades at $6.64 After Triangle; Fiduciary\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/banco-santander-s-a-adr-san-trades-at-6-64-after-triangle-fiduciary-claymore-mlp-opportunity-f-fmo-sellers-increased-by-44-83-their-shorts/&cid=52779693718360&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFreuxPZXuf0l6VXIqzoL8JPTQqCg""",8,"""UtahHerald.com"""
"""Nov 23, 2017""","""How Many Banco Santander, SA (ADR) (NYSE:SAN)'s Analysts Are\u00a0Bullish?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/how-many-banco-santander-s-a-adr-nysesans-analysts-are-bullish/&cid=52779683704391&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFNTKMVA5cWtS5XrQcGPNnvY5CmVg""",9,"""BZ Weekly"""
"""Feb 10, 2017""","""Rating Roundup: Banco Santander, SA (ADR)\u00a0(NYSE:SAN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postregistrar.com/2017/02/10/rating-roundup-banco-santander-s-a-adr-nysesan/&cid=52779375366052&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNGe1t1vqiNcnVgOkTeY0ow416_CYw""",10,"""Post Registrar"""
"""Dec 14, 2016""","""Is Banco Santander, SA (ADR) (SAN) A Good Stock To\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insidermonkey.com/blog/is-banco-santander-s-a-adr-san-a-good-stock-to-buy-497845/&cid=52779303321943&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNERzUYi86-_uKeg2dTHTt-xMCf5XA""",11,"""Insider Monkey (blog)"""
"""Nov 16, 2017""","""Could Banco Santander, SA (ADR) (SAN) Go Down? The Stock Formed Ascending\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://presstelegraph.com/could-banco-santander-s-a-adr-san-go-down-the-stock-formed-ascending-triangle-pattern-2/&cid=52779679093205&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFZ5Y9GjauKl1JKJE41OH5IUROXiw""",12,"""Press Telegraph"""
"""Nov 11, 2017""","""What's Propelling Banco Santander, SA (ADR) (SAN) to Decrease? The Stock\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/whats-propelling-banco-santander-s-a-adr-san-to-decrease-the-stock-formed-a-bearish-ascending-triangle/&cid=52779668890001&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNF1CcJKmHXRd0_nzodvr2nQYCCpXg""",13,"""KL Daily"""
"""Nov 28, 2017""","""Gfs Advisors Trimmed Its Banco Santander Sa (SAN) Stake; Avery Dennison (AVY\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kgazette.com/gfs-advisors-trimmed-its-banco-santander-sa-san-stake-avery-dennison-avy-has-0-97-sentiment/&cid=52779690770523&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFhNbXMsIquA2wk02mEg7Ef8B_TEQ""",14,"""Key Gazette"""
"""Nov 13, 2017""","""Banco Santander, SA (ADR) (SAN) Trades at $6.46 After Triangle; Arcelormittal\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/banco-santander-s-a-adr-san-trades-at-6-46-after-triangle-arcelormittal-sa-luxembourg-mt-shorts-down-by-20-55/&cid=52779674345389&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFctuhgPT5WghCbW8Tpf04woTQmnQ""",15,"""Wolcott Daily"""
"""Nov 16, 2017""","""Can Banco Santander, SA (ADR) (SAN)'s Tomorrow be Different? The Stock Formed\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/can-banco-santander-s-a-adr-sans-tomorrow-be-different-the-stock-formed-a-bearish-ascending-triangle/&cid=52779671557669&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNEkAbvkApiWvWR9C8jnqmZgegNPtA""",16,"""BZ Weekly"""
"""Oct 27, 2017""","""Will Banco Santander, SA (ADR) (SAN) Short Squeeze Soon? The Stock Formed a\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/will-banco-santander-s-a-adr-san-short-squeeze-soon-the-stock-formed-a-bearish-ascending-triangle/&cid=0&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNGJZJvIDgFmugz4EJAFEQvvpAh60Q""",17,"""WeeklyHub"""
"""Nov 23, 2017""","""Loews Increased Its Mts Systems (MTSC) Stake; Last Week Banco Santander, SA\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/loews-increased-its-mts-systems-mtsc-stake-last-week-banco-santander-s-a-adr-san-analysts/&cid=52779683130119&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNEMhjebj1kRvI3Ro1M_ppCyOS746w""",18,"""Wolcott Daily"""
"""Mar 28, 2017""","""Why Snap Inc (SNAP), Goldcorp Inc. (USA) (GG) and Banco Santander Brasil SA\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/03/why-snap-inc-snap-goldcorp-inc-usa-gg-and-banco-santander-brasil-sa-adr-bsbr-are-3-of-todays-worst-stocks/&cid=52779438143063&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFp9_AtKhjFcIBY3XhinquGSlsKsA""",19,"""Investorplace.com"""
"""Nov 15, 2017""","""Homrich & Berg Lifted Trustmark (TRMK) Holding; Banco Santander, SA (ADR) (SAN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/homrich-banco-santander-s-a-adr-san-had-6-bulls/&cid=0&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNFlTm-z1m2--sGLXu-dotpAFRZxiA""",20,"""Wolcott Daily"""
"""Nov 1, 2017""","""Is Major Move Coming For Banco Santander, SA (ADR) (SAN) After This Ascending\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/is-major-move-coming-for-banco-santander-s-a-adr-san-after-this-ascending-triangle-pattern/&cid=52779664781350&ei=GakgWuGzDtGP2AbtzJ6ABA&usg=AFQjCNHbXQ7C54sRzKdv-FvSxHhlrB3C6g""",21,"""BZ Weekly"""
