Date,Title,Link,Status,Source
"""3 hours ago""","""SAP SE (SAP) Could Help Your Portfolio. The Stock Formed Bullish Double Top\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/sap-se-sap-could-help-your-portfolio-the-stock-formed-bullish-double-top-pattern/&cid=52779698291210&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNEmZlzrZn8OJoNVu53vZpRoPKLfFQ""",1,"""WeeklyHub"""
"""Nov 17, 2017""","""Is there a Bearish outlook for SAP SE (ADR) (NYSE:SAP) this\u00a0week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyregister.com/is-there-a-bearish-outlook-for-sap-se-adr-nysesap-this-week/&cid=52779679948253&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNGQOT0zJ86yrz9H94n_sirRerbDiw""",2,"""Weekly Register"""
"""Nov 6, 2017""","""Heska (HSKA) EPS Estimated At $0.38; SAP SE (ADR) (SAP) Had 11 Bullish\u00a0Analysts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/heska-hska-eps-estimated-at-0-38-sap-se-adr-sap-had-11-bullish-analysts/&cid=52779660193854&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNGQj8npUopm3cwn08jE9kib_eBa2w""",3,"""UtahHerald.com"""
"""Nov 22, 2017""","""Zpr Investment Management Cut Cambrex (CBM) Holding; Last Week SAP SE (ADR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://flintdaily.com/zpr-investment-management-cut-cambrex-cbm-holding-last-week-sap-se-adr-sap-analysts/&cid=52779682648223&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNHrM9LmzliWTaDJVtG3kw4dZfypnw""",4,"""FlintDaily.com"""
"""Nov 1, 2017""","""SAP SE (ADR) (SAP) Touches $116.27 High on Nov, 1; Ross Stores (ROST\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://normanobserver.com/sap-se-adr-sap-touches-116-27-high-on-nov-1-ross-stores-rost-sentiment-is-1/&cid=52779656192571&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNHF50bN0Ua9yFc10rIt6_j1FrNcsw""",5,"""NormanObserver.com"""
"""Nov 22, 2017""","""SAP SE (ADR) (SAP) Reaches $113.59 After 5.00% Down Move; Reaves WH & Company\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/sap-se-adr-sap-reaches-113-59-after-5-00-down-move-reaves-w-h-company-lowered-williams-cos-com-wmb-holding-by-12-79-million/&cid=52779686624869&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNGIk2b0CVnhR5SDr7MMpt0mPgmDqQ""",6,"""HuronReport"""
"""Nov 14, 2017""","""Zumiez Inc. (ZUMZ) Reaches $17.65 After 7.00% Down Move; SAP SE (ADR) (SAP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://normanobserver.com/zumiez-inc-zumz-reaches-17-65-after-7-00-down-move-sap-se-adr-sap-covered-by-11-bullish-analysts-last-week/&cid=52779675126023&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNG3eKnoqbln3bMkqLQ9cQqPfgAE3Q""",7,"""NormanObserver.com"""
"""Nov 26, 2017""","""Ativo Capital Management Has Boosted Sap Se Sp Adr (SAP) Holding; Fiduciary\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://santimes.com/ativo-capital-management-has-boosted-sap-se-sp-adr-sap-holding-fiduciary-management-increased-mednax-md-stake/&cid=52779690513919&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNFVoWrX5m2DNG5IY0hbnghMhnKWtA""",8,"""San Times"""
"""Nov 27, 2017""","""3 Pros, 3 Cons for International Business Machines\u00a0Corp.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/pros-cons-international-business-machines-corp/&cid=52779693083344&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNEYeH_CjY1kPt7aX-c3p_CQk13tAA""",9,"""Investorplace.com"""
"""Nov 16, 2017""","""Dorsey Wright & Associates Has Raised Its Sap Se Spon Adr (SAP) Stake; Profile\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/dorsey-wright-profile-of-2-analysts-covering-yamana-gold-inc-tseyri/&cid=52779677132017&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNHlAUrNDbWl9lYFYq_j1cOFOXPhcg""",10,"""Key Gazette"""
"""Nov 1, 2017""","""SAP SE (ADR) (SAP) Reaches $116.17 52-Week High; Juniper Networks (JNPR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/sap-se-adr-sap-reaches-116-17-52-week-high-juniper-networks-jnpr-shorts-increased-by-22-11/&cid=52779656089435&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNG2I3AJovWSvFUEhWZYHL0zY5LTmA""",11,"""HuronReport"""
"""Nov 4, 2017""","""Sap Se Sp Adr (SAP) Holder Ativo Capital Management Raised Its Position by\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/sap-se-sp-adr-sap-holder-ativo-capital-management-raised-its-position-by-892112-as-share-value-rose-as-3m-co-mmm-share-price-rose-univest-of-pennsylvania-has-decreased-its-holding/&cid=52779661071616&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNE2IqpLTMB9AvwSZixYQVc1_Kmzig""",12,"""BZ Weekly"""
"""Nov 24, 2017""","""Contravisory Investment Management Upped By $5.44 Million Its Sap Se (SAP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/contravisory-investment-management-upped-by-5-44-million-its-sap-se-sap-stake-shorts-at-shell-midstream-partners-lp-shlx-raised-by-21-76/&cid=52779689897634&ei=rKkgWpnpBI_LjAHC3anQBA&usg=AFQjCNFCYyR__UVSBrhQQw1XYPZJTfeZKQ""",13,"""HuronReport"""
