Date,Title,Link,Status,Source
"""5 hours ago""","""Should Investors Trim Positions in Antero Resources Corporation (AR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/30/should-investors-trim-positions-in-antero-resources-corporation-ar-schlumberger-limited-slb/&cid=52779698469926&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNHZqZ_CJVMQcAO596yQ7r-E21fOqQ""",1,"""Post Analyst"""
"""Nov 17, 2017""","""Schlumberger: Breaking\u00a0Down""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126120-schlumberger-breaking&cid=0&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNFUVyaTYpFWVlPjm1tuf-TRtkSJRA""",2,"""Seeking Alpha"""
"""6 hours ago""","""The Bear Case for Schlumberger Limited\u00a0(SLB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/30/the-bear-case-for-schlumberger-limited-slb-3/&cid=52779697530078&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNGUaCb9CRijncd71z-Tl9rKVmcS5Q""",3,"""Economic News"""
"""Nov 2, 2017""","""Oil Is Strong but Schlumberger Limited\u00a0Stinks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/oil-is-strong-schlumberger-ltd-slb-stock-stinks/&cid=52779658820965&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNEl8wgug-PwQVx6qlG-pilnoNe27A""",4,"""Investorplace.com"""
"""10 hours ago""","""You can't brush off the outlook: Schlumberger Limited (SLB), United States\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/you-cant-brush-off-the-outlook-schlumberger-limited-slb-united-states-steel-corporation-x/&cid=52779695492123&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNFMRXTCOOgdBWdtKhwdqFIe6c580A""",5,"""Market Movers"""
"""11 hours ago""","""Valuing 2 Stocks Using Ratios and Multiples: Tahoe Resources Inc. (TAHO\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/valuing-2-stocks-using-ratios-and-multiples-tahoe-resources-inc-taho-schlumberger-limited-slb/&cid=52779696415005&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNHjXQj4QE_9MR8XtTCLYm2clSFJ0w""",6,"""AllStockNews"""
"""9 hours ago""","""Schlumberger Limited (SLB)- Stocks Gaining\u00a0Momentum""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://nasdaqtimes.com/schlumberger-limited-slb-stocks-gaining-momentum-2/&cid=52779696346996&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNE20rTJ8k5MU6K2KRW-S917cQrcjw""",7,"""NASDAQ Times"""
"""4 hours ago""","""Diving into the Valuation Scores for Schlumberger Limited\u00a0(NYSE:SLB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/diving-into-the-valuation-scores-for-schlumberger-limited-nyseslb/&cid=52779695168326&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNFvmV16nIOZo_q8Z6G-4BEF7ibdbg""",8,"""Concord Register"""
"""Nov 27, 2017""","""Do What Institutional Investors Does: CVS Health Corporation (CVS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/27/do-what-institutional-investors-does-cvs-health-corporation-cvs-schlumberger-limited-slb/&cid=52779692471650&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNFv7LlPcklQULfd5laHvP41iQiE-w""",9,"""Market Movers"""
"""Nov 29, 2017""","""Most Shocking Stock Movements: PayPal Holdings, Inc. (PYPL), Schlumberger\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/most-shocking-stock-movements-paypal-holdings-inc-pypl-schlumberger-limited-slb/&cid=52779695789444&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNHUyypXN4BaW8w4Gf2BQ5FRIL2yFw""",10,"""Market Movers"""
"""Nov 27, 2017""","""Stocks Views And Recommendations: Schlumberger Limited (SLB), American\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/27/stocks-views-and-recommendations-schlumberger-limited-slb-american-international-group-inc-aig/&cid=52779690412559&ei=MKogWum_F5OJjAHVqqioAQ&usg=AFQjCNH8x1cm2Zr86DjvpJPzVfj0GUJaDA""",11,"""AllStockNews"""
