Date,Title,Link,Status,Source
"""Nov 23, 2017""","""Analysts are on the Bearish side about China Petroleum & Chemical Corp (ADR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/analysts-are-on-the-bearish-side-about-china-petroleum-chemical-corp-adr-nysesnp-this-week/&cid=52779687201655&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNHkfsrNynqGvxrWL6PLvYGut36Ksg""",1,"""WeeklyHub"""
"""Nov 24, 2017""","""Arrowstreet Capital Limited Partnership Increased China Pete & Chem Corp (NYSE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/arrowstreet-capital-limited-partnership-increased-china-pete-chem-corp-nysesnp-stake-by-23-80-million/&cid=52779688519041&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNFjEtdP34nBXeUFmLZWRW1HZDa_ug""",2,"""BZ Weekly"""
"""Apr 25, 2017""","""China Petroleum & Chemical Corporation Files 2016 Annual Report on Form\u00a020-F""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/china-petroleum--chemical-corporation-files-2016-annual-report-on-form-20-f-300445111.html&cid=52779471011490&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNGkq3l7oomgMKOFZcrzGpOfz5jSwA""",3,"""PR Newswire (press release)"""
"""Oct 29, 2017""","""Were Analysts Bullish China Petroleum & Chemical Corp (ADR) (NYSE:SNP) This\u00a0Week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finnewsdaily.com/were-analysts-bullish-china-petroleum-chemical-corp-adr-nysesnp-this-week/&cid=52779654176907&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNGOZmbm_kD7vLfhG18MrVtvtNAy0w""",4,"""Finance News Daily"""
"""Nov 7, 2017""","""Titanium Transportation Group (TTR) EPS Estimated At $0.01; China Petroleum\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/titanium-transportation-group-ttr-eps-estimated-at-0-01-china-petroleum-chemical-adr-snp-had-2-analysts-last-week/&cid=52779660225546&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNGuxxajUvMnjeHe8oIKELckGUCKgA""",5,"""UtahHerald.com"""
"""Nov 27, 2017""","""Locust Wood Capital Advisers Has Raised Jpmorgan Chase & Co (JPM) Position By\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/locust-wood-capital-advisers-has-raised-jpmorgan-chase-old-national-bancorp-has-boosted-china-pete-chem-snp-stake-by-434304/&cid=52779693096945&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNHpCClUtKdBXh6dEzP0HyvSUTnSaw""",6,"""UtahHerald.com"""
"""Nov 15, 2017""","""Zweig-Dimenna Associates Raised Its Tesla (TSLA) Stake; China Petroleum\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.mmahotstuff.com/2017/11/15/zweig-dimenna-associates-raised-its-tesla-tsla-stake-china-petroleum-chemical-adr-snp-covered-by-2-bullish-analysts-last-week.html&cid=52779676350733&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNHAaZYPeaKBWKXf0fd6uDypPTyrig""",7,"""MoneyMakingArticles"""
"""Nov 28, 2017""","""Hilton Worldwide Holdings (HLT) Reaches $76.15 High on Nov, 28; China\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bibeypost.com/hilton-worldwide-holdings-hlt-reaches-76-15-high-on-nov-28-china-petroleum-chemical-adr-snp-had-2-bulls/&cid=52779687367200&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNEl9Vi0FX0K1C9Ke1i4TT0PYJihng""",8,"""Bibeypost.com"""
"""Nov 23, 2017""","""Causeway Capital Management Trimmed By $475800 Its China Pete & Chem (SNP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/causeway-capital-management-trimmed-by-475800-its-china-pete-klingenstein-fields-co-has-lowered-its-illinois-tool-works-itw-position/&cid=52779687099530&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNFu9O04RhJ8hz0-BZLr22KlXmN5CA""",9,"""Wolcott Daily"""
"""Nov 23, 2017""","""Ferguson Wellman Capital Management Has Boosted Its Bank Of Nova Scotia (BNS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.mmahotstuff.com/2017/11/23/ferguson-wellman-capital-management-has-boosted-its-bank-of-nova-scotia-bns-holding-2-analysts-covering-china-petroleum-chemical-adr-snp.html&cid=52779685317866&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNHIbdYg4REJDts8zHrv8wT3w2q8ug""",10,"""MoneyMakingArticles"""
"""Nov 28, 2017""","""China Petroleum & Chemical (NYSE:SNP) Earns Coverage Optimism Rating of\u00a00.08""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.truebluetribune.com/2017/11/28/super-nova-minerals-corp-snp-earning-somewhat-favorable-news-coverage-analysis-shows-2.html&cid=52779694247234&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNEMG9_Sv1hlX597wR6FytivrgqsyQ""",Not Reachable,"""TrueBlueTribune"""
"""Sep 1, 2017""","""China Petroleum & Chemical Breaks Above 200-Day Moving Average - Bullish for\u00a0SNP""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/china-petroleum-chemical-breaks-above-200-day-moving-average-bullish-for-snp-cm840356&cid=52779595543329&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNGG74dQ5qojkgLInNVkmZAat-p66A""",11,"""Nasdaq"""
"""Oct 29, 2017""","""Trump Goes to China With Plenty of\u00a0Backup""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://247wallst.com/economy/2017/10/29/trump-goes-to-china-with-plenty-of-backup/&cid=52779658254909&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNFauTFKfoHEJrS-yYF8NMMeo3IzHA""",12,"""24/7 Wall St."""
"""Nov 11, 2017""","""Fairfield Bush & Company Trimmed By $356400 Its Csx Corp. (CSX) Position\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.mmahotstuff.com/2017/11/11/fairfield-bush-profile-of-2-analysts-covering-china-petroleum-chemical-adr-snp.html&cid=52779667392985&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNE-hKRYSe8Xv4oxZIts-bF_81uePQ""",13,"""MoneyMakingArticles"""
"""Nov 25, 2017""","""Sheets Smith Wealth Management Has Upped Stericycle (SRCL) Position By $684000\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/sheets-smith-wealth-management-has-upped-stericycle-srcl-position-by-684000-meritage-portfolio-management-has-boosted-by-2-61-million-its-china-petroleum-chemical-cor-snp-stake/&cid=52779688469177&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNH4gBrIHpR1adG3BQyf1WOVplpP7A""",14,"""Wolcott Daily"""
"""Oct 30, 2017""","""Sinopec Corp's Net Profit for 9M 2017 Surges More Than 30%\u00a0YoY""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://markets.businessinsider.com/news/stocks/Sinopec-Corp-s-Net-Profit-for-9M-2017-Surges-More-Than-30-Y-o-Y-1006180915&cid=52779656450361&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNH9nGwxSNat0vafQ2IWFNve58_7lg""",15,"""Markets Insider"""
"""Nov 19, 2017""","""Roystone Capital Management LP Has Lowered Fidelity National Financial (FNF\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/roystone-capital-management-lp-has-lowered-fidelity-national-financial-fnf-position-by-40-80-million-china-petroleum-chemical-adr-snp-covered-by-2-bullish-analysts-last-week/&cid=52779676505320&ei=saogWqGMMI7ijAGO95OIBQ&usg=AFQjCNHNfa6kzLZrDDbBborx0ExKsYPMgA""",16,"""HuronReport"""
