Date,Title,Link,Status,Source
"""Dec 9, 2016""","""Think Sanofi SA (ADR) (SNY) Stock When You Think Big\u00a0Pharma""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2016/12/sanofi-sa-adr-sny-stock-pharma/&cid=52779297126756&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNFiKrMzf2hV_t8iN5nJ10XQVBcMzw""",1,"""Investorplace.com"""
"""Jun 15, 2017""","""Sanofi SA (ADR) (NYSE:SNY) And Regeneron Pharmaceuticals Inc (NASDAQ:REGN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.journaltranscript.com/2017/06/sanofi-sa-adr-nysesny-and-regeneron-pharmaceuticals-inc-nasdaqregn-request-court-to-lift-ban-on-cholesterol-drug/&cid=52779529901854&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNGzFTDK0KnqM2jOweobxZVDqXNNiw""",Not Reachable,"""Journal Transcript"""
"""Nov 19, 2017""","""Sanofi SA (ADR) (SNY) Formed a Bullish Multiple Top, Could Be One of The Best\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/sanofi-sa-adr-sny-formed-a-bullish-multiple-top-could-be-one-of-the-best-performers-soon/&cid=52779682100731&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNHA0Gv3-LDyG2fzycb3Kq1xC5ujDg""",2,"""WeeklyHub"""
"""Nov 14, 2017""","""Sanofi SA (ADR) (SNY) Stock Faces Lower Risks Forward After Forming Bullish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/sanofi-sa-adr-sny-stock-faces-lower-risks-forward-after-forming-bullish-multiple-top-chart-pattern/&cid=52779674363303&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNFDIQJcoF3qVgg7NrfNuSPBVKf96Q""",3,"""BZ Weekly"""
"""Sep 1, 2017""","""The Pullback In Sanofi Is A Buying Opportunity, Says\u00a0Argus""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/09/10006824/the-pullback-in-sanofi-is-a-buying-opportunity-says-arg&cid=52779595543873&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNET3QDZ-SzyeKEjbugikcs1Xw6uZw""",4,"""Benzinga"""
"""Nov 2, 2017""","""Healthcare stock to watch: Sanofi SA (ADR)(NYSE:\u00a0SNY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://fxdailyreport.com/healthcare-stock-watch-sanofi-sa-adrnyse-sny/&cid=0&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNGNwMpNk62ECRkZ9AUNJpXBvVd7aw""",Not Reachable,"""FX Daily Report"""
"""Nov 18, 2017""","""Sanofi SA (ADR) (SNY) At $44.54 Forms Top; 2 Analysts Bullish Akzo Nobel NV\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/sanofi-sa-adr-sny-at-44-54-forms-top-2-analysts-bullish-akzo-nobel-n-v-adr-akzoy/&cid=52779680032332&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNFqeoRw1LIHNV1o9R9dEbV3DBBaPQ""",5,"""Wolcott Daily"""
"""Nov 26, 2017""","""Sio Capital Management LLC Decreased Sanofi Sa (SNY) Stake as Share Value\u00a0Rose""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/sio-capital-management-llc-decreased-sanofi-sa-sny-stake-as-share-value-rose/&cid=52779687847028&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNHu9VuyfYDKaPLrVG1ICrHz3oZOiw""",6,"""BZ Weekly"""
"""Nov 15, 2017""","""FMC (FMC) Forms $91.86 Double Top; Sanofi SA (ADR) (SNY) Had 3 Bullish\u00a0Analysts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/fmc-fmc-forms-91-86-double-top-sanofi-sa-adr-sny-had-3-bullish-analysts/&cid=52779677546304&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNHDKKHb6yzGcrofh37WfP_jjiitmA""",7,"""UtahHerald.com"""
"""Nov 10, 2017""","""Here's What Sanofi Is Trying to Do In MS With the Latest\u00a0Deal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/heres-what-sanofi-is-trying-to-do-in-ms-with-the-latest-deal&cid=52779669974318&ei=y6sgWvCtKtGP2AbtzJ6ABA&usg=AFQjCNHdI4Pf2C7vOxyByodGf9XmOhf5BQ""",Not Reachable,"""Equities.com"""
