Date,Title,Link,Status,Source
"""Nov 28, 2017""","""AT&T Says Turner Pledge to Not 'Go Dark' Resolves US\u00a0Concerns""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-28/at-t-files-answer-to-u-s-antitrust-complaint-in-federal-court&cid=52779692307168&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHq7yqJNZSuRNLrB_lgYTDfWvwlrQ""",1,"""Bloomberg"""
"""Nov 29, 2017""","""AT&T Inc. Announces Expiration Of Its Exchange\u00a0Offers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/att-inc-announces-expiration-of-its-exchange-offers-300563556.html&cid=52779696114038&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNEAXOGacYzC29w1jgxI5dOqTs1LUQ""",2,"""PR Newswire (press release)"""
"""18 hours ago""","""AT&T-Time Warner Will Close; Time Warner Is Valuable\u00a0Regardless""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128634-t-time-warner-will-close-time-warner-valuable-regardless&cid=52779697427575&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNFIko71azBRHEnFvtTM5DDjv6Lt5w""",3,"""Seeking Alpha"""
"""Nov 22, 2017""","""USV AT&T Inc., Time Warner\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127238-u-s-v-t-inc-time-warner-inc&cid=52779686668877&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNFNubdwbuc_UyVzQeLKCkhtyrXmqw""",4,"""Seeking Alpha"""
"""8 hours ago""","""Ohio opts in to AT&T's FirstNet public safety\u00a0network""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315458-ohio-opts-and-ts-firstnet-public-safety-network&cid=52779697543691&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNEmdGpi5wT1TZ_A_ZB26l_Gt8EOQA""",5,"""Seeking Alpha"""
"""Nov 28, 2017""","""Avoid AT&T Baby Bonds And Other Long-Dated\u00a0Issues""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128049-avoid-and-t-baby-bonds-long-dated-issues&cid=0&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHHJytit1mX1MAB8j25JshPi27ysA""",6,"""Seeking Alpha"""
"""Nov 21, 2017""","""AT&T-Time Warner Deal Will Sail Through, Analysts\u00a0Say""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://money.usnews.com/investing/stock-market-news/articles/2017-11-21/at-t-inc-t-time-warner-twx-stock&cid=52779684978795&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHMutMBHlxN-a_mPKNxDfTCCEo6Lg""",Not Reachable,"""U.S. News & World Report"""
"""Nov 29, 2017""","""AT&T to Webcast Presentation by David Christopher at Barclays Conference on\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171129005021/en/ATT-Webcast-Presentation-David-Christopher-Barclays-Conference&cid=52779696423732&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHxLWKACi8ICHd5BOPLCFvNO8YuOg""",7,"""Business Wire (press release)"""
"""10 hours ago""","""AT&T and Amazon Web Services Boost Internet of\u00a0Things""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/att-and-amazon-web-services-boost-internet-of-things-300564382.html&cid=52779692635667&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNFFFDm6bYly91paHajAIPMVVinPLw""",8,"""PR Newswire (press release)"""
"""Nov 20, 2017""","""US sues to stop AT&T buying Time Warner, says would hike\u00a0rates""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-time-warner-m-a-at-t/u-s-to-sue-to-stop-att-from-buying-time-warner-source-idUSKBN1DK2HN&cid=52779682850137&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNGHnW9L1zKACYGmqd7YjZTjiPeH9w""",9,"""Reuters"""
"""Nov 29, 2017""","""AT&T: Seven-year blackout ban shows willingness to\u00a0concede""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315219-t-seven-year-blackout-ban-shows-willingness-concede&cid=52779696807053&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNH-4-uEpxzEVbuAysuydzWLptmLxQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""AT&T-Time Warner court case\u00a0timeline""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314952-t-time-warner-court-case-timeline&cid=0&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNGcZYwwsmXXBwqtHGdwYnD3e0zTEw""",Not Reachable,"""Seeking Alpha"""
"""Nov 16, 2017""","""AT&T Inc. Announces Results Of Early Tenders In Exchange\u00a0Offers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/att-inc-announces-results-of-early-tenders-in-exchange-offers-300557491.html&cid=52779677897376&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHG6COerSVOB2vVt2bM3L_7Srl8QA""",10,"""PR Newswire (press release)"""
"""15 hours ago""","""Voip-Pal.com, Inc. Provides Strategic Update Following its IPR Validations vs\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/30/1211783/0/en/Voip-Pal-com-Inc-Provides-Strategic-Update-Following-its-IPR-Validations-vs-Apple-and-AT-T.html&cid=52779697737039&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNEQeIxaKHCK4sH1yAVikUXpkXbTFw""",11,"""GlobeNewswire (press release)"""
"""Nov 15, 2017""","""AT&T: Hold Your Nose And\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125155-t-hold-nose-buy&cid=0&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHlgpn5oHfTYeLsK98Xt9RCPQMqsA""",Not Reachable,"""Seeking Alpha"""
"""12 hours ago""","""Earnings Clues on AT&T Inc. (T), Voya Financial, Inc. (VOYA) Analyst's\u00a0Predictions""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/earnings-clues-on-att-inc-t-voya-financial-inc-voya-analysts-predictions/&cid=52779697779926&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHt3eVDmV-vk-2skB3NJ7H7sSmYMA""",12,"""StockNewsJournal"""
"""Nov 9, 2017""","""Is the Trump Administration Retaliating Against\u00a0CNN?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-09/at-t-inc-t-time-warner-twx-cnn-merger&cid=52779668247064&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHnMZrfK-6kbqGcT13u8ADPsSDI8A""",Not Reachable,"""U.S. News & World Report"""
"""Nov 21, 2017""","""Addressing AT&T's Consumer Wireless Revenue\u00a0Problems""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126815-addressing-and-ts-consumer-wireless-revenue-problems&cid=0&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNE43uedzfEekemDLsOv1YYyjsDeqw""",Not Reachable,"""Seeking Alpha"""
"""Nov 2, 2017""","""What Does Time Warner Inc Drama Mean For AT&T\u00a0Inc.?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/does-time-warner-inc-drama-173617066.html&cid=52779660195718&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNFXhTe4IkZVPWqAuFaeMlAPUYXPYA""",13,"""Yahoo News"""
"""Nov 24, 2017""","""Multimedia Weekly Digest: AT&T/Time Warner Merger And Black\u00a0Friday""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127414-multimedia-weekly-digest-t-time-warner-merger-black-friday&cid=0&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHH1LvQuX5ub_slnIvAqkdQuseZRQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 3, 2017""","""AT&T: The End Is\u00a0Here""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119983-t-end&cid=52779661691622&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNFwnH-WFUUOFUWCs0LAsvLHfL0Iig""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""AT&T underwrites industry matchmaker job at new SA tech high\u00a0school""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/sanantonio/news/2017/11/27/at-t-underwrites-industry-matchmaker-job-at-new-sa.html&cid=52779693675120&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNGP3g_D6Hk-46jH3wb1aqs9W6wT4A""",14,"""San Antonio Business Journal"""
"""Nov 27, 2017""","""Drilling Down Into AT&T Inc.\u00a0(T)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/drilling-down-into-att-inc-t-4/&cid=52779693696153&ei=1KsgWtmdMpCYjAHh6anQCA&usg=AFQjCNHtsBekFu-WUvv7SrXGDINK7Jb9Xw""",15,"""StockNewsJournal"""
