Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Toronto-Dominion Bank (TD) a Buy on Healthy Earnings\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/toronto-dominion-bank-td-a-buy-on-healthy-earnings-growth/&cid=52779694749808&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNEoPkWkWr_Nac5wuxEGNz9Je3BM0w""",1,"""Investorplace.com"""
"""9 hours ago""","""TSX up as energy stocks rally; TD Bank hit by earnings\u00a0miss""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-canada-stocks/tsx-up-as-energy-stocks-rally-td-bank-hit-by-earnings-miss-idUSKBN1DU1QI%3Fil%3D0&cid=52779697041082&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNGnhTVRCqnRLu-fXJMVxCeKC6QoOg""",2,"""Reuters"""
"""Nov 29, 2017""","""TD Bank Names Nick Miceli as Regional President,\u00a0Florida""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/td-bank-names-nick-miceli-as-regional-president-florida-300563680.html&cid=52779696560509&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNFoL4iBcycVEsWSqo-_MHT1P9DQBw""",3,"""PR Newswire (press release)"""
"""8 hours ago""","""At midday: TSX up as energy stocks rally; TD drops on earnings\u00a0miss""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.theglobeandmail.com/globe-investor/inside-the-market/market-updates/at-midday-tsx-up-as-energy-stocks-rally-td-hit-by-earnings-miss/article37137937/&cid=52779691713143&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNFMPak1pHfdNckpkV4p1eDkT4VMWA""",4,"""The Globe and Mail"""
"""Nov 7, 2017""","""TD Bank Announces Redemption of 5.763% Subordinated\u00a0Debentures""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.newswire.ca/news-releases/td-bank-announces-redemption-of-5763-subordinated-debentures-655935473.html&cid=52779664734032&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNG9I2R7a6Neh-ks8ZnLHV2A5TV63A""",5,"""Canada NewsWire (press release)"""
"""Nov 21, 2017""","""Strong Earnings Growth Keep Toronto-Dominion Bank (TD) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/strong-earnings-growth-keep-toronto-dominion-bank-td-a-buy/&cid=52779685283414&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNHhWTzzpfOPQLAnP_Y4wDG22cvO0g""",6,"""Investorplace.com"""
"""Nov 14, 2017""","""Toronto-Dominion Bank (TD) a Buy on Robust Earnings\u00a0Visibility""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/toronto-dominion-bank-td-a-buy-on-robust-earnings-visibility/&cid=52779676656377&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNF_iRjW0u7kJkTwT-4HJeeuQSsLfw""",7,"""Investorplace.com"""
"""Nov 28, 2017""","""TD Bank awards $100K grant to Housing Vermont for home\u00a0ownership""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.vermontbiz.com/news/2017/november/28/td-bank-awards-100k-grant-housing-vermont-home-ownership&cid=52779695284396&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNFFFEDz8E15r1x7Anu8qHx09RlkGg""",8,"""Vermont Biz"""
"""Nov 7, 2017""","""Earnings Momentum Make Toronto-Dominion Bank (TD) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/earnings-momentum-make-toronto-dominion-bank-td-a-buy/&cid=52779666902215&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNEdls2NxTRldK2D81gAaVkPjGFVKA""",9,"""Investorplace.com"""
"""10 hours ago""","""Toronto Dominion Bank Boosts Position in Alliant Energy Corporation\u00a0(NYSE:LNT)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/toronto-dominion-bank-has-3-64-million-position-in-alliant-energy-corporation-lnt.html&cid=52779686220850&ei=lqwgWuHcKszRjAHNnI-wDw&usg=AFQjCNEXVa8rV9IdLIEg0LMYs6-8CQz2lQ""",Not Reachable,"""The Ledger Gazette"""
