Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Schafer Cullen Capital Management Raised Position in Total Sa (Adr) (TOT) as\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/schafer-cullen-capital-management-raised-position-in-total-sa-adr-tot-as-shares-rose-excalibur-management-has-lifted-ford-motor-co-f-stake-by-326931/&cid=52779694524417&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNEgFFTLSpf0yVUSDcKHaOwJz6YiNA""",1,"""BZ Weekly"""
"""Nov 28, 2017""","""Total SA (TOT) Holder Alpha Cubed Investments LLC Lowered Holding by $6.08\u00a0Million""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/total-s-a-tot-holder-alpha-cubed-investments-llc-lowered-holding-by-6-08-million/&cid=0&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNEIMOXK4DrXU9hCyrxBx8pNNm9uqw""",2,"""WeeklyHub"""
"""Nov 27, 2017""","""Statoil Acquires Stakes in 2 Total North Sea\u00a0Projects""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://247wallst.com/energy-business/2017/11/27/statoil-acquires-stakes-in-2-total-north-sea-projects/&cid=52779692861924&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNGDAXvYCmUtyNQwE9EfvoEFeqO37g""",3,"""24/7 Wall St."""
"""Nov 24, 2017""","""Trust Co Of Vermont Has Decreased Its Total SA Adr (TOT) Holding; Ritchie\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/trust-co-of-vermont-has-decreased-its-total-s-a-adr-tot-holding-ritchie-brothers-auctioneers-rba-shorts-increased-by-0-09/&cid=52779685727165&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNFpZ3zszTVbx83F8drwa7FthsX7Eg""",4,"""UtahHerald.com"""
"""Nov 22, 2017""","""Total SA (ADR) (TOT) Reaches $55.96 After 8.00% Up Move; 7 Analysts Bullish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/total-sa-adr-tot-reaches-55-96-after-8-00-up-move-7-analysts-bullish-unite-group-plc-lonutg/&cid=0&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNHkmU5yBx3ast-r7HtSA_TrlBTpew""",5,"""UtahHerald.com"""
"""Nov 28, 2017""","""As Total SA (TOT) Market Valuation Rose, Alpha Cubed Investments LLC Lowered\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/as-total-s-a-tot-market-valuation-rose-alpha-cubed-investments-llc-lowered-stake-by-6-08-million/&cid=52779695355623&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNEMSOMUI8B3Ug4TOSOibMrdD7wejQ""",6,"""BZ Weekly"""
"""Nov 16, 2017""","""Here's how analysts see Total SA (ADR) (NYSE:TOT) after this past\u00a0week.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyregister.com/heres-how-analysts-see-total-sa-adr-nysetot-after-this-past-week/&cid=52779678711459&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNFLxw5NxO3gEMl433PhEE7b3i5yzQ""",7,"""Weekly Register"""
"""Nov 27, 2017""","""As Total SA (Call) (TOT) Market Valuation Rose, Arrowgrass Capital Partners\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/as-total-s-a-call-tot-market-valuation-rose-arrowgrass-capital-partners-llp-trimmed-its-stake-by-13-14-million/&cid=52779692466595&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNF0WEBlg2mqg07jS8drAGN-4pH7zQ""",8,"""BZ Weekly"""
"""Nov 26, 2017""","""Corda Investment Management Has Increased Its Position in Total SA Sponsored\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/corda-investment-management-has-increased-its-position-in-total-s-a-sponsored-adr-tot-by-351722-as-stock-value-rose-as-corning-glw-stock-rose-qci-asset-management-has-trimmed-by-424020-its-s/&cid=52779688887383&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNGmrG6Pzclot3lTNYJkEMAEWHYlYA""",9,"""BZ Weekly"""
"""Nov 5, 2017""","""Karp Capital Management Lowered Halliburton (HAL) Holding; Last Week Total SA\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/karp-capital-management-lowered-halliburton-hal-holding-last-week-total-sa-adr-tot-coverage/&cid=52779662671256&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNEybIGCzFiEvVTiMOB2LlzjHiF58A""",10,"""Wolcott Daily"""
"""8 hours ago""","""Shares Seesawing on Volume: Azul SA ADR\u00a0(AZUL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stockpressdaily.com/shares-seesawing-on-volume-azul-s-a-adr-azul/&cid=52779696911737&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNGNFAE8sQFyBY9WpzhcKFtVeIOscg""",11,"""Stock Press Daily"""
"""Nov 25, 2017""","""Trust Company Raised Total SA (TOT) Stake By $316540; Comtech\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/trust-company-raised-total-s-a-tot-stake-by-316540-comtech-telecommunications-cmtls-sentiment-is-1-84/&cid=52779689416961&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNH9CvKr-RaUc2ynvXG4rHCer0g9Rw""",12,"""UtahHerald.com"""
"""Nov 6, 2017""","""Total SA (ADR) (TOT) Reaches $56.63 52-Week High; 6 Analysts Bullish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/total-sa-adr-tot-reaches-56-63-52-week-high-6-analysts-bullish-commercial-metals-company-cmc/&cid=52779657420956&ei=y68gWsH_FNTa2AaJ143ABw&usg=AFQjCNG_potfHKs2001M32iZqqw9KUMvyQ""",13,"""Key Gazette"""
