Date,Title,Link,Status,Source
"""Nov 17, 2017""","""Hermes Investment Management LTD Stake in Taiwan Semiconductor Mfg LTD (TSM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/hermes-investment-management-ltd-stake-in-taiwan-semiconductor-mfg-ltd-tsm-has-increased-by-4-67-million/&cid=52779678566522&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNEEoJDpU_jowNzyeEsYVnB9rcGa9w""",1,"""WeeklyHub"""
"""Nov 21, 2017""","""What's Next for Taiwan Semiconductor Mfg. Co. Ltd. (ADR) (TSM) After Reaching\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/whats-next-for-taiwan-semiconductor-mfg-co-ltd-adr-tsm-after-reaching-52-week-high/&cid=52779683662500&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNEWN-Xx4PDoCycpGh15wHNL5t7ncg""",2,"""WeeklyHub"""
"""Nov 16, 2017""","""Veritas Investment Management Uk Ltd Increased Taiwan Semiconductor (NYSE:TSM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/veritas-investment-management-uk-ltd-increased-taiwan-semiconductor-nysetsm-stake-by-10-15-million/&cid=52779671681628&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNFi6j7qt1o97SwFcSYtM2tMaBwdFw""",3,"""WeeklyHub"""
"""Nov 26, 2017""","""Will Taiwan Semiconductor Mfg. Co. Ltd. (ADR) (TSM) Run Out of Steam\u00a0Soon?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://presstelegraph.com/will-taiwan-semiconductor-mfg-co-ltd-adr-tsm-run-out-of-steam-soon/&cid=0&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNG21CP8iylE9mD0wiKMzeFYcTIIQA""",4,"""Press Telegraph"""
"""Nov 1, 2017""","""As Taiwan Semiconductor Mfg LTD (TSM) Stock Price Rose, Sanders Capital LLC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/as-taiwan-semiconductor-mfg-ltd-tsm-stock-price-rose-sanders-capital-llc-boosted-by-32-40-million-its-holding/&cid=0&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNEAtW9S9u3z7wIHwmsUTN-HmodxqQ""",5,"""WeeklyHub"""
"""Nov 10, 2017""","""Veritas Asset Management Llp Lowered Its Taiwan Semiconductor (TSM) Holding by\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/veritas-asset-management-llp-lowered-its-taiwan-semiconductor-tsm-holding-by-387-61-million-shares-rose/&cid=52779665166122&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGs9LgFyKErPTXthTeDF9KFTij2DQ""",6,"""WeeklyHub"""
"""Nov 27, 2017""","""Clear Harbor Asset Management Has Lowered Taiwan Semiconductor Mfg LTD (TSM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/clear-harbor-asset-management-has-lowered-taiwan-semiconductor-mfg-ltd-tsm-holding-as-shares-rose-johnson-and-johnson-com-jnj-shareholder-harvey-investment-co-has-lowered-its-stake-as-market-val/&cid=52779693126093&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNEHoWB9ElGj81g7Yo6BQ3KtwpLSZA""",7,"""BZ Weekly"""
"""Nov 28, 2017""","""Why MFS Emerging Markets Equity A (MEMAX) Worth Another\u00a0Look?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/why-mfs-emerging-markets-equity-a-memax-worth-another-look-cm883223&cid=52779694724533&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGyS9Bjmm_zz4FBedXsg2tktCJY9Q""",8,"""Nasdaq"""
"""Nov 5, 2017""","""Keywise Capital Management LTD Holding in Taiwan Semiconductor Mfg LTD (TSM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/keywise-capital-management-ltd-holding-in-taiwan-semiconductor-mfg-ltd-tsm-decreased-as-shares-rose/&cid=52779657939017&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGZimdW1ngsrfoaYJrNqL6H0M-I0g""",9,"""BZ Weekly"""
"""Nov 1, 2017""","""How Many Taiwan Semiconductor Mfg. Co. Ltd. (ADR) (NYSE:TSM)'s Analysts Are\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/how-many-taiwan-semiconductor-mfg-co-ltd-adr-nysetsms-analysts-are-bullish/&cid=0&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNH3yOB7TUVe1Cd7MbrQ3rZ0WrTwjQ""",10,"""KL Daily"""
"""Nov 1, 2017""","""Taiwan Semiconductor Mfg LTD (TSM) Stake Held by Wcm Investment\u00a0Management""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/taiwan-semiconductor-mfg-ltd-tsm-stake-held-by-wcm-investment-management/&cid=0&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNEu8fH8aOzfQE5ajMtakX95VSZolA""",11,"""BZ Weekly"""
"""Nov 25, 2017""","""Forward Management Lowered Taiwan Semiconductor Mfg LTD (TSM) Stake by $613836\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/forward-management-lowered-taiwan-semiconductor-mfg-ltd-tsm-stake-by-613836-stock-rose-cullen-frost-bankers-has-cut-starbucks-com-sbux-position-by-829052/&cid=52779686282057&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGWdR-dwwq8Q9howWa3AOiaUOMe9g""",12,"""BZ Weekly"""
"""Nov 28, 2017""","""Taiwan Semiconductor Manufacturing Company Ltd (TSM) Received Morgan Stanley\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/taiwan-semiconductor-manufacturing-company-ltd-tsm-received-morgan-stanley-lower-rating-loring-wolcott-coolidge-fiduciary-advisors-llp-upped-ulta-salon-cosmetics-ulta-stake-by-432975/&cid=52779694112105&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNG3j0GMjJ8IB8ZXVzL2ECvmSlZ9EQ""",13,"""HuronReport"""
"""Nov 1, 2017""","""Shareholder Wcm Investment Management Upped Taiwan Semiconductor Mfg LTD (TSM\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/shareholder-wcm-investment-management-upped-taiwan-semiconductor-mfg-ltd-tsm-position/&cid=0&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGOjpKbipkaVhEYUpv1hBwkP_h55g""",14,"""KL Daily"""
"""Nov 25, 2017""","""As Globus Medical A (GMED) Stock Price Rose, Rk Asset Management Lifted\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/as-globus-medical-a-gmed-stock-price-rose-rk-asset-management-lifted-holding-by-3-55-million-capital-international-sarl-increases-stake-in-taiwan-semiconductor-mfg-co-adr-tsm/&cid=52779687535133&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNF44mLToYwYLv3whBC15FgmC_LaOA""",15,"""BZ Weekly"""
"""Nov 27, 2017""","""Grimes & Company Has Decreased Taiwan Semiconductor Manufactu (TSM) Stake\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://wolcottdaily.com/grimes-crown-crafts-crws-has-1-27-sentiment/&cid=52779693066411&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNG5X59T_RiBRDFsc6D2QHlO8f7spw""",16,"""Wolcott Daily"""
"""Nov 7, 2017""","""Taiwan Semiconductor Mfg. Co. Ltd. (ADR) (TSM) Reaches $42.58 52-Week High\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/taiwan-semiconductor-mfg-co-ltd-adr-tsm-reaches-42-58-52-week-high-last-week-vestas-wind-system-vwdry-analysts/&cid=52779666202145&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNFnDZKdJSK4dM-lUsj8oXG7th2rFw""",17,"""Key Gazette"""
"""Nov 12, 2017""","""Taiwan Semiconductor (TSM) Stock Value Rose While Veritas Investment\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyregister.com/taiwan-semiconductor-tsm-stock-value-rose-while-veritas-investment-management-uk-ltd-has-trimmed-position/&cid=52779672961853&ei=UbAgWrnjOoKHjAG7lK74Cw&usg=AFQjCNGuOB3UccExYKuZEI8iBbZjXr3wYw""",18,"""Weekly Register"""
