Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Mawer Investment Management LTD Has Raised Its Stake in Unilever Plc (UL) as\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/mawer-investment-management-ltd-has-raised-its-stake-in-unilever-plc-ul-as-shares-rose/&cid=52779690717834&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNEv0sOSkmYK4CSQ5CNEotAsr0prYw""",1,"""BZ Weekly"""
"""Nov 3, 2017""","""Starbucks Corporation Sells Tazo Tea for\u00a0$384M""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/starbucks-corporation-is-selling-tazo-to-unilever/&cid=52779660702598&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNFrcis2E1HO3g8NryjC9JKDpXykyA""",2,"""Investorplace.com"""
"""Nov 9, 2017""","""Unilever Plc Adr (UL) Stock Value Rose While Salem Capital Management Lowered\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/unilever-plc-adr-ul-stock-value-rose-while-salem-capital-management-lowered-its-stake-apple-aapl-holder-chemical-bank-has-cut-stake-as-shares-rose/&cid=52779667585417&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNFRtPzHq81SpGmRDdc5j6dnFQgoWw""",3,"""BZ Weekly"""
"""Nov 12, 2017""","""Are Analysts Bearish Unilever plc (ADR) (NYSE:UL) After Last\u00a0Week?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://presstelegraph.com/are-analysts-bearish-unilever-plc-adr-nyseul-after-last-week/&cid=0&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNGQ6xPLbTkbXJ4YIF0LfuG0dBEHmg""",4,"""Press Telegraph"""
"""Nov 4, 2017""","""As Unilever Plc Adr's Adr (UL) Shares Rose, Holder Airain LTD Decreased Stake\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/as-unilever-plc-adrs-adr-ul-shares-rose-holder-airain-ltd-decreased-stake-by-2-08-million-snyder-capital-management-lp-has-decreased-coach-coh-stake-by-721920-as-share-value-rose/&cid=52779662738762&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNEbTBYC_NvrIhsSJ6mWsdAkDKWehA""",5,"""BZ Weekly"""
"""Nov 24, 2017""","""Salem Capital Management Has Lowered Unilever Plc Adr (UL) Stake; Hershey\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://kgazette.com/salem-capital-management-has-lowered-unilever-plc-adr-ul-stake-hershey-trust-company-has-lifted-adr-vipshop-hldgs-ltd-sponsored-vips-holding-by-728540/&cid=52779689174444&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNFytrl62XiN94EPAzzx-yxRVpTRnQ""",6,"""Key Gazette"""
"""Nov 23, 2017""","""Welch Group Raised By $823068 Its Unilever Plc Adr New (UL) Holding; Pitcairn\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/welch-group-raised-by-823068-its-unilever-plc-adr-new-ul-holding-pitcairn-company-upped-by-358200-its-coherent-cohr-stake/&cid=52779687826905&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNGR2EV4sYl4NB3Mp5ETcEIXoXqbrg""",7,"""HuronReport"""
"""Nov 3, 2017""","""Salem Capital Management INC Trimmed Unilever Plc Adr (UL) Position as Stock\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyregister.com/salem-capital-management-inc-trimmed-unilever-plc-adr-ul-position-as-stock-value-rose/&cid=52779681153154&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNGCvwkkvthhDwhAUwkuwgf7iYTU9g""",8,"""Weekly Register"""
"""Nov 19, 2017""","""Salem Capital Management Lowered Its Unilever Plc Adr (UL) Holding; Gtt\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://flintdaily.com/salem-capital-management-lowered-its-unilever-plc-adr-ul-holding-gtt-communications-gtt-shorts-down-by-8-57/&cid=52779680392761&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNHWaC44qEdBrTgLLfIXkVHvHPzRUQ""",9,"""FlintDaily.com"""
"""Nov 8, 2017""","""Ipg Investment Advisors Has Cut Unilever Plc Spon Adr New Isin#Us9047677045\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/ipg-investment-advisors-has-cut-unilever-plc-spon-adr-new-isinus9047677045-ul-stake-by-10-82-million-s-squared-technology-has-raised-its-inphi-iphi-holding-by-680000/&cid=52779666545664&ei=mLAgWriQLITvjAGn54O4Bg&usg=AFQjCNHSRM9MkPd0AxjSgrs0MhLt83uSWQ""",10,"""BZ Weekly"""
