Date,Title,Link,Status,Source
"""Nov 28, 2017""","""UnitedHealth Group forms $250M venture\u00a0fund""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314905-unitedhealth-group-forms-250m-venture-fund&cid=52779694917668&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNES1QF7QDl9Oymcoo-8T0jD7n-iLA""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""Form 8-K UNITEDHEALTH GROUP INC For: Nov\u00a027""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetinsider.com/SEC%2BFilings/Form%2B8-K%2BUNITEDHEALTH%2BGROUP%2BINC%2BFor%253A%2BNov%2B27/13542522.html&cid=52779692463308&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNHshoG7MwwLjCtd3E4fHDYz83kacA""",Not Reachable,"""StreetInsider.com"""
"""Nov 29, 2017""","""UnitedHealth Group Incorporated (DE) (UNH) Rises 3.12% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/unitedhealth-group-incorporated-de-unh-rises-3-12-for-november-29&cid=52779696136152&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNG2uUqb9Xhz3IKrQ2_kumfjGQtXqQ""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""UnitedHealth Group (UNH) a Strong Buy on Exceptional Earnings\u00a0Visibility""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/unitedhealth-group-unh-a-strong-buy-on-exceptional-earnings-visibility/&cid=52779696314017&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNFxrVGd7PS87NumQemWBW-hYkjD6Q""",1,"""Investorplace.com"""
"""Nov 22, 2017""","""January 2018 Options Now Available For UnitedHealth Group\u00a0(UNH)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/january-2018-options-now-available-for-unitedhealth-group-unh-cm881392&cid=52779686540843&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNEtryTH7lo8ibx0n4-8waUbmsp4OA""",2,"""Nasdaq"""
"""Nov 27, 2017""","""Correction: UnitedHealth-Outlook\u00a0story""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.sfgate.com/business/article/Health-insurance-giant-UnitedHealth-trims-profit-12387132.php&cid=52779693789743&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNHHnQ7zDsaZzUOX0XXTOJdAWA--IA""",3,"""SFGate"""
"""Nov 28, 2017""","""3 Stocks to Watch on Tuesday: Tech Data Corp (TECD), Thor Industries, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/stocks-watch-tuesday-tech-data-corp-tecd-thor-industries-inc-tho-unitedhealth-group-inc-unh/&cid=52779691119190&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNHZbxnd3i8eBLR5Y7fj0-ZH6P1z8Q""",4,"""Investorplace.com"""
"""Nov 20, 2017""","""Form 8-K UNITEDHEALTH GROUP INC For: Nov\u00a020""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetinsider.com/SEC%2BFilings/Form%2B8-K%2BUNITEDHEALTH%2BGROUP%2BINC%2BFor%253A%2BNov%2B20/13525831.html&cid=52779683247588&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNHUBWAVl_1cwOcTACyY-gBFsTSuhQ""",Not Reachable,"""StreetInsider.com"""
"""Nov 22, 2017""","""Top-End Metrics for Earnings Growth Make UnitedHealth Group (UNH) a Strong\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/top-end-metrics-for-earnings-growth-make-unitedhealth-group-unh-a-strong-buy/&cid=52779686255350&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNFr6rMOrTCzbDMgFisECTF7U-vkCA""",5,"""Investorplace.com"""
"""Nov 13, 2017""","""January 2020 Options Now Available For UnitedHealth Group\u00a0(UNH)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/january-2020-options-now-available-for-unitedhealth-group-unh-cm876366&cid=52779674616466&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNHWznhr5uEeoB7bQ6Y7Z9vywqshkQ""",6,"""Nasdaq"""
"""Nov 28, 2017""","""Analysts weigh in on UnitedHealth's guidance; shares down 1%\u00a0premarket""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314724-analysts-weigh-unitedhealths-guidance-shares-1-percent-premarket&cid=0&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNG6LPrCKeoFQAcF-d1Ft7TlGWpQkg""",Not Reachable,"""Seeking Alpha"""
"""5 hours ago""","""From A Very Different Angle: UnitedHealth Group Incorporated (UNH), SunTrust\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/from-a-very-different-angle-unitedhealth-group-incorporated-unh-suntrust-banks-inc-sti/&cid=52779694456961&ei=oLEgWqGkKMTg2Aa3y6-YAw&usg=AFQjCNEja9Rh9rUfaIdcFZr2sD_D-NIWaQ""",7,"""AllStockNews"""
