Date,Title,Link,Status,Source
"""Nov 11, 2017""","""Union Pacific Corporation CFO Rob Knight to Address the Credit Suisse 5th\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.up.com/media/releases/171115-credit-suisse.htm&cid=52779677200532&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNE8CsPpn3m1YOmkyiNbjtf-u6U0-g""",1,"""Union Pacific (press release)"""
"""12 hours ago""","""Here's Why You Should Hold on to Union Pacific (UNP)\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284553/heres-why-you-should-hold-on-to-union-pacific-unp-now&cid=52779696100878&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNEbBaWZm6F__mRZtAP41EnT8m1nJw""",2,"""Zacks.com"""
"""Nov 29, 2017""","""Union Pacific Corporation (UNP) Rises 4.07% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/union-pacific-corporation-unp-rises-4-07-for-november-29&cid=0&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNH7w7e-MmiFavesPAOhY7IgyYmj8A""",Not Reachable,"""Equities.com"""
"""Nov 16, 2017""","""Union Pacific Corporation Announces a 10 Percent Dividend Increase for Fourth\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.up.com/media/releases/171116-dividend-increase.htm&cid=52779680471351&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFE2k4ImBeqSDMsu5lBhVhHZxuQbQ""",3,"""Union Pacific (press release)"""
"""Nov 20, 2017""","""Union Pacific Increasing Track Speed in Southwest\u00a0Minnesota""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.up.com/media/releases/171120-increasing-track-speed-in-minnesota&cid=52779685160264&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNEVk0IWscfQYqDE-c1nivxT_A_Ciw""",4,"""Union Pacific (press release)"""
"""Nov 1, 2017""","""Quick Analysis Of Union Pacific's EPS\u00a0'Beat'""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4118949-quick-analysis-union-pacifics-eps-beat&cid=0&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNHF9iMV7Prfu0JmRWsGx_SFgxnMwg""",Not Reachable,"""Seeking Alpha"""
"""Nov 24, 2017""","""What Does Union Pacific's Dividend Hike Mean for\u00a0Railroads?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/283972/what-does-union-pacifics-dividend-hike-mean-for-railroads&cid=52779689015020&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFcwIW1vtZcpdjYk9e7nrJsvjooKQ""",5,"""Zacks.com"""
"""6 hours ago""","""Now Is The Time To Reconsider Union Pacific Corporation (UNP), Federated\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/30/now-is-the-time-to-reconsider-union-pacific-corporation-unp-federated-investors-inc-fii/&cid=52779696984862&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNHOlWXG_NCoEIkcL867xD30FrMK6A""",6,"""AllStockNews"""
"""Nov 29, 2017""","""Earnings Momentum Keep Union Pacific (UNP) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/earnings-momentum-keep-union-pacific-unp-a-buy/&cid=52779696314017&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGJofSa2r1dtvOKaWRlq0Lr4vp2Ig""",7,"""Investorplace.com"""
"""11 hours ago""","""Heading Towards a Potential Reversal? Union Pacific Corporation (UNP), TAL\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/heading-towards-a-potential-reversal-union-pacific-corporation-unp-tal-education-group-tal/&cid=52779694074145&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNEJSlq1iHghSA7AwM4jEOq4Wbbw8g""",8,"""Market Movers"""
"""14 hours ago""","""Free Research Reports on These Railroads Stocks -- Norfolk Southern, Trinity\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/free-research-reports-on-these-railroads-stocks----norfolk-southern-trinity-industries-union-pacific-and-westinghouse-air-brake-technologies-300564232.html&cid=52779697381187&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNEXk-L9GdoMlB38Cw5cHfDIJU4eKA""",9,"""PR Newswire (press release)"""
"""7 hours ago""","""Union Pacific Corporation (UNP) stock returned 17.15% higher in last\u00a0quarter""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/30/union-pacific-corporation-unp-stock-returned-17-15-higher-in-last-quarter/&cid=52779698224610&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNHUFTWZQRR-7BN6nvEZkwqb7RNhvg""",10,"""Street Observer (press release)"""
"""12 hours ago""","""Nothing Is More Important Than Profitability: Kohl's Corporation (KSS), Union\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/nothing-is-more-important-than-profitability-kohls-corporation-kss-union-pacific-corporation-unp/&cid=52779697931716&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFmfMzWiwaoK-ue-ql2YMQXniIxsg""",11,"""USA Commerce Daily"""
"""Nov 29, 2017""","""Stocks Messing With The Heads Of Investors: Union Pacific Corporation (UNP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/stocks-messing-with-the-heads-of-investors-union-pacific-corporation-unp-glu-mobile-inc-gluu/&cid=52779689089440&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGfKMNFdMxIb9b03O0umPMuxB4YFA""",12,"""Market Movers"""
"""43 minutes ago""","""Goldman Sachs Group Begins Coverage on Union Pacific\u00a0(NYSE:UNP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/union-pacific-corporation-unp-coverage-initiated-at-goldman-sachs-group-inc-the.html&cid=52779696566578&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGDKS1H18oDeLuYAkzekz1BX7rvzw""",Not Reachable,"""StockNewsTimes"""
"""12 hours ago""","""Union Pacific Corporation (UNP)- Stocks Tossing up on Optimistic\u00a0Data""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://nasdaqtimes.com/union-pacific-corporation-unp-stocks-tossing-up-on-optimistic-data-2/&cid=52779692134812&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGgSG8Rgb1eFXblEmbYGt-3fYX6qw""",13,"""NASDAQ Times"""
"""14 hours ago""","""Vacillating Stocks: Union Pacific Corporation, (NYSE: UNP), Brinker\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/30/vacillating-stocks-union-pacific-corporation-nyse-unp-brinker-international-inc-nyse-eat-trinity-industries-inc-nyse-trn-celgene-corporation-nasdaq-celg/&cid=52779692412201&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGMs5wwwxmfL3kl340-5aoeRvw8gg""",14,"""Stocks In The News (press release)"""
"""10 hours ago""","""Stocks within Assessment: Union Pacific Corporation (UNP), Expedia Inc.\u00a0(EXPE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://theriponadvance.com/stocks-within-assessment-union-pacific-corporation-unp-expedia-inc-expe/121139865/&cid=52779697910765&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFKGNmjEA2Y5bz6-G760iFvbjMqaw""",15,"""TRA"""
"""Nov 20, 2017""","""How to Trade these Stock After an unavoidable Selloff: Union Pacific\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/20/how-to-trade-these-stock-after-an-unavoidable-selloff-union-pacific-corporation-unp-first-horizon-national-corporation-fhn/&cid=52779683657933&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNHX6oue3Wp8T2IHyu_2_OfVyWz52g""",16,"""StockNewsJournal"""
"""Nov 29, 2017""","""Contrasting Union Pacific (UNP) and Canadian National Railway\u00a0(CNI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/comparing-canadian-national-railway-cni-union-pacific-corporation-unp.html&cid=52779692688914&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNHxp9DPN7MjMh6K-XSJ0nEUhW2wkQ""",Not Reachable,"""The Ledger Gazette"""
"""7 hours ago""","""Armstrong Henry H Associates Has Raised By $780300 Its Union Pacific (UNP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/armstrong-henry-h-associates-has-raised-by-780300-its-union-pacific-unp-holding-john-g-ullman-associates-has-increased-its-elmira-savings-bank-esbk-position/&cid=52779698109406&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFtJZi8ahxyGh17l4perSuheZMSTQ""",17,"""UtahHerald.com"""
"""Nov 14, 2017""","""Revenue Approximations Analysis: Kimco Realty Corporation (KIM), Union Pacific\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/14/revenue-approximations-analysis-kimco-realty-corporation-kim-union-pacific-corporation-unp/&cid=52779674696982&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFCKWjSy8LSmrKt6bo-5k96fJAXow""",18,"""StockNewsJournal"""
"""Nov 14, 2017""","""Union Pacific Is A Better Rail Stock Than CSX - Cramer's Lightning Round (11\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124548-union-pacific-better-rail-stock-csx-cramers-lightning-round-11-13-17&cid=52779675668601&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNG3foNqdzWX5DuaFPQ-RbyW0OpNAA""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Union Pacific Corporation (UNP)- Stocks Rallying on Glossy Performance\u00a0Valuation""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nasdaqtimes.com/union-pacific-corporation-unp-stocks-rallying-on-glossy-performance-valuation/&cid=52779696346996&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFaF5YcViNM8W-J22k6X2HLwwuODw""",19,"""NASDAQ Times"""
"""Nov 2, 2017""","""Earnings Clues on Union Pacific Corporation (UNP), WEC Energy Group, Inc. (WEC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/02/earnings-clues-on-union-pacific-corporation-unp-wec-energy-group-inc-wec-analysts-predictions/&cid=52779659022483&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNGe09agkiJiVVGvRWcUUs54UPtTgw""",20,"""StockNewsJournal"""
"""Nov 7, 2017""","""Earnings Clues on Waste Management, Inc. (WM), Union Pacific Corporation (UNP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/07/earnings-clues-on-waste-management-inc-wm-union-pacific-corporation-unp-analysts-predictions/&cid=52779663131495&ei=x7IgWpLKK8SD2AaL6qnYAw&usg=AFQjCNFMdVOmLSFQKL1tfMWrpDhGvNfjLQ""",21,"""StockNewsJournal"""
