Date,Title,Link,Status,Source
"""Nov 27, 2017""","""UPS: Buy On Weakness. This Is\u00a0Weakness.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127742-ups-buy-weakness-weakness&cid=52779689806173&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNGbOVYMVEPhb5tqLhF5TbjXYPybYg""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Metrics for Sales Growth Keep United Parcel Service (UPS) a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/metrics-for-sales-growth-keep-united-parcel-service-ups-a-sell/&cid=52779696314017&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFRN-TXVWxNsKvUjthvb6Tk4AgqjQ""",1,"""Investorplace.com"""
"""Nov 22, 2017""","""Earnings Growth Keep United Parcel Service (UPS) a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/earnings-growth-keep-united-parcel-service-ups-a-sell/&cid=52779686255350&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNENZgqi_MLIXcGgi_gxBmuiUy8mfA""",2,"""Investorplace.com"""
"""Nov 9, 2017""","""United Parcel Service, Inc. (UPS) Ex-Dividend Date Scheduled for November 10,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/united-parcel-service-inc-ups-ex-dividend-date-scheduled-for-november-10-2017-cm874558&cid=52779668742236&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEBCV4WkYMHehuUZ8J8o7qt_zL9oQ""",3,"""Nasdaq"""
"""Nov 29, 2017""","""UPS picks Walmart exec as new 'chief transformation\u00a0officer'""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/29/ups-picks-walmart-exec-as-new-chief-transformation.html&cid=52779696884645&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEMqZJBAHqp0u1pdC08MszouZjD3A""",4,"""Atlanta Business Chronicle"""
"""Nov 29, 2017""","""The Transportation Sector Just Had Its Best Day Of\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/trading-ideas/long-ideas/17/11/10786928/the-transportation-sector-just-had-its-best-day-of-2017&cid=0&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFhb85WqpPWWZ2w_YRdnQCpb7vCWg""",5,"""Benzinga"""
"""Nov 15, 2017""","""Anemic Earnings Growth Downgrade United Parcel Service (UPS) to\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/anemic-earnings-growth-downgrade-united-parcel-service-ups-to-sell/&cid=52779678060381&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNE6d5SA-T6un19D8Qh10eZ23XCc6w""",6,"""Investorplace.com"""
"""6 hours ago""","""Why Should Investors Reconsider Axalta Coating Systems Ltd. (AXTA) And United\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/30/why-should-investors-reconsider-axalta-coating-systems-ltd-axta-and-united-parcel-service-inc-ups/&cid=52779697240066&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEtiprDj0ZZwuj10V8Jnbb9eYioTQ""",7,"""AllStockNews"""
"""Nov 26, 2017""","""These Factors Make UPS An Ideal Long-Term Dividend\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127646-factors-make-ups-ideal-long-term-dividend-stock&cid=0&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFij2luodTb9Te4uU2xJO_WfgHyZA""",Not Reachable,"""Seeking Alpha"""
"""Nov 1, 2017""","""Trade of the Day: Caution Is Warranted in United Parcel Service,\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/united-parcel-service-inc-ups-stock-caution/&cid=52779657588377&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEuiRymBUGHmQAN_RvFuGAbEn5IAA""",8,"""Investorplace.com"""
"""Nov 8, 2017""","""No U-Turn Signs for United Parcel\u00a0Service""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://realmoney.thestreet.com/articles/11/08/2017/no-u-turn-signs-united-parcel-service&cid=52779664649451&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNGWRPl0sdCU1rNyWo-cmCu3fbUfpg""",Not Reachable,"""TheStreet.com"""
"""9 hours ago""","""Most Shocking Stock Movements: United Parcel Service, Inc. (UPS), Helios and\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/most-shocking-stock-movements-united-parcel-service-inc-ups-helios-and-matheson-analytics-inc-hmny/&cid=52779693300399&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEh9ZLATlNoYrAL4syTgxrvGWGlHw""",9,"""Market Movers"""
"""4 hours ago""","""UPS Ditches Signatures for Business\u00a0Drop-Offs""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-30/put-down-that-pen-ups-ditches-signatures-for-business-drop-offs&cid=52779698392358&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEcib4lNWphcxn6jQujwukT8Ltznw""",10,"""Bloomberg"""
"""Nov 1, 2017""","""Anemic Industry Group Rank Hampers United Parcel Service (UPS)\u00a0Rating""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/anemic-industry-group-rank-hampers-united-parcel-service-ups-rating/&cid=52779660197095&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEWQU_3ZxbX9I9mv95MBri54inyLQ""",11,"""Investorplace.com"""
"""Nov 22, 2017""","""UPS makes curious move involving prescription drug business with new\u00a0license""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/22/ups-makes-move-deeper-into-drugmaker-supply-chain.html&cid=52779686754388&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNH8aHA-MAOPiMaFbEjhfm1kL6GiTw""",12,"""CNBC"""
"""Nov 16, 2017""","""United Parcel Service, Inc. (UPS): What's the\u00a0Story?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/16/united-parcel-service-inc-ups-whats-the-story/&cid=52779678071876&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNHVTZ12CyJtN5P0APfz1600i2-f8w""",13,"""StockNewsJournal"""
"""Nov 29, 2017""","""Here's What to Focus on: United Parcel Service, Inc. (NYSE:\u00a0UPS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.hotstockspoint.com/2017/11/heres-focus-united-parcel-service-inc-nyse-ups/&cid=52779695507569&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNGqxys_WTG9pHyk_dTMNDu7N4_GvQ""",14,"""Hot Stocks Point"""
"""Nov 27, 2017""","""Why Investors remained buoyant on: First Data Corporation (FDC), United Parcel\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/why-investors-remained-buoyant-on-first-data-corporation-fdc-united-parcel-service-inc-ups/&cid=52779693356682&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNHqr4L6QyxFyFivhhji4PGQMFsixg""",15,"""StockNewsJournal"""
"""Nov 29, 2017""","""Where Relative Volume Stands?: United Parcel Service Inc (NYSE:\u00a0UPS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://alphabetastock.com/where-relative-volume-stands-united-parcel-service-inc-nyse-ups/&cid=52779695716913&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNF1g64tQcymlq31Rw2zuCM1LFfKVQ""",16,"""Alpha Beta Stock"""
"""4 hours ago""","""UPS Leads List Of 10 Companies With The Most Positive Effect On Their\u00a0Communities""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/news/17/11/10855259/ups-leads-list-of-10-companies-with-the-most-positive-effect-on-their-communitie&cid=0&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFgpFxlTuuGkMS1JkohHcpPrxz1zA""",17,"""Benzinga"""
"""Nov 8, 2017""","""Rating on United Parcel Service (UPS) Stock Lowered to\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/rating-on-united-parcel-service-ups-stock-lowered-to-sell/&cid=52779667780267&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNHW2ffQRNdVi6-It_z-yVRSuXrKyQ""",18,"""Investorplace.com"""
"""Nov 22, 2017""","""Revenue Approximations Analysis: Welltower Inc. (HCN), United Parcel Service\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/22/revenue-approximations-analysis-welltower-inc-hcn-united-parcel-service-inc-ups/&cid=52779685654654&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFCGe6FDCBOmf_cjNnDiZaD8sw99w""",19,"""StockNewsJournal"""
"""Nov 7, 2017""","""UPS dives into blockchain technology as trucking companies seek to\u00a0evolve""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/07/ups-dives-into-blockchain-technology.html&cid=52779666225501&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEAjWyw1Bh6Bo8t-dCVEwN70-59zg""",20,"""CNBC"""
"""Nov 24, 2017""","""Earnings Clues on KEMET Corporation (KEM), United Parcel Service, Inc. (UPS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/earnings-clues-on-kemet-corporation-kem-united-parcel-service-inc-ups-analysts-predictions/&cid=52779682391175&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNHCnEToHWlU4mplotzsaLzlPbRUZg""",21,"""StockNewsJournal"""
"""12 hours ago""","""Investor's Roundup (Beta Factor Analysis) \u2013 United Parcel Service, Inc., (NYSE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/30/investors-roundup-beta-factor-analysis-united-parcel-service-inc-nyse-ups/&cid=52779698147048&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNG4FvC5UCxSnoRhiUDOBh_1vSu7uA""",22,"""Stock Watch"""
"""7 hours ago""","""United Parcel Service, Inc. (UPS) noted a price change of 3.34% and Hibbett\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.stocksgallery.com/2017/11/30/united-parcel-service-inc-ups-noted-a-price-change-of-3-34-and-hibbett-sports-inc-hibb-closes-with-a-move-of-2-59/&cid=52779696872091&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEHC7hiSkr_14zeUXEYOvJK-7IWwQ""",23,"""Stocks Gallery"""
"""12 hours ago""","""United Parcel Service, Inc. (NYSE:UPS) \u2013 Investors are Unsure How to React\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://nasdaqjournal.com/index.php/2017/11/30/united-parcel-service-inc-nyseups-investors-are-unsure-how-to-react-brief-analysis/&cid=52779698049297&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNEu6pNDgls7hx7xn5iGzFH5drnxIg""",24,"""Nasdaq Journal (press release)"""
"""Nov 20, 2017""","""CH Robinson Worldwide, Inc. (CHRW) vs. United Parcel Service, Inc. (UPS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/20/c-h-robinson-worldwide-inc-chrw-vs-united-parcel-service-inc-ups-breaking-down-the-data/&cid=52779678003207&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNFYTgvFpCCdeUDPWrG6oyM0TfSraw""",25,"""Economic News"""
"""Nov 14, 2017""","""Analyst's Predictions on United Parcel Service, Inc. (UPS), The Kraft Heinz\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/14/analysts-predictions-on-united-parcel-service-inc-ups-the-kraft-heinz-company-khc/&cid=52779675194927&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNHETyKEw7qT0gpcz9zzn6yIaoTGlg""",26,"""StockNewsJournal"""
"""Nov 21, 2017""","""United Parcel Service, Inc. (UPS) Shares Bought by Investment Centers of\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/21/investment-centers-of-america-inc-raises-holdings-in-united-parcel-service-inc-ups.html&cid=52779681033276&ei=WrMgWpGSFIn9jAHGyL64Cg&usg=AFQjCNF6vzxT5yAAuPq0JqAAcSEiEe-aGg""",Not Reachable,"""The Ledger Gazette"""
