Date,Title,Link,Status,Source
"""8 hours ago""","""Just the Facts on US Bancorp\u00a0(USB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/30/just-the-facts-on-u-s-bancorp-usb-6/&cid=52779696124007&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNHoLDud8ex5CdTE8YwgS79kwJwEOw""",1,"""StockNewsJournal"""
"""Nov 20, 2017""","""Why Is US Bancorp (USB) Down 2.6% Since the Last Earnings\u00a0Report?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/why-is-us-bancorp-usb-down-26-since-the-last-earnings-report-cm879781&cid=52779683599059&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNGJtdSBErsj2yKzJwiojohH5rQTWQ""",2,"""Nasdaq"""
"""Nov 29, 2017""","""US Bancorp (USB) Rises 3.28% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/u-s-bancorp-usb-rises-3-28-for-november-29&cid=52779696918416&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNEy1NrNrOfpWcYCL_DNXSDSwUqNsw""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""US Bancorp (USB) Moves Higher on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/u-s-bancorp-usb-moves-higher-on-volume-spike-for-november-29&cid=0&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNEnvU92TxHGeRRnOUcC4uXfo_cPMQ""",Not Reachable,"""Equities.com"""
"""Nov 8, 2017""","""US Bancorp further greens the\u00a0business""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.startribune.com/u-s-bancorp-further-greens-the-business/456133783/&cid=52779667701272&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNHagImkzZnNjyeOQBvHWH7KY13FLg""",Not Reachable,"""Minneapolis Star Tribune"""
"""Nov 7, 2017""","""US Bancorp to Speak at the Goldman Sachs US Financial Services\u00a0Conference""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171128006141/en/U.S.-Bancorp-Speak-Goldman-Sachs-U.S.-Financial&cid=0&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNFDryBj2f7_aOO0T3v-KAnUJfAzTw""",3,"""Business Wire (press release)"""
"""3 hours ago""","""Big US banks in last-ditch push on regulatory relief\u00a0bill""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/r-big-us-banks-in-last-ditch-push-on-regulatory-relief-bill-2017-11&cid=52779698773658&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNG-RbfkkkcndcUKKr5i5bdH-wszZw""",4,"""Business Insider"""
"""Nov 7, 2017""","""US Bancorp (USB) Dips 2.55% for November\u00a007""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/u-s-bancorp-usb-dips-2-55-for-november-07&cid=52779664631830&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNEOIyRbPlRBRH7b_yAzlv6U2btaBg""",Not Reachable,"""Equities.com"""
"""Nov 6, 2017""","""US Bancorp to Speak at the Bank of America Merrill Lynch Future of Financials\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171106006121/en/U.S.-Bancorp-Speak-Bank-America-Merrill-Lynch&cid=0&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNFxN5rqBywZA1ZbocVsDsyeMvJBXg""",5,"""Business Wire (press release)"""
"""Nov 28, 2017""","""US Bancorp (USB) Rises 2.51% for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/u-s-bancorp-usb-rises-2-51-for-november-28&cid=52779695393760&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNE-5nVbFBuo4776WqDNOe5OB1NFbA""",Not Reachable,"""Equities.com"""
"""12 hours ago""","""Huntington Bancshares Incorporated (HBAN) vs. US Bancorp (USB): Breaking Down\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.economicsandmoney.com/2017/11/30/huntington-bancshares-incorporated-hban-vs-u-s-bancorp-usb-breaking-down-the-data/&cid=52779697835895&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNEwjPL2Pc5KxtiuxyglTMVIE-y0sg""",6,"""Economic News"""
"""9 hours ago""","""Should Value Investors Pick Nabriva Therapeutics plc (NBRV), US Bancorp\u00a0(USB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/should-value-investors-pick-nabriva-therapeutics-plc-nbrv-u-s-bancorp-usb/&cid=52779698000420&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNGWqAWWn_nkXtM0Ouuz96Sz5V0Nkg""",7,"""Post Analyst"""
"""Nov 29, 2017""","""A must buy stock list of the day: US Bancorp\u00a0(USB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/29/a-must-buy-stock-list-of-the-day-u-s-bancorp-usb-3/&cid=0&ei=_LMgWompKZCYjAHh6anQCA&usg=AFQjCNG_5vwTa1pAuf_WDNZsvj2dpqqgIg""",8,"""The News Journal"""
