Date,Title,Link,Status,Source
"""Nov 29, 2017""","""United Technologies Corporation (UTX) Closes 0.38% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/united-technologies-corporation-utx-closes-0-38-up-on-the-day-for-november-29&cid=0&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNHbrr6yOuk4IsxJAXb_jntM54XB5w""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""United Technologies Corporation (UTX) Ex-Dividend Date Scheduled for November\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/united-technologies-corporation-utx-ex-dividend-date-scheduled-for-november-16-2017-cm877622&cid=52779677204856&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNEGhYJg9s9zqye36m9svF5T45lnCw""",1,"""Nasdaq"""
"""6 hours ago""","""Valuing 2 Stocks Using Ratios and Multiples: United Technologies Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/valuing-2-stocks-using-ratios-and-multiples-united-technologies-corporation-utx-the-home-depot-inc-hd/&cid=52779693172017&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNH6qindfeFz6GIOpBmj54TNA5oW2A""",2,"""AllStockNews"""
"""Nov 8, 2017""","""United Technologies Corporation (UTX) Closes 0.39% Down on the Day for November\u00a008""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/united-technologies-corporation-utx-closes-0-39-down-on-the-day-for-november-08&cid=52779664684525&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNFDotZ5-SwtXlzwSK5aTdCU6AL21A""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""Earnings Clues on Northwest Biotherapeutics, Inc. (NWBO), United Technologies\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/earnings-clues-on-northwest-biotherapeutics-inc-nwbo-united-technologies-corporation-utx-analysts-predictions/&cid=52779696459416&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNEfJooP-YA3-J8Vub21y3qdi79ecQ""",3,"""StockNewsJournal"""
"""Nov 3, 2017""","""United Technologies Corporation (UTX) Closes 0.32% Down on the Day for November\u00a003""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/united-technologies-corporation-utx-closes-0-32-down-on-the-day-for-november-03&cid=52779659808061&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNFrzNI_F1yxwBttvlY5WxIR-LEhfw""",Not Reachable,"""Equities.com"""
"""10 hours ago""","""Hot Tickers: United Technologies Corporation (UTX), Ascena Retail Group, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/hot-tickers-united-technologies-corporation-utx-ascena-retail-group-inc-asna/&cid=52779693768765&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNG5vFEirexHfr3Ol9yfZ6Y65BO2Eg""",4,"""Market Movers"""
"""13 hours ago""","""Stock Alert: United Technologies Corporation Price Volatility Hits An Extreme\u00a0Low""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.cmlviz.com/2017/11/30/stock-alert-united-technologies-corporation-price-volatility-hits-an-extreme-low.html&cid=52779697965323&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNGI0TXgnp_fijYUfr5YZTiKko8-rw""",5,"""CML News"""
"""6 hours ago""","""United Technologies Corporation (NYSE:UTX) \u2013 Lookout for Intraday\u00a0Move""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://nasdaqjournal.com/index.php/2017/11/30/united-technologies-corporation-nyseutx-lookout-for-intraday-move/&cid=52779698049297&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNGvYnhhiflNQ60V-IG3Le0FhbMXYA""",6,"""Nasdaq Journal (press release)"""
"""Nov 23, 2017""","""United Technologies Corporation (UTX) Closes 0.15% Up on the Day for November\u00a024""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/united-technologies-corporation-utx-closes-0-15-up-on-the-day-for-november-24&cid=52779688904252&ei=D7UgWqiWEIfSjAHDvqqQDA&usg=AFQjCNHGM5KVb82PFeXMRuIjY--fCJDOYQ""",Not Reachable,"""Equities.com"""
