Date,Title,Link,Status,Source
"""7 hours ago""","""Digging Up the Facts on Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/30/digging-up-the-facts-on-visa-inc-v-6/&cid=52779698285918&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEUpazIJyPml3HEZy51_GOHWwKINQ""",1,"""StockNewsJournal"""
"""4 hours ago""","""Morgan Stanley: How Bank Investors Can Play 6 Global Themes For\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10855363/morgan-stanley-how-bank-investors-can-play-6-global-the&cid=52779698355235&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHrrKAAy6jAZGctSjQ9MFn6AMsR4w""",2,"""Benzinga"""
"""Nov 21, 2017""","""Visa As A Dividend Income\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126947-visa-dividend-income-stock&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGi7hx0cz_mDjwrc6iAG0wwZruahQ""",Not Reachable,"""Seeking Alpha"""
"""9 hours ago""","""The Bull Case for Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/30/the-bull-case-for-visa-inc-v/&cid=52779697976831&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGKCby1yEtPzy8CZMcwS2cULmqObg""",3,"""Economic News"""
"""Nov 29, 2017""","""Visa Inc. (V) Dips 3.09% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/visa-inc-v-dips-3-09-for-november-29&cid=52779697382799&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNG0vT_MaB7yzp4FOi96eIp5a-3HWg""",Not Reachable,"""Equities.com"""
"""Nov 20, 2017""","""Visa Slowing To Single-Digit Growth\u00a0Rates""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126439-visa-slowing-single-digit-growth-rates&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGePerwXSZ9zfjCLVvXbHLwWWuSeg""",Not Reachable,"""Seeking Alpha"""
"""Nov 6, 2017""","""Visa: Everywhere We Want To\u00a0Be""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121118-visa-everywhere-want&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGjci39BdiGKBDUXZ7xDa0iPL7edw""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Two stocks you should always put money on: Visa Inc. (V), Dynegy Inc.\u00a0(DYN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/two-stocks-you-should-always-put-money-on-visa-inc-v-dynegy-inc-dyn/&cid=52779696918416&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNFSkocnbj6XO2SPU3dmJVtwCncM3w""",4,"""StockNewsJournal"""
"""4 hours ago""","""Prudential Financial Inc Buys DowDuPont Inc, Andeavor, Visa Inc, Sells CSX\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/604329/prudential-financial-inc-buys-dowdupont-inc-andeavor-visa-inc-sells-csx-corp-sherwinwilliams-co-pnc-financial-services-group-inc&cid=52779698552184&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEvlkl-T5ScrbLukK_aA52U54mJ8A""",5,"""GuruFocus.com"""
"""Nov 15, 2017""","""Visa Inc. (V) Ex-Dividend Date Scheduled for November 16,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/visa-inc-v-ex-dividend-date-scheduled-for-november-16-2017-cm877619&cid=52779677204856&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGy93Y8cUW_zdZzFpl0HbmZ7KLXCA""",6,"""Nasdaq"""
"""Nov 10, 2017""","""How Mastercard Inc Stacks Up Against Visa Inc Post\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/how-mastercard-inc-stacks-up-against-visa-inc-post-earnings/&cid=52779670247942&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNF-LXBQAfF3TBzmrQo2l4ZNXqku-g""",7,"""Investorplace.com"""
"""13 hours ago""","""Why Visa Inc (V) Might Have Plenty More Gains In Store For\u00a0Investors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknews.com/news/v-why-visa-inc-v-might-have-plenty-more-gains-in/&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNFilCi6J9piYIZx-E79nYm-GOaNRg""",8,"""StockNews.com (blog)"""
"""Nov 28, 2017""","""Which Way Traders Signposts Dollar Tree, Inc. (DLTR), Visa Inc. (V)\u00a0Stocks?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/which-way-traders-signposts-dollar-tree-inc-dltr-visa-inc-v-stocks/&cid=52779693610328&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEQc_tpaTiS0d8k-KM87SghGpWJ0A""",9,"""StockNewsJournal"""
"""9 hours ago""","""Not Out Of The Woods Yet: GlaxoSmithKline plc (GSK), Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/not-out-of-the-woods-yet-glaxosmithkline-plc-gsk-visa-inc-v/&cid=52779695395475&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHBIl8Lpv80ue9p2TL6n49_nrNbYg""",10,"""Post Analyst"""
"""Nov 28, 2017""","""Visa Inc. (V) Closes 0.87% Up on the Day for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/visa-inc-v-closes-0-87-up-on-the-day-for-november-28&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEHjjGi4_lO3b6VIXxkJZdGTZSv2Q""",Not Reachable,"""Equities.com"""
"""Nov 20, 2017""","""Visa Could Be Perpetually 'Overvalued' For A\u00a0Reason""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126474-visa-perpetually-overvalued-reason&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHMiXglb5wQC_fJsV_Q-ma_xOnY1g""",Not Reachable,"""Seeking Alpha"""
"""3 hours ago""","""Visa Inc. (V) Draws Bullish Attention After Forming Bullish Wedge\u00a0Up""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/visa-inc-v-draws-bullish-attention-after-forming-bullish-wedge-up/&cid=52779698218094&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGC5n-rkGemBaU56xjKlezktAmUeg""",11,"""WeeklyHub"""
"""Nov 13, 2017""","""Visa And Its New\u00a0Highs""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124218-visa-new-highs&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGsudqiZyz8bnzAeHAn_SUGv_ZIsA""",Not Reachable,"""Seeking Alpha"""
"""11 hours ago""","""Technical Secrets \u2013 Visa Inc. (NYSE:\u00a0V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.hotstockspoint.com/2017/11/technical-secrets-visa-inc-nyse-v-2/&cid=52779697414269&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNFUTpMG5oQBbjYjmgeDvdQrr5dRoA""",12,"""Hot Stocks Point"""
"""10 hours ago""","""You Need To Know About Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.analystsbuzz.com/2017/11/30/you-need-to-know-about-visa-inc-v/&cid=52779698104658&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNFz_M4cpyt0GLPUoopB1GvqAZ-Nuw""",13,"""Voice Of Analysts"""
"""Nov 27, 2017""","""Visa Inc. (V) Closes 0.37% Up on the Day for November\u00a027""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/visa-inc-v-closes-0-37-up-on-the-day-for-november-27&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGQ5GSHD2UiL1Md6NoSBC8G3V1jjw""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""Temasek Holdings (private) Ltd Buys Visa Inc, Virtu Financial Inc, Ctrip.\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/temasek-holdings-private-ltd-buys-visa-inc-virtu-financial-inc-ctrip-cm877508&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHP6KWWOfCTxdZps53skW13kzXBYA""",14,"""Nasdaq"""
"""Nov 1, 2017""","""Visa Approves Monaco Cryptocurrency Card for Singapore\u00a0Residents""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-01/visa-approves-monaco-cryptocurrency-card-for-singapore-residents&cid=52779659134400&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNFbUM-lyNTAg_R4IuFP5fBRLwkQNQ""",15,"""Bloomberg"""
"""Nov 10, 2017""","""Why Tech Investors Should Consider Visa Inc. Following Strong\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.baystreet.ca/techinsider/957/Why-Tech-Investors-Should-Consider-Visa-Inc-Following-Strong-Earnings&cid=52779670196544&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGN8S1ECbOfBEG01lbFjLp3VECXQw""",16,"""Baystreet.ca"""
"""6 hours ago""","""3451 Shares in Visa Inc. (V) Purchased by Exencial Wealth Advisors\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/3451-shares-in-visa-inc-v-purchased-by-exencial-wealth-advisors-llc.html&cid=52779698338838&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHqt4A_AqJYMxxOk2RqcfRY6Ry8WQ""",Not Reachable,"""StockNewsTimes"""
"""11 hours ago""","""The sentiment expressed by investors: Huntington Bancshares Incorporated (HBAN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/30/the-sentiment-expressed-by-investors-huntington-bancshares-incorporated-hban-visa-inc-v/&cid=52779694689882&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGQo9Ux4xDamBF2eIHYQykVY5Sg6w""",17,"""Market Movers"""
"""12 hours ago""","""Investor Focus: Spotting the Signals for Visa Inc\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/investor-focus-spotting-the-signals-for-visa-inc-v/&cid=52779695273500&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGwhPbqWBoHXqIu0ebsssLQhwovGA""",18,"""Stock Talker"""
"""Nov 29, 2017""","""Current Technical Chart Facts: Henry Schein, Inc. (HSIC), Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/current-technical-chart-facts-henry-schein-inc-hsic-visa-inc-v/&cid=52779692891926&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGitFPnscW2SCX95oBZLw0JVueYdg""",19,"""AllStockNews"""
"""Nov 24, 2017""","""Which Way Traders Signposts Visa Inc. (V), CubeSmart (CUBE)\u00a0Stocks?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/24/which-way-traders-signposts-visa-inc-v-cubesmart-cube-stocks/&cid=52779686925572&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGdSG_Jt5j-38GBqxb1CXvVZw-5Rw""",20,"""StockNewsJournal"""
"""Nov 28, 2017""","""Will This Only Make Things Worse? \u2013 Visa Inc. (V), Companhia Paranaense de\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/28/will-this-only-make-things-worse-visa-inc-v-companhia-paranaense-de-energia-copel-elp/&cid=52779693675186&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNE02xlp0njAuMxT3EtaJ4HvyrEJ0A""",21,"""Post Analyst"""
"""Nov 22, 2017""","""These stock's might change the kismet of Investors: Visa Inc. (V), MGM Resorts\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/22/these-stocks-might-change-the-kismet-of-investors-visa-inc-v-mgm-resorts-international-mgm/&cid=52779683757577&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHgNVM-XR4j1EKefXGk_pXIREu6Yw""",22,"""StockNewsJournal"""
"""Nov 28, 2017""","""What the Insider Data Suggests About Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/28/what-the-insider-data-suggests-about-visa-inc-v/&cid=52779694866683&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNF1PUq6PxNQHk-n6JJ21P1t9BzDYg""",23,"""StockNewsGazette"""
"""Nov 27, 2017""","""Value Of Cryptocurrency Market Passes That Of Visa Inc (V) For The First\u00a0Time""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknews.com/news/v-value-of-cryptocurrency-market-passes-that-of-visa-inc-v/&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEK61CJ616OTKvoWehSaJwZVjI5bA""",24,"""StockNews.com (blog)"""
"""12 hours ago""","""Earnings Visibility Keep Visa (V) a\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/earnings-visibility-keep-visa-v-a-buy/&cid=52779696314017&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNH9ZW8iaS1FiDU6ay2ivsjdDipGNA""",25,"""Investorplace.com"""
"""Nov 27, 2017""","""Visa Inc. (V): What are the Technicals\u00a0Saying?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/visa-inc-v-what-are-the-technicals-saying-3/&cid=52779694132685&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGDxNOCQOISSuX4kw4paiT1QK76nw""",26,"""Economic News"""
"""10 hours ago""","""Investor's Watch List: Visa Inc.\u00a0(V)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://theriponadvance.com/investors-watch-list-visa-inc-v-2/121139894/&cid=52779698076927&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNG6PAQjw3ErhxHzdh5CHkjcdGDjUA""",27,"""TRA"""
"""13 hours ago""","""Reflections On The Current State Of Fairmount Santrol Holdings Inc. (FMSA\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/30/reflections-on-the-current-state-of-fairmount-santrol-holdings-inc-fmsa-visa-inc-v/&cid=52779697101345&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHyfhqbQHjPwnDwQyRdPeB1ZOZvNg""",28,"""AllStockNews"""
"""12 hours ago""","""Visa Inc. (V) Shares Sold by Westpac Banking\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/westpac-banking-corp-decreases-position-in-visa-inc-v.html&cid=52779697163638&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNHI9QmLm5iqcco67mq8I5_KIYZQnw""",Not Reachable,"""StockNewsTimes"""
"""10 hours ago""","""Visa Inc. (V)- Stocks Showing Promising Performance\u00a0Assessment""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://nasdaqtimes.com/visa-inc-v-stocks-showing-promising-performance-assessment/&cid=0&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNEgVwpiYrV2kxDmWQXJbTyvjlnFEg""",29,"""NASDAQ Times"""
"""Nov 28, 2017""","""Choosing Between PayPal Holdings, Inc. (PYPL) and Visa Inc.\u00a0(V)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/28/choosing-between-paypal-holdings-inc-pypl-and-visa-inc-v/&cid=52779693129882&ei=ibUgWqm8LY3kjAHx2JK4Cg&usg=AFQjCNGAGqKDp22lUVsJTbWf3nRFEcmHcg""",30,"""Economic News"""
