Date,Title,Link,Status,Source
"""Nov 20, 2017""","""Verizon Is Primed For a Big\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-20/verizon-communications-inc-vz-stock&cid=52779683528528&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNF3VDspnCE5hFy8Y8kP3NpJ6bAhkg""",Not Reachable,"""U.S. News & World Report"""
"""5 hours ago""","""Verizon Plans to Bring Wireless 5G Broadband to\u00a0Sacramento""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-30/verizon-encroaches-on-at-t-s-turf-with-sacramento-5g-broadband&cid=52779696968528&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNHR-9_bMhPbsSNcJvwlhDx2HJ5czg""",1,"""Bloomberg"""
"""10 hours ago""","""The Zacks Analyst Blog Highlights: Netflix, Facebook, Alphabet, Verizon\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/the-zacks-analyst-blog-highlights-netflix-facebook-alphabet-verizon-communications-and-comcast-cm884676&cid=52779697978255&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNF8yZICk7lewkIP4NvEl4iPew84og""",2,"""Nasdaq"""
"""3 hours ago""","""Verizon Communications Inc.: Verizon announces pricing terms of tender offers\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.twst.com/update/verizon-communications-inc-verizon-announces-pricing-terms-of-tender-offers-consent-solicitations-for-31-series-of-verizon-and-certain-of-its-subsidiaries-notes/&cid=52779698615417&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNE5yyLFyIYiLjuicEXE_CMrl4wK5w""",Not Reachable,"""The Wall Street Transcript"""
"""Nov 20, 2017""","""Verizon Communications Inc. (VZ) Is Primed For a Big\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/verizon-communications-inc-vz-primed-180605194.html&cid=0&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNElrzfJIHqS_yiHlIXLm1QdhM3GbQ""",3,"""Yahoo Sports"""
"""Nov 29, 2017""","""The Zacks Analyst Blog Highlights: AT&T, Verizon Communications, Comcast and\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/the-zacks-analyst-blog-highlights-att-verizon-communications-comcast-and-charter-communications-cm884022&cid=52779694999042&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNG-NDPSL-UhsS77bBtoR3fLCUIi4Q""",4,"""Nasdaq"""
"""Nov 16, 2017""","""Comcast, Verizon approached Twenty-First Century Fox to buy some assets:\u00a0sources""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-fox-m-a-comcast/comcast-verizon-approached-twenty-first-century-fox-to-buy-some-assets-sources-idUSKBN1DG34Z&cid=52779678002282&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNEclxlYcusXUdE88ahrKiKZBFULVw""",5,"""Reuters"""
"""Nov 29, 2017""","""Verizon Communications Inc. (VZ) Closes 2.21% Up on the Day for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/verizon-communications-inc-vz-closes-2-21-up-on-the-day-for-november-29&cid=0&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNFLFbHZQ98lSWxnzr5u-3sAax3qZg""",Not Reachable,"""Equities.com"""
"""Nov 18, 2017""","""Verizon, NFL Are Close to Announcing Digital Streaming\u00a0Deal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-17/verizon-nfl-are-said-close-to-announcing-digital-streaming-deal&cid=52779680535920&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNH7z9_jX8oze7C9aVU80lBORHrqwA""",6,"""Bloomberg"""
"""Nov 1, 2017""","""Verizon Communications Inc. Stock is a Dividend Investor's\u00a0Dream""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/verizon-communications-inc-stock-is-a-dividend-investors-dream/&cid=52779657483210&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNHXL8J7cy6-8MJBCLi_Bon_tc1Keg""",7,"""Investorplace.com"""
"""Nov 24, 2017""","""Verizon Communications Inc. (VZ) Closes 0.19% Down on the Day for November\u00a024""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/verizon-communications-inc-vz-closes-0-19-down-on-the-day-for-november-24&cid=52779687601776&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNFS0oPQYANr3l2toDJWx5KaMlKE6A""",Not Reachable,"""Equities.com"""
"""Nov 29, 2017""","""Why Investors remained buoyant on: Verizon Communications Inc. (VZ), PhaseRx\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/why-investors-remained-buoyant-on-verizon-communications-inc-vz-phaserx-inc-pzrx/&cid=52779690716855&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNEPXbddPrOsxoym7VOez5jtXqYLRQ""",8,"""StockNewsJournal"""
"""Nov 21, 2017""","""Why Marissa Mayer Could Cost Verizon Hundreds of\u00a0Millions""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-21/verizon-is-said-to-be-on-the-hook-for-mayer-s-yahoo-search-deal&cid=52779685157468&ei=qrYgWuj0L4TvjAGn54O4Bg&usg=AFQjCNGCJCBH88nzFFAGxiy1jbAry36XaA""",9,"""Bloomberg"""
