Date,Title,Link,Status,Source
"""Nov 29, 2017""","""Westpac Banking Corp Decreases Stake in CVS Health Corp\u00a0(NYSE:CVS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.truebluetribune.com/2017/11/29/cvs-health-corporation-cvs-shares-sold-by-westpac-banking-corp.html&cid=52779692471650&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNFtjTlEKi0w6y4nJ6wD3nQ45-JmZA""",Not Reachable,"""TrueBlueTribune"""
"""Nov 9, 2017""","""Jan 2, 2018 is the day that Westpac Banking Corporation (NYSE:WBK\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kldaily.com/jan-2-2018-is-the-day-that-westpac-banking-corporation-nysewbk-shareholders-will-see-dividends-of-0-72/&cid=52779667731403&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNFjDCw0h9kPmODmGBso4OYcHheZRA""",1,"""KL Daily"""
"""Nov 24, 2017""","""Westpac Banking Corp Has $1.66 Million Stake in Las Vegas Sands Corp.\u00a0(LVS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/24/las-vegas-sands-corp-lvs-holdings-cut-by-westpac-banking-corp.html&cid=52779687806248&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNHLRii18EeR2LKQNlw6vY4Ay3C4Tg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 23, 2017""","""Dalton Investments Has Boosted Dr Reddys Labs LTD (RDY) Holding; Westpac\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://utahherald.com/dalton-investments-has-boosted-dr-reddys-labs-ltd-rdy-holding-westpac-banking-has-raised-vantiv-vntv-stake/&cid=52779688065238&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNG0RQoMNmKeTSO91Tev_aOBDbEUnQ""",2,"""UtahHerald.com"""
"""20 hours ago""","""The Wealthsource Partners LLC Takes Position in Westpac Banking Corp\u00a0(WBK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bangaloreweekly.com/2017-11-30-wealthsource-partners-llc-takes-position-in-westpac-banking-corp-wbk/&cid=52779693229419&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNE1chr2UDH6pHPDTLT4oSfK5uczpA""",3,"""BangaloreWeekly"""
"""9 hours ago""","""Phillips 66 (PSX) Touches $95.93 High on Nov, 30; Westpac Banking Trimmed By\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://heraldks.com/phillips-66-psx-touches-95-93-high-on-nov-30-westpac-banking-trimmed-by-106-90-billion-its-check-point-software-tech-lt-chkp-stake/&cid=52779691823714&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNEw0epNbIarDc-OMYkwePA9S8HPCA""",4,"""Herald KS"""
"""Nov 24, 2017""","""InterContinental Hotels Group PLC (ADR) (IHG) Reaches $58.06 52-Week High\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/intercontinental-hotels-group-plc-adr-ihg-reaches-58-06-52-week-high-westpac-banking-boosted-avnet-avt-holding-by-195-10-million/&cid=52779686153103&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNEyjUEmDlHKdYF_XBJ1zAFdRhBwPQ""",5,"""Wolcott Daily"""
"""Nov 18, 2017""","""Westpac Banking Adr (WBK) Holder Greenleaf Trust Upped Stake; Fundx Investment\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/westpac-banking-adr-wbk-holder-greenleaf-trust-upped-stake-fundx-investment-group-lowered-its-holding-in-exxon-mobil-xom-by-366080-as-shares-rose/&cid=52779681053038&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNHdFKjw5ugEZoTEdnxTvV2kNCS1-Q""",6,"""BZ Weekly"""
"""Nov 6, 2017""","""Westpac Banking (ADR) (WBK) Reaches $24.70 After 7.00% Down Move; Ardelyx\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://kgazette.com/westpac-banking-adr-wbk-reaches-24-70-after-7-00-down-move-ardelyx-ardx-had-7-bullish-analysts/&cid=52779663675357&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNGqkq9BlnyRI0GafYHszfDGMTCGkw""",7,"""Key Gazette"""
"""23 hours ago""","""Dominion Diamond Corp (NYSE:DDC) Stake Increased by Candriam Luxembourg\u00a0SCA""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/candriam-luxembourg-s-c-a-raises-holdings-in-dominion-diamond-co-ddc.html&cid=0&ei=ZbcgWumwHNGP2AbtzJ6ABA&usg=AFQjCNERWZKNrji_hm_mKUvXtV3e5_cCYw""",Not Reachable,"""The Ledger Gazette"""
